species
Abraliopsis pfefferi
Abyssorchomene rossi
Acanthaspis subinermis
Acanthococcus lagerstroemiae
Acanthogammarus albus
Acanthopagrus datnia
Acanthophysellum cerussatum
Acanthurus nigros
Acar domingensis
Acarospora atrata
Acarospora fusca
Acarospora muddii
Acarospora murorum
Acarospora privigna
Acheilognathus chankaensis
Acmella minima
Acropora formosa
Actias dubernardi
Actinonaias carinata
Acusta frilleyi
Adoretus hirsutus
Adustoporia sinuosa
Aegerita candida
Aenetus maiasinus
Aenetus tephroptilus
Aenetus thermistis
Aeolidiella alba
Aethus nigritus
Afrodryas leda
Agama vultuosa
Agapema anona
Agasthyagama beddomii
Agave amica
Ageneiogarra imberba
Aglaja felis
Agrionoptera papuensis
Agrocybe aegerita
Ahidranoa madagascariensis
Alaudala heinei
Alaudala raytal
Albatrellus peckianus
Albatrellus syringae
Albiphasma pieridoides
Alburnus kurui
Alcyna rubra
Alcyonidium glomeratum
Aleurobotrys botryosus
Allodus podophylli
Allolobophora bartolii
Allosmaitia strophius
Allotraeus orientalis
Allotraeus rufescens
Almbornia azaniensis
Alnicola badia
Alnicola luteolofibrillosa
Alnicola silvaenovae
Alnicola sphagneti
Alnicola subconspersa
Alokalliapseudes macsweenyi
Alpheopsis trigonus
Alpheus canalis
Alpheus crassimanus
Alpheus distinguendus
Alpheus inca Wicksten & Mendez
Alpinoscincus alpinus
Alpinoscincus
Alpova olivaceotinctus
Altainella calcarata
Alternaria scirpicola
Altigena wui
Altigena yunnanensis
Alypiodes geronimo
Amanita spissa
Amauroderma subresinosum
Amblema perplicata
Amblyscirtes aesculapius
Amblyscirtes alternata
Amblyscirtes eos
Amblyscirtes oslari
Amblyscirtes phylace
Amblyscirtes reversa
Ambrosiophilus subnepotulus
Ammatho complicata
Ammatho roseororatus
Ammatho syntypica
Ammospiza maritima
Amoimyrmex bruchi
Amoimyrmex striatus
Amolops nepalicus
Amphioctopus aff
Ampullaria
Amyloporia carbonica
Amyloporia xantha
Amylosporia hattorii
Amynthas polychaetiferus
Anadara floridana
Anadara sativa
Analges oscinum
Anaptychia palmatula
Anargus
Anasimyia interpuncta
Anavitrinella atristrigaria
Ancylomenes anthophilus
Andromakhe latens
Andromakhe saguazu
Andromakhe stenohalina
Andromakhe tupi
Andromeda polifolia var
Aneomochtherus flavipes
Aneomochtherus perplexus
Anethum foeniculum
Angulostiria chryseochilus
Annachlamys macassarensis
Anomala marginata
Anomala undulata
Anomalocardia auberiana
Anomalocardia brasiliana
Anopheles albitarsis F Brochero et al
Anopheles albitarsis G Krzywinski et al
Anopheles albitarsis H Ruiz
Anopheles albitarsis I Ruiz
Anopheles farauti No
Anopliomorpha rinconia
Anoplogenius cyanescens
Anoplogenius microgenus
Anopogammarus revazi
Anser canagicus
Anthracina ramosa
Anthracina saxicola
Antigone antigone
Antrodia serpens
Aotus azarai
Apalharpactes mackloti
Apertochrysa ventralis
Apethistis uncinata
Aphaniops hormuzensis
Aphaniops kruppi
Aphidius silvaticus
Aphrophora costalis
Aphrophora tsuruana
Apium leptophyllum
Aplopelia simplex
Apolemotermes fodiens
Appias epaphia
Aproaerema albipalpella
Aproaerema azosterella
Aproaerema genistae
Aproaerema incognitana
Aproaerema ochrofasciella
Aproaerema thaumalea
Aproaerema vinella
Aquacidia trachona
Arachnopeziza delicatula
Arachnoscypha aranea
Arawacus jada
Arcobara multilineata
Ardistomis viridis
Arge pyrenaica
Argentostiria koebelei
Argiope savignyi
Argonauta nodosa
Argya affinis
Argya altirostris
Argya aylmeri
Argya caudata
Argya earlei
Argya fulva
Argya malcolmi
Argya rubiginosa
Argya squamiceps
Argya subrufa
Argynnis diana
Argyropheges kolbei
Argyrostrotis flavistriaria
Arhopaloscelis bifasciatus
Arhopalus tristis
Arhopalus unicolor
Arhythmorhynchus brevis
Ariadna fidicina
Aridoplaca peltata
Arielulus aureocollaris
Arielulus torquatus
Ariomma brevimanus
Ariomma indica
Ariomma lurida
Arion alpinus
Arion anguloi
Ariophanta lahatensis
Ariosoma bowersi
Ariosoma kapala
Aristolochia macrophylla
Aristotelia pudibundella
Armadillidium pelagicum
Armatoglyptes flexuosus
Armatoglyptes habei
Armatoglyptes mitis
Armiger crista
Arotis pandora
Artamus leucorynchus
Artemidia motanka
Arthothelium puniceum
Arthroderma uncinatum
Articulospora tetracladia
Asabellides californica
Aschersonia viridans
Ascochyta rabiei
Ascospirella lutea
Asemospiza obscura
Aspasmogaster liorhynchus
Aspergillus heterothallicus
Aspergillus niveus
Aspergillus oryzae
Aspergillus toxicarius
Aspergillus usamii
Aspergillus welwitschiae
Aspicilia myrinii
Aspiciliella intermutans
Aspidomorpha difformis
Assiminea capensis
Astacoides madagascariensis
Astacus leptodactylus
Astacus pachypus
Astarte moerchi
Asthenes fuliginosa
Asthenes helleri
Astralium roseobasis
Astrothelium variolosum
Astyanax caballeroi
Athene blewitti
Athypna meles
Atrophysma cyanomelanos
Atrytonopsis cestus
Attinella concolor
Attulus fasciger
Attulus finschi
Attulus rupicola
Attulus striatus
Attulus terebratus
Attulus zimmermanni
Atylostagma glabrum
Aulacobaris coerulescens
Aulacobaris fallax
Aulopareia ocellata
Auricularia auricula
Auriculariopsis ampla
Austroboletus betula
Austrosciara exigua
Automate gardineri
Awaous transandeanus
Babesia negevi
Babesia vogeli
Babylonia lani
Bacidia squamulosula
Bacidina arnoldiana
Bacidina chloroticula
Bacidina delicata
Bacidina inundata
Bacidina neosquamulosa
Balwantia baniensis
Barbatia cancellaria
Barbatia fusca
Barbatia lima
Barbatula oreas
Barbus fucini
Barbus innocens
Basidiobolus haptosporus
Basidiobolus heterosporus
Basidiodendron grandinioides
Bathilda ruficauda
Bathyplax typhlus
Bathyraja sexoculata
Bazzania limbata
Beaverium magnus
Belizinella vicina
Bellamya dissimilis
Bellastraea kesteveni
Benthalia carbonaria
Berlesiella nigerrima
Beroe pileus
Biatora albidula
Biatora beckhausii
Biosteres longicaudatus
Bipolaris tetramera
Bivetia indentata
Bivetia jayana
Blastenia
Boana gracilis
Bolbitius vitellinus
Boletellus russellii
Boletus rubropunctus
Bolitoglossa la
Boloria alberta
Boloria astarte
Boloria natazhati
Bondarzewia montana
Bonellitia atopodonta
Bosminopsis zernowi
Botrylloides leptum
Botryocladia wrightii
Botryosphaeria vaccinii
Brachyglanis frenata
Brachymelecta haitensis
Brachymelecta interrupta
Brachymelecta larreae
Bradypterus seebohmi
Branta nigricans
Brauniellula albipes
Brenthus anchorago
Brodoa atrofusca
Brunhilda erythronotos
Brunnipila fuscescens
Bryaxis grata
Bryaxis sternalis
Bryocaulon divergens
Bubalus arnee
Buccinanops globulosus
Buglossoporus pulvinus
Burnettweldia corallina
Burnettweldia plumbella
Buteogallus schistaceus
Buzara onelia
Byrsinus fossor
Byssoloma citricola
Bythiospeum alzense
Bythiospeum francomontanum
Cabdio jaya
Cabdio ukhrulensis
Caccobius postlutatus
Cacicus oseryi
Cafius corallicola
Cafius sericeus
Caiusa indica
Calandrella dukhunensis
Calapnita subphyllicola
Callianassa ceramica
Callidiellum rufipenne
Callinectes larvatus
Callinectes maracaiboensis
Callionymus olidus
Calliostoma punctulatum
Calliostoma waikanae
Callirhytis erythrosoma
Callisthenes luxatus
Callistosporium graminicolor
Callitris pancheri
Callitris pyramidalis
Callochiton euplaeae
Callophrys eryphon
Callophrys hesseli
Callophrys mcfarlandi
Callophrys muiri
Callophrys xami
Calocybe persicolor
Caloplaca isidiigera
Caloplaca stillicidiorum
Cambeva stawiarski
Campiglossa longipennis
Campiglossa sororcula
Camponotus ruber
Cancer branneri
Cancer jordani
Cantharellus addaiensis
Cantharellus fistulosus
Cantharellus lutescens
Cantharellus pallens
Cantharidella tesselata
Cantharidus roseus
Cantharidus tesselatus
Capsella bursa
Caragonia bella
Carcinoplax suruguensis
Carinaria lamarcki
Caristius groenlandicus
Carpodacus sillemi
Carpodesmia barbatula
Carpodesmia crinita
Carpodesmia tamariscifolia
Carradoriella platensis
Carradoriella virgata
Carybdea marsupialis auct
Carybdea xaymacana auct
Castanozoster thoracicus
Catageiomyia microsticta
Catostomus melanops
Cenometra herdmani
Centropyge multifasciata
Ceratocystiopsis manitobensis
Ceratocystiopsis pallidobrunnea
Cercomacroides laeta
Cercomacroides nigrescens
Cercomacroides parkeri
Cercomacroides tyrannina
Ceriporiopsis aneirina
Ceriporiopsis rivulosa
Cerithidea djadjariensis
Cerithidea ornata
Cerithidea quadrata
Cerithium koperbergi
Cerrena consors
Certhiasomus stictolaemus
Cetrariella commixta
Ceylonthelphusa scansor
Ceyx argentatus
Ceyx cyanopectus
Ceyx pusillus
Ceyx websteri
Chadia cadytis
Chaetodipus ammophilus
Chaetodon punctofasciatus
Chaetopterus longimanus
Chalarus fimbriatus agg
Chalarus holosericeus agg
Chama hendersoni
Chama radians
Chapsa dilatata
Chapsa laceratula
Chapsa meridensis
Cheiloxia binotata
Chelidonura normani
Chilocorus bijugus
Chindongo demasoni
Chindongo elongatus
Chindongo socolofi
