"","species_verbatim","query","domain","kingdom","phylum","class","subclass","order","family","genus","species","ottid_species","rank"
"1","Abramis brama x Blicca bjoerkna","Abramis brama x Blicca bjoerkna","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Abramis brama x Blicca bjoerkna",4949329,NA
"2","Acanthopagrus schlegelii x Pagrus major","Acanthopagrus schlegelii x Pagrus major","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sparidae",NA,"Acanthopagrus schlegelii x Pagrus major",5852308,NA
"3","Acanthurus lineatus x Acanthurus sohal","Acanthurus lineatus x Acanthurus sohal","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Acanthuridae","Acanthurus","Acanthurus lineatus x Acanthurus sohal",5859579,NA
"4","Acanthurus nigricans x Acanthurus achilles","Acanthurus nigricans x Acanthurus achilles","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Acanthuridae","Acanthurus","Acanthurus nigricans x Acanthurus achilles",5859576,NA
"5","Acanthurus nigricans x Acanthurus japonicus","Acanthurus nigricans x Acanthurus japonicus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Acanthuridae","Acanthurus","Acanthurus nigricans x Acanthurus japonicus",5859577,NA
"6","Acanthurus nigricans x Acanthurus leucosternon","Acanthurus nigricans x Acanthurus leucosternon","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Acanthuridae","Acanthurus","Acanthurus nigricans x Acanthurus leucosternon",4948800,NA
"7",NA,"Acapoeta tanganicae x Labeobarbus sp.","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Acapoeta tanganicae x Labeobarbus sp.",7066462,NA
"8","Acipenser baerii x Acipenser schrenckii","Acipenser baerii x Acipenser schrenckii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser baerii x Acipenser schrenckii",5541300,NA
"9","Acipenser baerii x Huso dauricus","Acipenser baerii x Huso dauricus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Acipenser baerii x Huso dauricus",5521749,NA
"10","Acipenser dabryanus x Acipenser schrenckii","Acipenser dabryanus x Acipenser schrenckii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser dabryanus x Acipenser schrenckii",7060901,NA
"11","Acipenser gueldenstaedtii x Acipenser baerii","Acipenser gueldenstaedtii x Acipenser baerii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser gueldenstaedtii x Acipenser baerii",5541302,NA
"12","Acipenser gueldenstaedtii x Huso dauricus","Acipenser gueldenstaedtii x Huso dauricus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Acipenser gueldenstaedtii x Huso dauricus",5521747,NA
"13","Acipenser ruthenus x Acipenser baerii","Acipenser ruthenus x Acipenser baerii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser ruthenus x Acipenser baerii",7060902,NA
"14","Acipenser ruthenus x Huso dauricus","Acipenser ruthenus x Huso dauricus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Acipenser ruthenus x Huso dauricus",5521746,NA
"15","Acipenser schrenckii x Acipenser baerii","Acipenser schrenckii x Acipenser baerii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser schrenckii x Acipenser baerii",4949608,NA
"16","Acipenser schrenckii x Huso dauricus","Acipenser schrenckii x Huso dauricus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Acipenser schrenckii x Huso dauricus",4949606,NA
"17","Acipenser sinensis x Acipenser schrenckii","Acipenser sinensis x Acipenser schrenckii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser sinensis x Acipenser schrenckii",5541301,NA
"18","Acrossocheilus barbodon","Acrossocheilus barbodon","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Acrossocheilus","Acrossocheilus barbodon",5223733,NA
"19","Acrossocheilus cinctus","Acrossocheilus cinctus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Acrossocheilus","Acrossocheilus cinctus",595820,NA
"20","Alburnoides smyrnae","Alburnoides smyrnae","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Alburnoides","Alburnoides smyrnae",7653290,NA
"21","Alburnus belvica x Rutilus prespensis","Alburnus belvica x Rutilus prespensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Alburnus belvica x Rutilus prespensis",5555057,NA
"22","Alosa alosa x Alosa fallax","Alosa alosa x Alosa fallax","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Clupeiformes","Clupeidae","Alosa","Alosa alosa x Alosa fallax",4949222,NA
"23","Amphilophus istlanus","Amphilophus istlanus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cichlidae","Amphilophus","Amphilophus istlanus",580307,NA
"24","Amphilophus macracanthus","Amphilophus macracanthus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cichlidae","Amphilophus","Amphilophus macracanthus",734718,NA
"25","Amphiprion bicinctus x Amphiprion omanensis","Amphiprion bicinctus x Amphiprion omanensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Pomacentridae","Amphiprion","Amphiprion bicinctus x Amphiprion omanensis",5852340,NA
"26","Amphiprion chrysopterus x Amphiprion sandaracinos","Amphiprion chrysopterus x Amphiprion sandaracinos","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Pomacentridae","Amphiprion","Amphiprion chrysopterus x Amphiprion sandaracinos",7064008,NA
"27","Amphiprion ocellaris x Amphiprion percula","Amphiprion ocellaris x Amphiprion percula","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Pomacentridae","Amphiprion","Amphiprion ocellaris x Amphiprion percula",4948825,NA
"28","Anablepsoides compressus","Anablepsoides compressus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata",NA,"Anablepsoides","Anablepsoides compressus",632449,NA
"29","Anguilla anguilla x Anguilla rostrata","Anguilla anguilla x Anguilla rostrata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla x Anguilla rostrata",5810168,NA
"30","Aphanius hormuzensis","Aphanius hormuzensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Aphaniidae","Aphanius","Aphanius hormuzensis",7063237,NA
"31",NA,"Aphanius kruppi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Aphaniidae","Aphanius","Aphanius kruppi",7063238,NA
"32","Aphanius richardsoni","Aphanius richardsoni","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Aphaniidae","Aphanius","Aphanius richardsoni",129408,NA
"33",NA,"Aphyosemion melineoides","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Nothobranchiidae","Aphyosemion","Aphyosemion melineoides",582369,NA
"34",NA,"Astroblepus sp.","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Astroblepidae","Astroblepus","Astroblepus sp.",6141678,NA
"35","Astyanax belizanus","Astyanax belizanus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Characidae","Astyanax","Astyanax belizanus",1014923,NA
"36",NA,"Astyanax gr.","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Characidae","Astyanax","Astyanax gr.",5925071,NA
"37","Astyanax hubbsi","Astyanax hubbsi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Characidae","Astyanax","Astyanax hubbsi",501191,NA
"38","Astyanax intermedius","Astyanax intermedius","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Characidae","Astyanax","Astyanax intermedius",341087,NA
"39","Atherinosoma elongata","Atherinosoma elongata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Atherinidae","Atherinosoma","Atherinosoma elongata",636291,NA
"40","Aurigequula longispina","Aurigequula longispina","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Leiognathidae","Aurigequula","Aurigequula longispina",885825,NA
"41","Azygopus flemingi","Azygopus flemingi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Rhombosoleidae","Azygopus","Azygopus flemingi",3640265,NA
"42","Baldwinella eos","Baldwinella eos","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Serranidae","Baldwinella","Baldwinella eos",3633909,NA
