query,phylum,class,order,family,internal_parasite
Mesocestoides corti,Platyhelminthes,Cestoda,Cyclophyllidea,Mesocestoididae,1
Moniezia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Moniezia expansa,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Progamotaenia ewersi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Progamotaenia macropodis,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Progamotaenia zschokkei,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Progamotaenia festiva,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Progamotaenia diaphana,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Progamotaenia effigia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Rauschoides alternata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Rauschoides arctica,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Paranoplocephala kalelai,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Paranoplocephala macrocephala,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Paranoplocephala,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Paranoplocephala omphalodes,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Diandrya composita,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Microticola blanchardi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Andrya cuniculi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Andrya rhopalocephala,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Eurotaenia gracilis,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Anoplocephaloides dentata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Monoecocestus americanus,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Paranoplocephala etholeni,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Ctenotaenia marmotae,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Anoplocephala perfoliata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Anoplocephaloides kontrimavichusi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Anoplocephaloides lemmi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Lemminia fellmani,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Microcephaloides krebsi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Gulyaevia longivaginata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Douthittia nordenskioeldi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Parandrya oeconomi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Anoplocephala magna,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Mosgovoyia pectinata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Paranoplocephala primordialis,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Arctocestus serratus,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Gulyaevia buryatiensis,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Paranoplocephala jarrelli,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Parandrya feodorovi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Anoplocephaloides,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Mesocestoides lineatus,Platyhelminthes,Cestoda,Cyclophyllidea,Mesocestoididae,1
Mesocestoides litteratus,Platyhelminthes,Cestoda,Cyclophyllidea,Mesocestoididae,1
Dictyterina cholodkowskii,Platyhelminthes,Cestoda,Cyclophyllidea,Paruterinidae,1
Anonchotaenia prolixa,Platyhelminthes,Cestoda,Cyclophyllidea,Paruterinidae,1
Anonchotaenia macrocephala,Platyhelminthes,Cestoda,Cyclophyllidea,Paruterinidae,1
Anonchotaenia brasiliensis,Platyhelminthes,Cestoda,Cyclophyllidea,Paruterinidae,1
Cookiella ondatrae,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Douthittia nearctica,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Rodentocestus freemani,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Tenoraia janickii,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Gallegoides arfaai,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Thysaniezia connochaeti,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
Thysaniezia ovilla,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,1
