lca_taxon,lca_taxon_verbatim
Balanus,Balanus sp. HLC-24243
Microstomum compositum,Microstomum compositum
Eurytemora americana,Eurytemora americana
Typosyllis,Typosyllis sp. CMC01
Epilabidocera amphitrites,Epilabidocera amphitrites
Haliclystus sanjuanensis,Haliclystus sanjuanensis
Haliclona xena,Haliclona xena
Calanus,Calanus sp. NJGS-42
Angulus nuculoides,Angulus nuculoides
Myxicola,Myxicola sp. A_Harris
Valenzuela,Valenzuela sp. 1EM&KJ
Calycella,Calycella
Cucumaria curata,Cucumaria curata
Simulium tuberosum,Simulium tuberosum complex sp. JMR-2009
Caprella,Caprella sp. BCAMP0096
Haliclona,Haliclona sp. E GPM-2011
Cucumaria lubrica,Cucumaria cf. lubrica EAC-2010
Liparocephalus cordicollis,Liparocephalus cordicollis
Haliotis kamtschatkana kamtschatkana,Haliotis kamtschatkana kamtschatkana
Clytia gregaria,Clytia gregaria
Paracalanus,Paracalanus sp. C AC-2013
Arhynchite pugettensis,Arhynchite cf. pugettensis A6200
Mya japonica,Mya japonica
Leuckartiara longicalcar,Leuckartiara longicalcar
Oithona,Oithona
Harpacticus obscurus,Harpacticus aff. obscurus 1 ML-2018
Pleurobrachia,Pleurobrachia
Amonardia perturbata,Amonardia perturbata
Neoamphitrite robusta,Neoamphitrite robusta
Scutellidium,Scutellidium sp. FHL 1
Polycystis hamata,Polycystis hamata
Tisbe,Tisbe sp. FHL 5
Leuckartiara,Leuckartiara sp. PS-2018
Stauridiosarsia producta,Stauridiosarsia producta
Celleporella,Celleporella
Pentamera lissoplaca,Pentamera lissoplaca
