query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Pholoides asperus,334498,Pholoides asperus,"(Johnson, 1897)",accepted,NA,Species,334498,Pholoides asperus,"(Johnson, 1897)",129440,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoides,1,0,0,0,0,exact,0,0
Hypereteone fauchaldi,333651,Hypereteone fauchaldi,"(Kravitz & Jones, 1979)",accepted,NA,Species,333651,Hypereteone fauchaldi,"(Kravitz & Jones, 1979)",146983,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Hypereteone,1,0,0,0,0,exact,0,0
Proceraea nigropunctata,331155,Proceraea nigropunctata,"Nygren & Gidholm, 2001",accepted,NA,Species,331155,Proceraea nigropunctata,"Nygren & Gidholm, 2001",129671,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Proceraea,1,0,0,0,0,exact,0,0
Aricidea antennata,337478,Aricidea antennata,"Annenkova, 1934",alternate representation,superseded original combination,Species,734520,Aricidea (Strelzovia) antennata,"Annenkova, 1934",129430,Animalia,Annelida,Polychaeta,NA,Paraonidae,Aricidea,1,0,0,0,0,exact,0,0
Paradexiospira violacea,131215,Paradexiospira violacea,"(Levinsen, 1883)",alternate representation,NA,Species,334339,Paradexiospira (Paradexiospira) violacea,"(Levinsen, 1883)",129637,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Paradexiospira,1,NA,NA,NA,NA,exact,0,0
Paradexiospira vitrea,155160,Paradexiospira vitrea,"(Fabricius, 1780)",alternate representation,NA,Species,334341,Paradexiospira (Spirorbides) vitrea,"(Fabricius, 1780)",129637,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Paradexiospira,1,0,0,0,0,exact,0,0
Polydora magna,334573,Polydora magna,"Berkeley, 1927",accepted,NA,Species,334573,Polydora magna,"Berkeley, 1927",129619,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora,1,0,0,0,0,exact,0,0
Prionospio multibranchiata,131160,Prionospio multibranchiata,"Berkeley, 1927",accepted,NA,Species,131160,Prionospio multibranchiata,"Berkeley, 1927",129620,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,1,0,0,0,0,exact,0,0
Prionospio multibranchiata,817494,Prionospio multibranchiata,"Fauvel, 1928",unaccepted,replaced primary homonym in Prionospio,Species,338535,Prionospio polybranchiata,"Fauvel, 1929",129620,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,1,NA,NA,NA,0,exact,0,0
Spiophanes norrisi,567182,Spiophanes norrisi,"Meißner & Blank, 2009",accepted,NA,Species,567182,Spiophanes norrisi,"Meißner & Blank, 2009",129626,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,1,0,0,0,0,exact,0,0
Dodecaceria fewkesi,327435,Dodecaceria fewkesi,"Berkeley & Berkeley, 1954",unaccepted,"unnecessary replacement species name for Sabella pacifica Fewkes, 1889",Species,1580005,Dodecaceria pacifica,"(Fewkes, 1889)",129246,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,1,0,0,0,0,exact,0,0
Aporrectodea cupulifera,1550567,Aporrectodea cupulifera,"(Tetry, 1937)",accepted,NA,Species,1550567,Aporrectodea cupulifera,"(Tetry, 1937)",994659,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,NA,NA,NA,1,0,exact,NA,1
Murchieona minuscula,1551547,Murchieona minuscula,"(Rosa, 1906)",accepted,NA,Species,1551547,Murchieona minuscula,"(Rosa, 1906)",1551540,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Murchieona,NA,NA,NA,1,0,exact,NA,1
Amynthas corticis,1425419,Amynthas corticis,"(Kinberg, 1866)",accepted,NA,Species,1425419,Amynthas corticis,"(Kinberg, 1866)",1062218,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,NA,NA,1,1,0,exact,1,1
Amynthas gracilis,1507826,Amynthas gracilis,"(Kinberg, 1866)",accepted,NA,Species,1507826,Amynthas gracilis,"(Kinberg, 1866)",1062218,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,0,0,0,1,0,exact,0,1
Amynthas robustus,1507696,Amynthas robustus,"(Perrier, 1872)",accepted,NA,Species,1507696,Amynthas robustus,"(Perrier, 1872)",1062218,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,NA,NA,NA,1,0,exact,NA,1
Perionyx excavatus,1070410,Perionyx excavatus,"Perrier, 1872",accepted,NA,Species,1070410,Perionyx excavatus,"Perrier, 1872",1062268,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Perionyx,NA,NA,NA,1,0,exact,NA,1
Eisenia japonica,1514614,Eisenia japonica,"(Michaelsen, 1891)",accepted,NA,Species,1514614,Eisenia japonica,"(Michaelsen, 1891)",1040050,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,NA,NA,NA,1,0,exact,NA,1
Metaphire,1062143,Metaphire,"Sims & Easton, 1972",accepted,NA,Genus,1062143,Metaphire,"Sims & Easton, 1972",22960,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,0,NA,NA,1,0,exact,NA,1
Pontoscolex corethrurus,994667,Pontoscolex corethrurus,"(Muller, 1856)",accepted,NA,Species,994667,Pontoscolex corethrurus,"(Muller, 1856)",994666,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,0,0,0,1,0,exact,0,1
Drawida,1027687,Drawida,"Michaelsen, 1900",accepted,NA,Genus,1027687,Drawida,"Michaelsen, 1900",1027685,Animalia,Annelida,Clitellata,Moniligastrida,Moniligastridae,Drawida,0,0,1,1,NA,exact,1,1
