query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Acartia longiremis,104257,Acartia longiremis,"(Lilljeborg, 1853)",alternate representation,NA,Species,346037,Acartia (Acartiura) longiremis,"(Lilljeborg, 1853)",104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,1,0,0,0,NA,exact,0,0
Scolecithricella minor,104811,Scolecithricella minor,"(Brady, 1883)",alternate representation,NA,Species,1509944,Scolecithricella minor minor,"(Brady, 1883)",104229,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,1,0,0,0,NA,exact,0,0
Tortanus discaudatus,157684,Tortanus discaudatus,"(Thompson I.C. & Scott A.) In Herdman, Thompson & Scott, 1897)",alternate representation,NA,Species,720592,Tortanus (Boreotortanus) discaudatus,"(Thompson I.C. & Scott A.) In Herdman, Thompson & Scott, 1897)",157683,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,1,0,0,0,NA,exact,0,0
Monstrilla spinosa,353555,Monstrilla spinosa,"Park, 1967",unaccepted,NA,Species,1381951,Spinomonstrilla spinosa,"(Park, 1967)",119780,Animalia,Arthropoda,Copepoda,Monstrilloida,Monstrillidae,Monstrilla,1,0,0,0,NA,exact,0,0
Micropleustes nautilus,549667,Micropleustes nautilus,"(J.L. Barnard, 1969)",accepted,NA,Species,549667,Micropleustes nautilus,"(J.L. Barnard, 1969)",549334,Animalia,Arthropoda,Malacostraca,Amphipoda,Pleustidae,Micropleustes,1,0,0,0,NA,exact,0,0
Eualus subtilis,515239,Eualus subtilis,"Carvacho & Olson, 1984",accepted,NA,Species,515239,Eualus subtilis,"Carvacho & Olson, 1984",106986,Animalia,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,1,0,0,0,0,exact,0,0
Pinnixa faba,445035,Pinnixa faba,"(Dana, 1851)",superseded combination,NA,Species,1424666,Scleroplax faba,"(Dana, 1851)",158444,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,1,0,0,0,0,exact,0,0
Pinnixa schmitti,445062,Pinnixa schmitti,"Rathbun, 1918",superseded combination,NA,Species,1424669,Scleroplax schmitti,"(Rathbun, 1918)",158444,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,1,0,0,0,0,exact,0,0
Pinnixa tubicola,445065,Pinnixa tubicola,"Holmes, 1895",superseded combination,NA,Species,1424670,Scleroplax tubicola,"(Holmes, 1895)",158444,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,1,0,0,0,0,exact,0,0
Hemigrapsus,106964,Hemigrapsus,"Dana, 1851",accepted,NA,Genus,106964,Hemigrapsus,"Dana, 1851",439146,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,1,0,0,0,0,exact,0,0
Ligia pallasii,257558,Ligia pallasii,"Brandt, 1833",accepted,NA,Species,257558,Ligia pallasii,"Brandt, 1833",146998,Animalia,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,0,0,0,1,0,exact,0,1
Dynamene glabra,291368,Dynamene glabra,"Richardson, 1899",taxon inquirendum,NA,Species,291368,Dynamene glabra,"Richardson, 1899",118427,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Dynamene,1,0,0,0,0,exact,0,0
Pacifacanthomysis nephrophthalma,226746,Pacifacanthomysis nephrophthalma,"(Banner, 1948)",accepted,NA,Species,226746,Pacifacanthomysis nephrophthalma,"(Banner, 1948)",226097,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Pacifacanthomysis,1,NA,0,0,NA,exact,0,0
Semibalanus balanoides,106210,Semibalanus balanoides,"(Linnaeus, 1767)",accepted,NA,Species,106210,Semibalanus balanoides,"(Linnaeus, 1767)",106121,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,1,NA,NA,NA,0,exact,0,0
Semibalanus cariosus,594746,Semibalanus cariosus,"(Pallas, 1788)",accepted,NA,Species,594746,Semibalanus cariosus,"(Pallas, 1788)",106121,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,1,NA,NA,NA,0,exact,0,0
Solidobalanus engbergi,1030816,Solidobalanus engbergi,"(Pilsbry, 1921)",accepted,NA,Species,1030816,Solidobalanus engbergi,"(Pilsbry, 1921)",106119,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Solidobalanus,1,NA,NA,NA,NA,exact,0,0
Mastigodiaptomus montezumae,353256,Mastigodiaptomus montezumae,"(Brehm, 1955)",accepted,NA,Species,353256,Mastigodiaptomus montezumae,"(Brehm, 1955)",347455,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Mastigodiaptomus,0,0,1,0,NA,exact,1,0
Eurythenes gryllus,102563,Eurythenes gryllus,"(Lichtenstein in Mandt, 1822)",accepted,NA,Species,102563,Eurythenes gryllus,"(Lichtenstein in Mandt, 1822)",101607,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,1,0,0,0,0,exact,0,0
Daphnia tenebrosa,1303542,Daphnia tenebrosa,"G.O. Sars, 1899",unaccepted,NA,Species,1302538,Daphnia (Daphnia) middendorffiana,"Fischer, 1851",148370,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,0,0,1,0,NA,exact,1,0
Faxonius rusticus,885343,Faxonius rusticus,"(Girard, 1852)",accepted,NA,Species,885343,Faxonius rusticus,"(Girard, 1852)",885055,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius,0,0,1,0,0,exact,1,0
Bellia picta,440282,Bellia picta,"H. Milne Edwards, 1848",accepted,NA,Species,440282,Bellia picta,"H. Milne Edwards, 1848",439190,Animalia,Arthropoda,Malacostraca,Decapoda,Belliidae,Bellia,1,0,0,0,0,exact,0,0
