query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Rhinogobiops nicholsii,282580,Rhinogobiops nicholsii,"(Bean, 1882)",accepted,NA,Species,282580,Rhinogobiops nicholsii,"(Bean, 1882)",270736,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Rhinogobiops,1,0,0,0,NA,exact,0,0
Rhacochilus vacca,282576,Rhacochilus vacca,"(Girard, 1855)",superseded combination,NA,Species,1577347,Phanerodon vacca,"(Girard, 1855)",270719,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Rhacochilus,1,0,0,0,NA,exact,0,0
Oncorhynchus nerka,254569,Oncorhynchus nerka,"(Walbaum, 1792)",accepted,NA,Species,254569,Oncorhynchus nerka,"(Walbaum, 1792)",126140,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,1,1,1,0,NA,exact,0,0
Polypterus ornatipinnis,1018789,Polypterus ornatipinnis,"Boulenger, 1902",accepted,NA,Species,1018789,Polypterus ornatipinnis,"Boulenger, 1902",270479,Animalia,Chordata,Cladistii,Polypteriformes,Polypteridae,Polypterus,0,0,1,0,NA,exact,1,0
Myctophum nitidulum,126626,Myctophum nitidulum,"Garman, 1899",accepted,NA,Species,126626,Myctophum nitidulum,"Garman, 1899",125829,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Myctophum,1,0,0,0,NA,exact,0,0
Triphoturus nigrescens,217721,Triphoturus nigrescens,"(Brauer, 1904)",accepted,NA,Species,217721,Triphoturus nigrescens,"(Brauer, 1904)",205908,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Triphoturus,1,0,0,0,NA,exact,0,0
Psychrolutes subspinosus,127239,Psychrolutes subspinosus,"(Jensen, 1902)",accepted,NA,Species,127239,Psychrolutes subspinosus,"(Jensen, 1902)",126169,Animalia,Chordata,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,1,0,0,0,NA,exact,0,0
Coryphaenoides nasutus,272345,Coryphaenoides nasutus,"Günther, 1877",accepted,NA,Species,272345,Coryphaenoides nasutus,"Günther, 1877",125748,Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,1,0,0,0,NA,exact,0,0
Sardinops melanostictus,309913,Sardinops melanostictus,"(Temminck & Schlegel, 1846)",unaccepted,NA,Species,217452,Sardinops sagax,"(Jenyns, 1842)",203974,Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,1,0,0,NA,NA,exact,0,0
Osteoglossum bicirrhosum,1026694,Osteoglossum bicirrhosum,"(Cuvier, 1829)",accepted,NA,Species,1026694,Osteoglossum bicirrhosum,"(Cuvier, 1829)",154155,Animalia,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Osteoglossum,0,0,1,0,NA,exact,1,0
Osteoglossum bicirrhosum,1418089,Osteoglossum bicirrhosum,"Cuvier, 1829",unaccepted,NA,Species,1026694,Osteoglossum bicirrhosum,"(Cuvier, 1829)",154155,Animalia,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Osteoglossum,0,0,1,0,NA,exact,1,0
Pantodon buchholzi,1019063,Pantodon buchholzi,"Peters, 1876",accepted,NA,Species,1019063,Pantodon buchholzi,"Peters, 1876",270176,Animalia,Chordata,Actinopteri,Osteoglossiformes,Pantodontidae,Pantodon,0,0,1,0,NA,exact,1,0
Phenacogrammus interruptus,1019082,Phenacogrammus interruptus,"(Boulenger, 1899)",accepted,NA,Species,1019082,Phenacogrammus interruptus,"(Boulenger, 1899)",270372,Animalia,Chordata,Actinopteri,Characiformes,Alestidae,Phenacogrammus,0,0,1,0,NA,exact,1,0
Chalceus macrolepidotus,1014592,Chalceus macrolepidotus,"Cuvier, 1818",accepted,NA,Species,1014592,Chalceus macrolepidotus,"Cuvier, 1818",268711,Animalia,Chordata,Actinopteri,Characiformes,Chalceidae,Chalceus,0,0,1,0,NA,exact,1,0
Apteronotus albifrons,1022974,Apteronotus albifrons,"(Linnaeus, 1766)",accepted,NA,Species,1022974,Apteronotus albifrons,"(Linnaeus, 1766)",268365,Animalia,Chordata,Actinopteri,Gymnotiformes,Apteronotidae,Apteronotus,0,0,1,0,NA,exact,1,0
Cyprinella lutrensis,1026708,Cyprinella lutrensis,"(Baird & Girard, 1853)",accepted,NA,Species,1026708,Cyprinella lutrensis,"(Baird & Girard, 1853)",268932,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinella,0,0,1,0,NA,exact,1,0
Boulengerella maculata,1418633,Boulengerella maculata,"(Valenciennes, 1850)",accepted,NA,Species,1418633,Boulengerella maculata,"(Valenciennes, 1850)",268568,Animalia,Chordata,Actinopteri,Characiformes,Ctenoluciidae,Boulengerella,0,0,1,0,NA,exact,1,0
Distichodus sexfasciatus,1015098,Distichodus sexfasciatus,"Boulenger, 1897",accepted,NA,Species,1015098,Distichodus sexfasciatus,"Boulenger, 1897",269006,Animalia,Chordata,Actinopteri,Characiformes,Distichodontidae,Distichodus,0,0,1,0,NA,exact,1,0
Phractolaemus ansorgii,1016389,Phractolaemus ansorgii,"Boulenger, 1901",accepted,NA,Species,1016389,Phractolaemus ansorgii,"Boulenger, 1901",270386,Animalia,Chordata,Actinopteri,Gonorynchiformes,Phractolaemidae,Phractolaemus,0,0,1,0,NA,exact,1,0
Lethenteron reissneri,298381,Lethenteron reissneri,"(Dybowski, 1869)",accepted,NA,Species,298381,Lethenteron reissneri,"(Dybowski, 1869)",101168,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Lethenteron,0,0,1,NA,NA,exact,1,NA
Cycleptus elongatus,1022872,Cycleptus elongatus,"(Lesueur, 1817)",accepted,NA,Species,1022872,Cycleptus elongatus,"(Lesueur, 1817)",268916,Animalia,Chordata,Actinopteri,Cypriniformes,Catostomidae,Cycleptus,0,0,1,0,NA,exact,1,0
Carpiodes carpio,890545,Carpiodes carpio,"(Rafinesque, 1820)",accepted,NA,Species,890545,Carpiodes carpio,"(Rafinesque, 1820)",268662,Animalia,Chordata,Actinopteri,Cypriniformes,Catostomidae,Carpiodes,0,0,1,0,NA,exact,1,0
Doliolum nationalis,137247,Doliolum nationalis,"Borgert, 1893",accepted,NA,Species,137247,Doliolum nationalis,"Borgert, 1893",137222,Animalia,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolum,1,0,0,0,0,exact,0,0
Lethenteron kessleri,1018532,Lethenteron kessleri,"(Anikin, 1905)",accepted,NA,Species,1018532,Lethenteron kessleri,"(Anikin, 1905)",101168,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Lethenteron,0,0,1,0,NA,exact,1,0
Ichthyomyzon unicuspis,158538,Ichthyomyzon unicuspis,"Hubbs & Trautman, 1937",accepted,NA,Species,158538,Ichthyomyzon unicuspis,"Hubbs & Trautman, 1937",158537,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,0,0,1,0,NA,exact,1,0
Balaenoptera brydei,242603,Balaenoptera brydei,"Olsen, 1913",taxon inquirendum,NA,Species,242603,Balaenoptera brydei,"Olsen, 1913",137013,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,1,0,0,0,NA,exact,0,0
Ariomma indicum,403237,Ariomma indicum,"(Day, 1871)",unaccepted,NA,Species,219752,Ariomma indica,"(Day, 1871)",159591,Animalia,Chordata,Actinopteri,Scombriformes,Ariommatidae,Ariomma,1,0,0,NA,NA,exact,0,0
Centrolophus niger,126831,Centrolophus niger,"(Gmelin, 1789)",accepted,NA,Species,126831,Centrolophus niger,"(Gmelin, 1789)",125950,Animalia,Chordata,Actinopteri,Scombriformes,Centrolophidae,Centrolophus,1,0,0,0,NA,exact,0,0
Cubiceps squamiceps,219744,Cubiceps squamiceps,"(Llyod, 1909)",unaccepted,NA,Species,273680,Cubiceps whiteleggii,"(Waite, 1894)",126037,Animalia,Chordata,Actinopteri,Scombriformes,Nomeidae,Cubiceps,NA,NA,NA,NA,NA,exact,NA,NA
Cubiceps squamiceps,367292,Cubiceps squamiceps,"(Lloyd, 1909)",unaccepted,NA,Species,273680,Cubiceps whiteleggii,"(Waite, 1894)",126037,Animalia,Chordata,Actinopteri,Scombriformes,Nomeidae,Cubiceps,1,0,0,0,NA,exact,0,0
Gnathopogon elongatus,956730,Gnathopogon elongatus,"(Temminck & Schlegel, 1846)",accepted,NA,Species,956730,Gnathopogon elongatus,"(Temminck & Schlegel, 1846)",269240,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gnathopogon,0,0,1,0,NA,exact,1,0
Aphyocypris chinensis,1020685,Aphyocypris chinensis,"Günther, 1868",accepted,NA,Species,1020685,Aphyocypris chinensis,"Günther, 1868",268339,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Aphyocypris,0,0,1,0,NA,exact,1,0
Nipponocypris sieboldii,1018586,Nipponocypris sieboldii,"(Temminck & Schlegel, 1846)",accepted,NA,Species,1018586,Nipponocypris sieboldii,"(Temminck & Schlegel, 1846)",826769,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Nipponocypris,0,0,1,0,NA,exact,1,0
Myxocyprinus asiaticus,1389902,Myxocyprinus asiaticus,"(Bleeker, 1864)",accepted,NA,Species,1389902,Myxocyprinus asiaticus,"(Bleeker, 1864)",269937,Animalia,Chordata,Actinopteri,Cypriniformes,Catostomidae,Myxocyprinus,0,0,1,0,NA,exact,1,0
Barbus barbus,154292,Barbus barbus,"(Linnaeus, 1758)",accepted,NA,Species,154292,Barbus barbus,"(Linnaeus, 1758)",154291,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Barbus,0,0,1,0,NA,exact,1,0
Labeo batesii,1017692,Labeo batesii,"Boulenger, 1911",accepted,NA,Species,1017692,Labeo batesii,"Boulenger, 1911",269582,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Labeo,0,0,1,0,NA,exact,1,0
Labeo senegalensis,1022161,Labeo senegalensis,"Valenciennes, 1842",accepted,NA,Species,1022161,Labeo senegalensis,"Valenciennes, 1842",269582,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Labeo,0,0,1,0,NA,exact,1,0
Gymnocypris przewalskii,1020303,Gymnocypris przewalskii,"(Kessler, 1876)",accepted,NA,Species,1020303,Gymnocypris przewalskii,"(Kessler, 1876)",269288,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gymnocypris,0,0,1,0,NA,exact,1,0
Pungtungia herzi,1375227,Pungtungia herzi,"Herzenstein, 1892",accepted,NA,Species,1375227,Pungtungia herzi,"Herzenstein, 1892",270665,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pungtungia,0,0,1,0,NA,exact,1,0
Pseudorasbora pumila,1015864,Pseudorasbora pumila,"Miyadi, 1930",accepted,NA,Species,1015864,Pseudorasbora pumila,"Miyadi, 1930",270615,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pseudorasbora,0,0,1,0,NA,exact,1,0
Enteromius trimaculatus,1416216,Enteromius trimaculatus,"(Peters, 1852)",accepted,NA,Species,1416216,Enteromius trimaculatus,"(Peters, 1852)",1006777,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Enteromius,0,0,1,0,NA,exact,1,0
Barbatula toni,1026431,Barbatula toni,"(Dybowski, 1869)",accepted,NA,Species,1026431,Barbatula toni,"(Dybowski, 1869)",154779,Animalia,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Barbatula,0,0,1,0,NA,exact,1,0
Gyrinocheilus aymonieri,1026903,Gyrinocheilus aymonieri,"(Tirant, 1883)",accepted,NA,Species,1026903,Gyrinocheilus aymonieri,"(Tirant, 1883)",269299,Animalia,Chordata,Actinopteri,Cypriniformes,Gyrinocheilidae,Gyrinocheilus,0,0,1,0,NA,exact,1,0
Minytrema melanops,1022836,Minytrema melanops,"(Rafinesque, 1820)",accepted,NA,Species,1022836,Minytrema melanops,"(Rafinesque, 1820)",269889,Animalia,Chordata,Actinopteri,Cypriniformes,Catostomidae,Minytrema,0,0,1,0,NA,exact,1,0
Moxostoma poecilurum,1378190,Moxostoma poecilurum,"Jordan, 1877",accepted,NA,Species,1378190,Moxostoma poecilurum,"Jordan, 1877",269917,Animalia,Chordata,Actinopteri,Cypriniformes,Catostomidae,Moxostoma,0,0,1,0,NA,exact,1,0
Pangio anguillaris,1470218,Pangio anguillaris,"(Vaillant, 1902)",accepted,NA,Species,1470218,Pangio anguillaris,"(Vaillant, 1902)",270173,Animalia,Chordata,Actinopteri,Cypriniformes,Cobitidae,Pangio,0,0,1,0,NA,exact,1,0
Hypentelium nigricans,1022874,Hypentelium nigricans,"(Lesueur, 1817)",accepted,NA,Species,1022874,Hypentelium nigricans,"(Lesueur, 1817)",269443,Animalia,Chordata,Actinopteri,Cypriniformes,Catostomidae,Hypentelium,0,0,1,0,NA,exact,1,0
Leptobotia mantschurica,1531744,Leptobotia mantschurica,"Berg, 1907",unaccepted,NA,Species,1018344,Parabotia mantschuricus,"(Berg, 1907)",269651,Animalia,Chordata,Actinopteri,Cypriniformes,Cobitidae,Leptobotia,0,0,1,0,NA,exact,1,0
Misgurnus nikolskyi,1009940,Misgurnus nikolskyi,"Vasil'eva, 2001",accepted,NA,Species,1009940,Misgurnus nikolskyi,"Vasil'eva, 2001",154344,Animalia,Chordata,Actinopteri,Cypriniformes,Cobitidae,Misgurnus,0,0,1,0,NA,exact,1,0
Schistura balteata,1014326,Schistura balteata,"(Rendahl, 1948)",accepted,NA,Species,1014326,Schistura balteata,"(Rendahl, 1948)",270823,Animalia,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Schistura,0,0,1,0,NA,exact,1,0
Vaillantella maassi,1017540,Vaillantella maassi,"Weber & de Beaufort, 1912",accepted,NA,Species,1017540,Vaillantella maassi,"Weber & de Beaufort, 1912",271199,Animalia,Chordata,Actinopteri,Cypriniformes,Vaillantellidae,Vaillantella,0,0,1,0,NA,exact,1,0
Biwia zezera,1026901,Biwia zezera,"(Ishikawa, 1895)",accepted,NA,Species,1026901,Biwia zezera,"(Ishikawa, 1895)",268550,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Biwia,0,0,1,0,NA,exact,1,0
Echeneis naucrates,126848,Echeneis naucrates,"Linnaeus, 1758",accepted,NA,Species,126848,Echeneis naucrates,"Linnaeus, 1758",125962,Animalia,Chordata,Actinopteri,Carangiformes,Echeneidae,Echeneis,1,1,0,0,NA,exact,0,0
Oryzias sarasinorum,1018525,Oryzias sarasinorum,"(Popta, 1905)",accepted,NA,Species,1018525,Oryzias sarasinorum,"(Popta, 1905)",270129,Animalia,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias,0,0,1,0,NA,exact,1,0
Culaea inconstans,567530,Culaea inconstans,"(Kirtland, 1840)",accepted,NA,Species,567530,Culaea inconstans,"(Kirtland, 1840)",268905,Animalia,Chordata,Actinopteri,Perciformes,Gasterosteidae,Culaea,0,0,1,0,NA,exact,1,0
Oryzias luzonensis,1015560,Oryzias luzonensis,"(Herre & Ablan, 1934)",accepted,NA,Species,1015560,Oryzias luzonensis,"(Herre & Ablan, 1934)",270129,Animalia,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias,0,0,1,0,NA,exact,1,0
Oryzias minutillus,1014399,Oryzias minutillus,"Smith, 1945",accepted,NA,Species,1014399,Oryzias minutillus,"Smith, 1945",270129,Animalia,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias,0,0,1,0,NA,exact,1,0
Oryzias celebensis,1019378,Oryzias celebensis,"(Weber, 1894)",accepted,NA,Species,1019378,Oryzias celebensis,"(Weber, 1894)",270129,Animalia,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias,0,0,1,0,NA,exact,1,0
Hexanchus nakamurai,105834,Hexanchus nakamurai,"Teng, 1962",accepted,NA,Species,105834,Hexanchus nakamurai,"Teng, 1962",105739,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,1,0,0,0,NA,exact,0,0
Betta splendens,862539,Betta splendens,"Regan, 1910",accepted,NA,Species,862539,Betta splendens,"Regan, 1910",268539,Animalia,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,0,0,1,0,NA,exact,1,0
Megalobrama terminalis,1015822,Megalobrama terminalis,"(Richardson, 1846)",accepted,NA,Species,1015822,Megalobrama terminalis,"(Richardson, 1846)",269821,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Megalobrama,0,0,1,0,NA,exact,1,0
Oreoleuciscus potanini,1010346,Oreoleuciscus potanini,"(Kessler, 1879)",accepted,NA,Species,1010346,Oreoleuciscus potanini,"(Kessler, 1879)",270120,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Oreoleuciscus,0,0,1,0,NA,exact,1,0
Phoxinus oxycephalus,1245689,Phoxinus oxycephalus,"(Sauvage & Dabry de Thiersant, 1874)",unaccepted,senior synonym,Species,1019045,Rhynchocypris oxycephala,"(Sauvage & Dabry de Thiersant, 1874)",154325,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Phoxinus,0,0,1,0,NA,exact,1,0
