query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Hippasteria spinosa,254900,Hippasteria spinosa,"Verrill, 1909",unaccepted,Synonym according to Mah et al. (2014),Species,124043,Hippasteria phrygiana,"(Parelius, 1768)",123297,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Hippasteria,1,0,0,0,0,exact,0,0
Oreaster occidentalis,378456,Oreaster occidentalis,"Verrill, 1867",unaccepted,Synonym according to Doderlein (1936),Species,370899,Pentaceraster cumingi,"(Gray, 1840)",178209,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Oreaster,1,0,0,0,0,exact,0,0
Pseudechinus novaezealandiae,160824,Pseudechinus novaezealandiae,"(Mortensen, 1921)",accepted,NA,Species,160824,Pseudechinus novaezealandiae,"(Mortensen, 1921)",160753,Animalia,Echinodermata,Echinoidea,Camarodonta,Temnopleuridae,Pseudechinus,1,0,0,0,0,exact,0,0
Cucumaria curata,529893,Cucumaria curata,"Cowles, 1907",unaccepted,NA,Species,529629,Pseudocnus curatus,"(Cowles, 1907)",123479,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,1,0,0,0,NA,exact,0,0
Cucumaria lubrica,529848,Cucumaria lubrica,"Clark, 1901",unaccepted,NA,Species,529633,Pseudocnus lubricus,"(Clark, 1901)",123479,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,1,0,0,0,NA,exact,0,0
Pseudocnus astigmatus,529626,Pseudocnus astigmatus,"(Wells, 1924)",unaccepted,NA,Species,529633,Pseudocnus lubricus,"(Clark, 1901)",123490,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Pseudocnus,1,0,0,0,NA,exact,0,0
Brissopsis luzonica,513147,Brissopsis luzonica,"(Gray, 1851)",accepted,NA,Species,513147,Brissopsis luzonica,"(Gray, 1851)",123418,Animalia,Echinodermata,Echinoidea,Spatangoida,Brissidae,Brissopsis,1,0,0,0,0,exact,0,0
Ophiomusium anisacanthum,243798,Ophiomusium anisacanthum,"H.L. Clark, 1928",unaccepted,NA,Species,1149613,Ophiomusa anisacantha,"(H.L. Clark, 1928)",123566,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiomusium,1,0,0,0,NA,exact,0,0
Ophiothrix caespitosa,244975,Ophiothrix caespitosa,"Lyman, 1879",alternate representation,NA,Species,244164,Ophiothrix (Ophiothrix) caespitosa,"Lyman, 1879",123626,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,1,0,0,0,NA,exact,0,0
Ophiura irrorata,124922,Ophiura irrorata,"(Lyman, 1878)",alternate representation,NA,Species,1421346,Ophiuroglypha irrorata irrorata,"(Lyman, 1878)",123574,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,1,0,0,0,NA,exact,0,0
