query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Clinocardium nuttallii,381980,Clinocardium nuttallii,"(Conrad, 1837)",accepted,NA,Species,381980,Clinocardium nuttallii,"(Conrad, 1837)",156818,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Clinocardium,1,0,0,0,0,exact,0,0
Rexithaerus secta,880038,Rexithaerus secta,"(Conrad, 1837)",accepted,NA,Species,880038,Rexithaerus secta,"(Conrad, 1837)",606118,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Rexithaerus,1,NA,NA,NA,NA,exact,0,0
Cyclocardia crassidens,254463,Cyclocardia crassidens,"(Broderip & G. B. Sowerby I, 1829)",unaccepted,NA,Species,1420848,Crassicardia crassidens,"(Broderip & G. B. Sowerby I, 1829)",156830,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,1,NA,NA,NA,NA,exact,0,0
Cyclocardia ventricosa,254462,Cyclocardia ventricosa,"(Gould, 1850)",unaccepted,NA,Species,1420845,Coanicardita ventricosa,"(Gould, 1850)",156830,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,1,0,0,0,NA,exact,0,0
Leukoma staminea,507737,Leukoma staminea,"(Conrad, 1837)",accepted,NA,Species,507737,Leukoma staminea,"(Conrad, 1837)",492481,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Leukoma,1,NA,NA,NA,NA,exact,0,0
Saxidomus nuttalli,367778,Saxidomus nuttalli,"Conrad, 1837",accepted,NA,Species,367778,Saxidomus nuttalli,"Conrad, 1837",367777,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Saxidomus,1,NA,NA,NA,NA,exact,0,0
Mytilimeria nuttalli,506784,Mytilimeria nuttalli,"Conrad, 1837",accepted,NA,Species,506784,Mytilimeria nuttalli,"Conrad, 1837",740985,Animalia,Mollusca,Bivalvia,NA,Lyonsiidae,Mytilimeria,1,NA,NA,NA,NA,exact,0,0
Cranopsis cucullata,527876,Cranopsis cucullata,"(Gould, 1846)",unaccepted,NA,Species,761645,Puncturella cucullata,"(Gould, 1846)",138010,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Cranopsis,1,0,0,0,NA,exact,0,0
Vitreolina columbiana,580786,Vitreolina columbiana,"(Bartsch, 1917)",accepted,NA,Species,580786,Vitreolina columbiana,"(Bartsch, 1917)",137993,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Vitreolina,1,NA,NA,NA,NA,exact,0,0
Ocinebrina lurida,403752,Ocinebrina lurida,"(Middendorff, 1848)",unaccepted,NA,Species,1329756,Paciocinebrina lurida,"(Middendorff, 1848)",138201,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrina,1,0,0,0,NA,exact,0,0
Olivella baetica,448188,Olivella baetica,"Carpenter, 1864",unaccepted,NA,Species,1424885,Callianax alectona,"(Duclos, 1835)",138274,Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,Olivella,1,NA,NA,NA,NA,exact,0,0
Peltodoris nobilis,594422,Peltodoris nobilis,"(MacFarland, 1905)",accepted,NA,Species,594422,Peltodoris nobilis,"(MacFarland, 1905)",225423,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Peltodoris,1,NA,NA,NA,NA,exact,0,0
Flabellina trilineata,558401,Flabellina trilineata,"(O'Donoghue, 1921)",unaccepted,NA,Species,1052886,Coryphella trilineata,"O'Donoghue, 1921",138019,Animalia,Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Flabellina,1,NA,0,0,NA,exact,0,0
Flabellina verrucosa,153507,Flabellina verrucosa,"(M. Sars, 1829)",unaccepted,NA,Species,139987,Coryphella verrucosa,"(M. Sars, 1829)",138019,Animalia,Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Flabellina,1,0,0,0,0,exact,0,0
Acanthodoris nanaimoensis,535685,Acanthodoris nanaimoensis,"O'Donoghue, 1921",accepted,NA,Species,535685,Acanthodoris nanaimoensis,"O'Donoghue, 1921",138284,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,1,NA,NA,NA,NA,exact,0,0
