found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Pholoe,genus,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoe,129439,190334,2314843,398717,Pholoe,accepted,NA,FALSE,NA,"Johnston, 1839",Pholoe,Pholoe,Pholoe,"Pholoe Johnston, 1839",0,0
Pholoides asperus,species,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoides,334498,205769,2315149,961522,Pholoides asperus,accepted,NA,FALSE,NA,"(Johnson, 1897)",Pholoides asperus,Pholoides asperus,Pholoides asperus,"Pholoides asperus (Johnson, 1897)",0,0
Aricidea (Strelzovia) antennata,species,Annelida,Polychaeta,NA,Paraonidae,Aricidea,734520,370434,2318529,4978085,Aricidea antennata,alternate representation,superseded original combination,FALSE,sibling_higher,"Annenkova, 1934",Aricidea (Strelzovia) antennata,Aricidea antennata,Aricidea antennata,"Aricidea antennata Annenkova, 1934",0,0
Paradexiospira (Spirorbides) vitrea,species,Annelida,Polychaeta,Sabellida,Serpulidae,Paradexiospira,334341,190371,2327699,617643,Paradexiospira vitrea,alternate representation,NA,FALSE,NA,"(Fabricius, 1780)",Paradexiospira (Spirorbides) vitrea,Paradexiospira vitrea,Paradexiospira vitrea,"Paradexiospira vitrea (Fabricius, 1780)",0,0
Dodecaceria pacifica,species,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,1580005,160498,2324123,4976959,Dodecaceria fewkesi,unaccepted,"unnecessary replacement species name for Sabella pacifica Fewkes, 1889",FALSE,NA,"(Fewkes, 1889)",Dodecaceria pacifica,Dodecaceria fewkesi,Dodecaceria fewkesi,"Dodecaceria fewkesi Berkeley & Berkeley, 1954",0,0
Sipuncula,order,Annelida,NA,Sipuncula,NA,NA,1268,NA,NA,377817,Sipuncula,accepted,NA,FALSE,NA,"Stephen, 1965",Sipuncula,Sipuncula,NA,NA,0,0
Amynthas robustus,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,1507696,81389,5854839,264553,Amynthas robustus,accepted,NA,FALSE,sibling_higher,"(Perrier, 1872)",Amynthas robustus,Amynthas robustus,Amynthas robustus,"Amynthas robustus (Perrier, 1872)",NA,1
Lumbricidae,family,Annelida,Clitellata,Crassiclitellata,Lumbricidae,NA,154884,25193,6103,316446,Lumbricidae,accepted,NA,FALSE,sibling_higher,"Rafinesque, 1815",Lumbricidae,Lumbricidae,Lumbricidae,Lumbricidae,0,1
Microscolex phosphoreus,species,Annelida,Clitellata,Crassiclitellata,Acanthodrilidae,Microscolex,1433886,258704,2307726,657256,Microscolex phosphoreus,accepted,NA,FALSE,NA,"(Dugès, 1837)",Microscolex phosphoreus,Microscolex phosphoreus,Microscolex phosphoreus,"Microscolex phosphoreus (Dugès, 1837)",0,1
Orobdella octonaria,species,Annelida,Clitellata,Arhynchobdellida,Orobdellidae,Orobdella,1594072,506563,8750945,631090,Orobdella octonaria,accepted,NA,FALSE,NA,"Oka, 1895",Orobdella octonaria,Orobdella octonaria,Orobdella octonaria,"Orobdella octonaria Oka, 1895",0,1
Ikeda,genus,Annelida,Polychaeta,Echiuroidea,Ikedidae,Ikeda,264911,671133,2508936,2848107,Ikeda,accepted,NA,FALSE,unplaced_inherited,"Wharton, 1913",Ikeda,Ikeda,Ikeda,"Ikeda Wharton, 1913",0,0
Ikedosoma elegans,species,Annelida,Polychaeta,Echiuroidea,Thalassematidae,Ikedosoma,266774,717496,2508981,2848109,Ikedosoma elegans,accepted,NA,FALSE,NA,"(Ikeda, 1904)",Ikedosoma elegans,Ikedosoma elegans,Ikedosoma elegans,"Ikedosoma elegans (Ikeda, 1904)",0,0
Listriolobus sorbillans,species,Annelida,Polychaeta,Echiuroidea,Thalassematidae,Listriolobus,266794,717497,5234375,2848066,Listriolobus sorbillans,accepted,NA,FALSE,NA,"(Lampert, 1883)",Listriolobus sorbillans,Listriolobus sorbillans,Listriolobus sorbillans,"Listriolobus sorbillans (Lampert, 1883)",0,0
Allolobophora chlorotica,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,994685,127146,4410938,761874,Allolobophora chlorotica,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Allolobophora chlorotica,Allolobophora chlorotica,Allolobophora chlorotica,"Allolobophora chlorotica (Savigny, 1826)",0,1
Aporrectodea caliginosa,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,1041019,25208,2307759,128734,Aporrectodea caliginosa,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea caliginosa,"Aporrectodea caliginosa (Savigny, 1826)",1,0
Aporrectodea rosea,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,994668,25205,2307760,1039463,Aporrectodea rosea,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Aporrectodea rosea,Aporrectodea rosea,Aporrectodea rosea,"Aporrectodea rosea (Savigny, 1826)",0,1
Satchellius mammalis,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Satchellius,1074033,406645,4410498,121709,Satchellius mammalis,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Satchellius mammalis,Satchellius mammalis,Satchellius mammalis,"Satchellius mammalis (Savigny, 1826)",0,1
Pontodrilus litoralis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Pontodrilus,137476,33395,2308571,180473,Pontodrilus bermudensis,unaccepted,Synonym,FALSE,NA,"(Grube, 1855)",Pontodrilus litoralis,Pontodrilus bermudensis,Pontodrilus bermudensis,"Pontodrilus bermudensis Beddard, 1891",NA,NA
