found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Acartia (Acartiura) longiremis,species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,346037,310780,2114439,966235,Acartia longiremis,alternate representation,NA,FALSE,sibling_higher,"(Lilljeborg, 1853)",Acartia (Acartiura) longiremis,Acartia longiremis,Acartia longiremis,"Acartia longiremis (Lilljeborg, 1853)",0,0
Scolecithricella minor minor,species,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,1509944,91754,2114711,484754,Scolecithricella minor,alternate representation,NA,FALSE,NA,"(Brady, 1883)",Scolecithricella minor minor,Scolecithricella minor,Scolecithricella minor,Scolecithricella minor,0,0
Tortanus (Boreotortanus) discaudatus,species,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,720592,32102,2115556,447359,Tortanus discaudatus,alternate representation,NA,FALSE,sibling_higher,"(Thompson I.C. & Scott A.) In Herdman, Thompson & Scott, 1897)",Tortanus (Boreotortanus) discaudatus,Tortanus discaudatus,Tortanus discaudatus,"Tortanus discaudatus (Thompson I.C. & Scott A.) In Herdman, Thompson & Scott, 1897",0,0
Spinomonstrilla spinosa,species,Arthropoda,Copepoda,Monstrilloida,Monstrillidae,Monstrilla,1381951,944245,2110835,2945459,Monstrilla spinosa,unaccepted,NA,FALSE,NA,"(Park, 1967)",Spinomonstrilla spinosa,Monstrilla spinosa,Monstrilla spinosa,"Monstrilla spinosa Park, 1967",0,0
Thecostraca,class,Arthropoda,Hexanauplia,NA,NA,NA,22388,NA,9421786,7114104,Hexanauplia,unaccepted,Rank not justified with recent phylogenetic work.,FALSE,NA,"Gruvel, 1905",Thecostraca,Hexanauplia,NA,Hexanauplia,0,0
Scleroplax faba,species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,1424666,NA,2226892,115158,Pinnixa faba,superseded combination,NA,FALSE,NA,"(Dana, 1851)",Scleroplax faba,Pinnixa faba,NA,"Pinnixa faba (Dana, 1851)",0,0
Scleroplax schmitti,species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,1424669,NA,2226894,689384,Pinnixa schmitti,superseded combination,NA,FALSE,NA,"(Rathbun, 1918)",Scleroplax schmitti,Pinnixa schmitti,NA,"Pinnixa schmitti Rathbun, 1918",0,0
Scleroplax tubicola,species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,1424670,NA,2226881,689388,Pinnixa tubicola,superseded combination,NA,FALSE,NA,"(Holmes, 1895)",Scleroplax tubicola,Pinnixa tubicola,NA,"Pinnixa tubicola Holmes, 1895",0,0
Ligia pallasii,species,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,257558,106971,5175649,725767,Ligia pallasii,accepted,NA,FALSE,sibling_higher,"Brandt, 1833",Ligia pallasii,Ligia pallasii,Ligia pallasii,"Ligia pallasii Brandt, 1833",0,1
Dynamene glabra,species,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Dynamene,291368,804556,5176501,2996169,Dynamene glabra,taxon inquirendum,NA,FALSE,hidden,"Richardson, 1899",Dynamene glabra,Dynamene glabra,Dynamene glabra,"Dynamene glabra Richardson, 1899",0,0
Sessilia,order,Arthropoda,Thecostraca,Sessilia,NA,NA,106033,391,1426,463195,Sessilia,uncertain,NA,FALSE,NA,"Lamarck, 1818",Sessilia,Sessilia,Sessilia,Sessilia,0,0
Parasacculina yatsui,species,Arthropoda,Thecostraca,NA,Sacculinidae,Sacculina,1391661,105196,5862387,855396,Sacculina yatsui,unaccepted,NA,FALSE,NA,"(Boschma, 1936)",Parasacculina yatsui,Sacculina yatsui,Sacculina yatsui,"Sacculina yatsui Boschma, 1936",0,0
Macrobrachium fukienense,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587230,169725,2224513,1397,Macrobrachium fukienense,accepted,NA,FALSE,NA,"Liang & Yan, 1980",Macrobrachium fukienense,Macrobrachium fukienense,Macrobrachium fukienense,"Macrobrachium fukienense Liang & Yan, 1980",1,0
Macrobrachium asperulum,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587100,105497,2224578,8272,Macrobrachium asperulum,accepted,NA,FALSE,NA,"(von Martens, 1868)",Macrobrachium asperulum,Macrobrachium asperulum,Macrobrachium asperulum,"Macrobrachium asperulum (von Martens, 1868)",1,0
