found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Crassicardia crassidens,species,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,1420848,495464,2286615,2859882,Cyclocardia crassidens,unaccepted,NA,FALSE,NA,"(Broderip & G. B. Sowerby I, 1829)",Crassicardia crassidens,Cyclocardia crassidens,Cyclocardia crassidens,"Cyclocardia crassidens (Broderip & G.B.Sowerby I, 1829)",0,0
Coanicardita ventricosa,species,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,1420845,394946,2286610,2859650,Cyclocardia ventricosa,unaccepted,NA,FALSE,NA,"(Gould, 1850)",Coanicardita ventricosa,Cyclocardia ventricosa,Cyclocardia ventricosa,"Cyclocardia ventricosa (Gould, 1850)",0,0
Puncturella cucullata,species,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Cranopsis,761645,656572,5190373,745619,Cranopsis cucullata,unaccepted,NA,FALSE,NA,"(Gould, 1846)",Puncturella cucullata,Cranopsis cucullata,Cranopsis cucullata,"Cranopsis cucullata (Gould, 1846)",0,0
Paciocinebrina lurida,species,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrina,1329756,495456,2304145,2909169,Ocinebrina lurida,unaccepted,NA,FALSE,NA,"(Middendorff, 1848)",Paciocinebrina lurida,Ocinebrina lurida,Ocinebrina lurida,"Ocinebrina lurida (Middendorff, 1848)",0,0
Callianax alectona,species,Mollusca,Gastropoda,Neogastropoda,Olividae,Olivella,1424885,474152,2302780,2907707,Olivella baetica,unaccepted,NA,FALSE,NA,"(Duclos, 1835)",Callianax alectona,Olivella baetica,Olivella baetica,"Olivella baetica Carpenter, 1864",0,0
Coryphella trilineata,species,Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Flabellina,1052886,507598,5190139,20706,Flabellina trilineata,unaccepted,NA,FALSE,sibling_higher,"O'Donoghue, 1921",Coryphella trilineata,Flabellina trilineata,Flabellina trilineata,"Flabellina trilineata (O'Donoghue, 1921)",0,0
Coryphella verrucosa,species,Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Flabellina,139987,79945,5190135,578605,Flabellina verrucosa,unaccepted,NA,FALSE,sibling_higher,"(M. Sars, 1829)",Coryphella verrucosa,Flabellina verrucosa,Flabellina verrucosa,"Flabellina verrucosa (M.Sars, 1829)",0,0
Atalodoris jannae,species,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Knoutsodonta,1565340,717692,8088061,2875712,Knoutsodonta jannae,superseded combination,NA,FALSE,NA,"(Millen, 1987)",Atalodoris jannae,Knoutsodonta jannae,Knoutsodonta jannae,"Knoutsodonta jannae (Millen, 1987)",0,0
Antiopella fusca,species,Mollusca,Gastropoda,Nudibranchia,Janolidae,Janolus,1340034,508074,2291882,1022338,Janolus fuscus,unaccepted,original combination,FALSE,incertae_sedis_inherited,"(O'Donoghue, 1924)",Antiopella fusca,Janolus fuscus,Janolus fuscus,"Janolus fuscus O'Donoghue, 1924",0,0
Ariolimax columbianus,species,Mollusca,Gastropoda,Stylommatophora,Ariolimacidae,Ariolimax,1352058,350910,2294090,2882280,Ariolimax columbianus,accepted,NA,FALSE,NA,"(A. Gould, 1851)",Ariolimax columbianus,Ariolimax columbianus,Ariolimax columbianus,"Ariolimax columbianus (A.Gould, 1851)",0,1
Vespericola columbiana,species,Mollusca,Gastropoda,Stylommatophora,Polygyridae,Vespericola,1352056,796236,2295768,1045329,Vespericola columbiana,accepted,NA,FALSE,NA,"(I. Lea, 1839)",Vespericola columbiana,Vespericola columbiana,Vespericola columbiana,"Vespericola columbiana (I.Lea, 1839)",0,1
