found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Amathia,genus,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Bowerbankia,111022,247919,1010257,401890,Bowerbankia,unaccepted,Subjective junior synonym,FALSE,NA,"Lamouroux, 1812",Amathia,Bowerbankia,Bowerbankia,"Bowerbankia Farre, 1837",0,0
Urticina eques,species,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,100833,33439,4339146,278329,Urticina lofotensis,unaccepted,NA,FALSE,sibling_higher,"(Gosse, 1858)",Urticina eques,Urticina lofotensis,Urticina lofotensis,"Urticina lofotensis (Danielssen, 1890)",0,0
Balanophyllia (Balanophyllia) elegans,species,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,286920,83468,2259665,192310,Balanophyllia elegans,alternate representation,NA,FALSE,NA,"Verrill, 1864",Balanophyllia (Balanophyllia) elegans,Balanophyllia elegans,Balanophyllia elegans,"Balanophyllia elegans Verrill, 1864",0,0
Bougainvillia glorietta,species,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,284235,930768,2266581,3681607,Bougainvillia glorietta,taxon inquirendum,NA,FALSE,hidden,"Torrey, 1904",Bougainvillia glorietta,Bougainvillia glorietta,Bougainvillia glorietta,"Bougainvillia glorietta Torrey, 1904",0,0
Haliclystus californiensis,species,Cnidaria,Staurozoa,Stauromedusae,Haliclystidae,Haliclystus,527704,302950,5842372,922281,Haliclystus californiensis,accepted,NA,FALSE,NA,"Kahn, Matsumoto, Hirano & Collins, 2010",Haliclystus californiensis,Haliclystus californiensis,Haliclystus californiensis,"Haliclystus californiensis Kahn, Matsumoto, Hirano & Collins, 2010",0,0
Haliclystus californiensis,species,Cnidaria,Staurozoa,Stauromedusae,Haliclystidae,Haliclystus,527704,302950,5842372,922281,Haliclystus californiensis,accepted,NA,FALSE,NA,"Kahn, Matsumoto, Hirano & Collins, 2010",Haliclystus californiensis,Haliclystus californiensis,Haliclystus californiensis,"Haliclystus californiensis Kahn, Matsumoto, Hirano & Collins, 2010",0,0
Haliclona (Reniera) cinerea,species,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,166605,166437,5182166,305411,Haliclona cinerea,alternate representation,subgenus assignment,FALSE,sibling_higher,"(Grant, 1826)",Haliclona (Reniera) cinerea,Haliclona cinerea,Haliclona cinerea,"Haliclona cinerea (Grant, 1826)",0,0
Halichondria (Halichondria) bowerbanki,species,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,165801,173864,2249909,338349,Halichondria bowerbanki,alternate representation,subgenus assignment,FALSE,NA,"Burton, 1930",Halichondria (Halichondria) bowerbanki,Halichondria bowerbanki,Halichondria bowerbanki,"Halichondria bowerbanki Burton, 1930",0,0
Halichondria (Halichondria) panicea,species,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,165853,106235,2249942,708370,Halichondria panicea,alternate representation,subgenus assignment,FALSE,NA,"(Pallas, 1766)",Halichondria (Halichondria) panicea,Halichondria panicea,Halichondria panicea,"Halichondria panicea (Pallas, 1766)",0,0
Gordius,genus,Nemertea,Nemertea incertae sedis,NA,NA,Gordius,147097,261953,9660818,894253,Gordius,accepted,NA,FALSE,NA,"Linnaeus, 1758",Gordius,Gordius,Gordius,Gordius,0,0
Gordius,genus,Nemertea,Nemertea incertae sedis,NA,NA,Gordius,147097,261953,9660818,894253,Gordius,accepted,NA,FALSE,NA,"Linnaeus, 1758",Gordius,Gordius,Gordius,Gordius,0,0
Plationus patulus,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Plationus,955742,284154,1002807,937964,Plationus patulus,accepted,NA,FALSE,NA,"(Müller, 1786)",Plationus patulus,Plationus patulus,Plationus patulus,"Plationus patulus (Müller, 1786)",1,0
Brachionus havanaensis,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,986858,271795,4984099,700604,Brachionus havanaensis,accepted,NA,FALSE,NA,"Rousselet, 1911",Brachionus havanaensis,Brachionus havanaensis,Brachionus havanaensis,"Brachionus havanaensis Rousselet, 1911",1,0
Brachionus angularis,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,134979,281626,4984131,837275,Brachionus angularis,accepted,NA,FALSE,NA,"Gosse, 1851",Brachionus angularis,Brachionus angularis,Brachionus angularis,"Brachionus angularis Gosse, 1851",1,NA
Keratella americana,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,419294,284179,1002610,1023633,Keratella americana,accepted,NA,FALSE,NA,"Carlin, 1943",Keratella americana,Keratella americana,Keratella americana,"Keratella americana Carlin, 1943",1,0
Lecane bulla,species,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,148327,281617,1002248,532775,Lecane bulla,accepted,NA,FALSE,NA,"(Gosse, 1851)",Lecane bulla,Lecane bulla,Lecane bulla,"Lecane bulla (Gosse, 1851)",1,0
Lecane luna,species,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,148332,284143,1002436,316622,Lecane luna,accepted,NA,FALSE,NA,"(Müller, 1776)",Lecane luna,Lecane luna,Lecane luna,"Lecane luna (Müller, 1776)",1,0
Macrochaetus,genus,Rotifera,Eurotatoria,Ploima,Trichotriidae,Macrochaetus,954382,284186,1003068,563702,Macrochaetus,accepted,NA,FALSE,NA,"Perty, 1850",Macrochaetus,Macrochaetus,Macrochaetus,"Macrochaetus Perty, 1850",1,NA
Lecane hamata,species,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,148330,284139,1002233,429874,Lecane hamata,accepted,NA,FALSE,NA,"(Stokes, 1896)",Lecane hamata,Lecane hamata,Lecane hamata,"Lecane hamata (Stokes, 1896)",1,0
Euchlanis dilatata,species,Rotifera,Eurotatoria,Ploima,Euchlanidae,Euchlanis,134988,284131,1002550,1018357,Euchlanis dilatata,accepted,NA,FALSE,NA,"Ehrenberg, 1832",Euchlanis dilatata,Euchlanis dilatata,Euchlanis dilatata,"Euchlanis dilatata Ehrenberg, 1832",1,NA
Lecane cornuta,species,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,135029,284129,1002449,429869,Lecane cornuta,accepted,NA,FALSE,NA,"(Müller, 1786)",Lecane cornuta,Lecane cornuta,Lecane cornuta,"Lecane cornuta (Müller, 1786)",1,NA
Lecane curvicornis,species,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,954375,271799,1002391,620080,Lecane curvicornis,accepted,NA,FALSE,NA,"(Murray, 1913)",Lecane curvicornis,Lecane curvicornis,Lecane curvicornis,"Lecane curvicornis (Murray, 1913)",1,0
Lecane papuana,species,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,954376,284125,1002308,581949,Lecane papuana,accepted,NA,FALSE,NA,"(Murray, 1913)",Lecane papuana,Lecane papuana,Lecane papuana,"Lecane papuana (Murray, 1913)",1,0
Lepadella ovalis,species,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,1390811,596417,1001487,2941354,Lepadella ovalis,accepted,NA,FALSE,sibling_higher,"(Müller, 1786)",Lepadella ovalis,Lepadella ovalis,Lepadella ovalis,"Lepadella ovalis (Müller, 1786)",1,NA
Lecane hastata,species,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,1507482,284188,1002220,701563,Lecane hastata,accepted,NA,FALSE,NA,"(Murray, 1913)",Lecane hastata,Lecane hastata,Lecane hastata,"Lecane hastata (Murray, 1913)",1,NA
Kellicottia bostoniensis,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,847465,396081,1002572,672796,Kellicottia bostoniensis,accepted,NA,FALSE,NA,"(Rousselet, 1908)",Kellicottia bostoniensis,Kellicottia bostoniensis,Kellicottia bostoniensis,"Kellicottia bostoniensis (Rousselet, 1908)",1,NA
Brachionus calyciflorus,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,134980,25428,4984102,939320,Brachionus calyciflorus,accepted,NA,FALSE,NA,"Pallas, 1766",Brachionus calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,"Brachionus calyciflorus Pallas, 1766",1,NA
Ascomorpha ovalis,species,Rotifera,Eurotatoria,Ploima,Gastropodidae,Ascomorpha,135028,396083,1001615,513186,Ascomorpha ovalis,accepted,NA,FALSE,NA,"(Bergendahl, 1892)",Ascomorpha ovalis,Ascomorpha ovalis,Ascomorpha ovalis,"Ascomorpha ovalis (Bergendal, 1892)",1,NA
Trichocerca stylata,species,Rotifera,Eurotatoria,Ploima,Trichocercidae,Trichocerca,159729,400833,1002015,672791,Trichocerca stylata,accepted,NA,FALSE,NA,"(Gosse, 1851)",Trichocerca stylata,Trichocerca stylata,Trichocerca stylata,"Trichocerca stylata (Gosse, 1851)",1,NA
Brachionus bidentatus,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,1390904,284174,4984167,620076,Brachionus bidentatus,accepted,NA,FALSE,NA,"Anderson, 1889",Brachionus bidentatus,Brachionus bidentatus,Brachionus bidentatus,"Brachionus bidentatus Anderson, 1889",1,NA
Brachionus urceolaris,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,134985,31553,4984202,169314,Brachionus urceolaris,accepted,NA,FALSE,NA,"Müller, 1773",Brachionus urceolaris,Brachionus urceolaris,Brachionus urceolaris,"Brachionus urceolaris Müller, 1773",1,NA
Plationus,genus,Rotifera,Eurotatoria,Ploima,Brachionidae,Plationus,955739,284122,1002803,937966,Plationus,accepted,NA,FALSE,sibling_higher,"Segers, Murugan & Dumont, 1993",Plationus,Plationus,Plationus,"Plationus Segers, Murugan & Dumont, 1993",1,NA
Lepadella patella,species,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,148316,284141,1001407,1018359,Lepadella patella,accepted,NA,FALSE,sibling_higher,"(Müller, 1773)",Lepadella patella,Lepadella patella,Lepadella patella,"Lepadella patella (Müller, 1773)",1,0
Filinia,genus,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,134931,281622,1000456,424467,Filinia,accepted,NA,FALSE,sibling_higher,"Bory de St. Vincent, 1824",Filinia,Filinia,Filinia,"Filinia Bory de St.Vincent, 1824",1,0
Keratella cochlearis,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,134990,31550,1002590,169319,Keratella cochlearis,accepted,NA,FALSE,NA,"(Gosse, 1851)",Keratella cochlearis,Keratella cochlearis,Keratella cochlearis,"Keratella cochlearis (Gosse, 1851)",1,NA
Brachionus variabilis,species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,1037330,400829,4984081,620078,Brachionus variabilis,accepted,NA,FALSE,NA,"Hempel, 1896",Brachionus variabilis,Brachionus variabilis,Brachionus variabilis,"Brachionus variabilis Hempel, 1896",1,NA
Macrobiotidae,family,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,NA,342534,26036,6357,111444,Macrobiotidae,accepted,NA,FALSE,NA,"Thulin, 1928",Macrobiotidae,Macrobiotidae,Macrobiotidae,Macrobiotidae,1,1
Bugulina flabellata,species,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,834002,32458,4984818,542311,Bugula flabellata,unaccepted,NA,FALSE,NA,"(Thompson in Gray, 1848)",Bugulina flabellata,Bugula flabellata,Bugula flabellata,"Bugula flabellata (Thompson, 1848)",0,0
Macrobiotus hufelandi,species,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Macrobiotus,343296,511778,2254115,998162,Macrobiotus hufelandi,accepted,NA,FALSE,NA,"C.A.S. Schultze, 1834",Macrobiotus hufelandi,Macrobiotus hufelandi,Macrobiotus hufelandi,"Macrobiotus hufelandi C.A.S.Schultze, 1834",1,1
Kellicottia,genus,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,134940,284195,1002568,672795,Kellicottia,accepted,NA,FALSE,sibling_higher,"Ahlstrom, 1938",Kellicottia,Kellicottia,Kellicottia,"Kellicottia Ahlstrom, 1938",1,0
Hydra vulgaris,species,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,290157,104179,5185782,111442,Hydra vulgaris,accepted,NA,FALSE,NA,"Pallas, 1766",Hydra vulgaris,Hydra vulgaris,Hydra vulgaris,"Hydra vulgaris Pallas, 1766",1,0
Exaiptasia diaphana,species,Cnidaria,Anthozoa,Actiniaria,Aiptasiidae,Aiptasia,1264073,708084,2257291,135925,Aiptasia pulchella,unaccepted,subjective synonym,FALSE,NA,"(Rapp, 1829)",Exaiptasia diaphana,Aiptasia pulchella,Aiptasia pulchella,"Aiptasia pulchella Carlgren, 1943",0,0
Rotaria rotatoria,species,Rotifera,Eurotatoria,NA,Philodinidae,Rotaria,431954,105753,1000850,1018353,Rotaria rotatoria,accepted,NA,FALSE,NA,"(Pallas, 1766)",Rotaria rotatoria,Rotaria rotatoria,Rotaria rotatoria,"Rotaria rotatoria (Pallas, 1766)",1,NA
Rotaria tardigrada,species,Rotifera,Eurotatoria,NA,Philodinidae,Rotaria,247967,105754,1000835,48499,Rotaria tardigrada,accepted,NA,FALSE,NA,"(Ehrenberg, 1830)",Rotaria tardigrada,Rotaria tardigrada,Rotaria tardigrada,"Rotaria tardigrada (Ehrenberg, 1830)",1,NA
