found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Hippasteria phrygiana,species,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Hippasteria,124043,32899,2271361,658153,Hippasteria spinosa,unaccepted,Synonym according to Mah et al. (2014),FALSE,NA,"(Parelius, 1768)",Hippasteria phrygiana,Hippasteria spinosa,Hippasteria spinosa,"Hippasteria spinosa Verrill, 1909",0,0
Aphelenchoides xylocopae,species,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Aphelenchoides,1461765,104287,9874351,651321,Aphelenchoides xylocopae,accepted,NA,FALSE,NA,"Kanzaki, 2006",Aphelenchoides xylocopae,Aphelenchoides xylocopae,Aphelenchoides xylocopae,"Aphelenchoides xylocopae Kanzaki, 2006",NA,1
Spirometra erinaceieuropaei,species,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Spirometra,1030499,163713,4857713,883817,Spirometra erinaceieuropaei,accepted,NA,FALSE,NA,"(Rudolphi, 1819) Faust, Campbell & Kellogg, 1929",Spirometra erinaceieuropaei,Spirometra erinaceieuropaei,Spirometra erinaceieuropaei,"Spirometra erinaceieuropaei (Rudolphi, 1810) Faust, Campbell & Kellogg, 1929",NA,1
Xiphinema,genus,Nematoda,Enoplea,Dorylaimida,Longidoridae,Xiphinema,583061,5873,2282732,165367,Xiphinema,accepted,NA,FALSE,NA,"Cobb, 1913",Xiphinema,Xiphinema,Xiphinema,"Xiphinema Cobb, 1913",0,1
Mermis,genus,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,1294087,923300,2279597,824125,Mermis,accepted,NA,FALSE,NA,"Dujardin, 1842",Mermis,Mermis,Mermis,"Mermis Dujardin, 1842",1,1
Romanomermis,genus,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,1294103,106064,4281960,18707,Romanomermis,accepted,NA,FALSE,NA,"Coman, 1961",Romanomermis,Romanomermis,Romanomermis,"Romanomermis Coman, 1961",1,NA
Isthmiophora hortensis,species,Platyhelminthes,Trematoda,Plagiorchiida,Echinostomatidae,Echinostoma,1521857,172078,10003781,591822,Echinostoma hortense,unaccepted,superseded combination,FALSE,NA,"(Asada, 1926) Kostadinova & Gibson, 2002",Isthmiophora hortensis,Echinostoma hortense,Echinostoma hortense,"Echinostoma hortense Asada, 1926",1,1
Trichinella spiralis,species,Nematoda,Enoplea,Trichinellida,Trichinellidae,Trichinella,1587600,30418,2283365,567340,Trichinella spiralis,accepted,NA,FALSE,NA,"(Owen, 1835) Ward, 1907",Trichinella spiralis,Trichinella spiralis,Trichinella spiralis,"Trichinella spiralis (Owen, 1835)",1,1
Trichinella pseudospiralis,species,Nematoda,Enoplea,Trichinellida,Trichinellidae,Trichinella,1587603,167097,4554191,567343,Trichinella pseudospiralis,accepted,NA,FALSE,NA,"Garkavi, 1972",Trichinella pseudospiralis,Trichinella pseudospiralis,Trichinella pseudospiralis,"Trichinella pseudospiralis Garkavi, 1972",1,1
Trichinella,genus,Nematoda,Enoplea,Trichinellida,Trichinellidae,Trichinella,1584400,30417,2283364,567347,Trichinella,accepted,NA,FALSE,NA,"Railliet, 1895",Trichinella,Trichinella,Trichinella,"Trichinella Railliet, 1895",1,1
