"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"1","Glycerana","Glycerana","Glaberana",NA,7873058,FALSE,"sibling_higher"
"2","Pholoides asperus","Pholoides asperus","Pholoides asperus","species",961522,FALSE,NA
"3","Eteone fauchaldi","Eteone fauchaldi","Hypereteone fauchaldi","species",4983723,TRUE,NA
"4","Proceraeagropunctata","Proceraeagropunctata","Proceraea nigropunctata",NA,330933,FALSE,NA
"5","Aricidea antennata","Aricidea antennata","Aricidea antennata","species",4978085,FALSE,"sibling_higher"
"6","Paradexiospira violaceus","Paradexiospira violaceus","Paradexiospira violacea","species",4985914,TRUE,NA
"7","Paradexiospira vitrea","Paradexiospira vitrea","Paradexiospira vitrea","species",617643,FALSE,NA
"8","Dipolydora magna","Dipolydora magna","Polydora magna","species",4976456,FALSE,"sibling_higher"
"9","Prionospio multibranchiatus","Prionospio multibranchiatus","Prionospio multibranchiata","species",4976054,FALSE,NA
"10","Spiophanesrrisi","Spiophanesrrisi","Spiophanes norrisi",NA,349433,FALSE,NA
"11","Dodecaceria fewkesi","Dodecaceria fewkesi","Dodecaceria fewkesi","species",4976959,FALSE,NA
"12","Allolobophora cupulifera","Allolobophora cupulifera","Aporrectodea cupulifera","species",647852,TRUE,NA
"13","Murchieona minuscula","Murchieona minuscula","Murchieona minuscula","species",4165426,FALSE,"incertae_sedis_inherited"
"14","Erpobdella microstoma","Erpobdella microstoma","Erpobdella microstoma","species",7486056,FALSE,NA
"15","Metaphire sieboldi","Metaphire sieboldi","Metaphire sieboldi","species",833400,FALSE,NA
"16","Metaphire tosaensis","Metaphire tosaensis","Metaphire tosaensis","species",833402,FALSE,NA
"17","Amynthas vittatus","Amynthas vittatus","Amynthas vittatus","species",191497,FALSE,"sibling_higher"
"18","Metaphire hilgendorfi","Metaphire hilgendorfi","Metaphire hilgendorfi","species",833406,FALSE,NA
"19","Duplodicodrilus schmardae","Duplodicodrilus schmardae","Duplodicodrilus schmardae","species",839170,FALSE,NA
"20","Metaphire megascolidioides","Metaphire megascolidioides","Metaphire megascolidioides","species",72069,FALSE,NA
"21","Amynthas carnosus","Amynthas carnosus","Amynthas carnosus","species",370242,FALSE,"sibling_higher"
"22","Amynthas corticis","Amynthas corticis","Amynthas corticis","species",786614,FALSE,"sibling_higher"
"23","Amynthas distichus","Amynthas distichus","Amynthas distichus","species",370248,FALSE,"sibling_higher"
"24","Amynthas fuscatus","Amynthas fuscatus","Amynthas fuscatus","species",370234,FALSE,"sibling_higher"
"25","Amynthas glabrus","Amynthas glabrus","Amynthas glabrus","species",370236,FALSE,"sibling_higher"
"26","Amynthas gracilis","Amynthas gracilis","Amynthas gracilis","species",192732,FALSE,"sibling_higher"
"27","Amynthas hupeiensis","Amynthas hupeiensis","Amynthas hupeiensis","species",258760,FALSE,"sibling_higher"
"28","Amynthas micronarius","Amynthas micronarius","Amynthas micronarius","species",895388,FALSE,"sibling_higher"
"29","Amynthas minimus","Amynthas minimus","Amynthas minimus","species",895385,FALSE,"sibling_higher"
"30","Amynthas morrisi","Amynthas morrisi","Amynthas morrisi","species",168832,FALSE,"sibling_higher"
"31","Amynthas phaselus","Amynthas phaselus","Amynthas phaselus","species",1051640,FALSE,"sibling_higher"
"32","Amynthas purpuratus","Amynthas purpuratus","Amynthas purpuratus","species",593460,FALSE,"sibling_higher"
