"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"1","Acartia longiremis","Acartia longiremis","Acartia longiremis","species",966235,FALSE,"sibling_higher"
"2","Scolecithricella minor","Scolecithricella minor","Scolecithricella minor","species",484754,FALSE,NA
"3","Tortanus discaudatus","Tortanus discaudatus","Tortanus discaudatus","species",447359,FALSE,"sibling_higher"
"4","Monstrilla spinosa","Monstrilla spinosa","Monstrilla spinosa","species",2945459,FALSE,NA
"5","Protohyale jarrettae","Protohyale jarrettae","Protohyale jarrettae","species",2983699,FALSE,NA
"6","Protohyale oclairi","Protohyale oclairi","Protohyale oclairi","species",2983669,FALSE,NA
"7","Micropleustesutilus","Micropleustesutilus","Micropleustes nautilus",NA,2985921,FALSE,NA
"8","Cumella vulgaris","Cumella vulgaris","Cumella vulgaris","species",3003020,FALSE,NA
"9","Eualus subtilis","Eualus subtilis","Eualus subtilis","species",2971691,FALSE,NA
"10","Pinnixa faba","Pinnixa faba","Pinnixa faba",NA,115158,FALSE,NA
"11","Pinnixa schmitti","Pinnixa schmitti","Pinnixa schmitti",NA,689384,FALSE,NA
"12","Pinnixa tubicola","Pinnixa tubicola","Pinnixa tubicola",NA,689388,FALSE,NA
"13","Hemigrapsusdus","Hemigrapsusdus","Hemigrapsus",NA,356745,FALSE,NA
"14","Ligia pallasii","Ligia pallasii","Ligia pallasii","species",725767,FALSE,"sibling_higher"
"15","Dynamene glabra","Dynamene glabra","Dynamene glabra","species",2996169,FALSE,"hidden"
"16","Pacifacanthomysisphrophthalma","Pacifacanthomysisphrophthalma","Pacifacanthomysis nephrophthalma",NA,2991124,FALSE,NA
"17","Semibalanus balanoides","Semibalanus balanoides","Semibalanus balanoides","species",374192,FALSE,NA
"18","Semibalanus cariosus","Semibalanus cariosus","Semibalanus cariosus","species",949511,FALSE,NA
"19","Solidobalanus engbergi","Solidobalanus engbergi","Solidobalanus engbergi","species",7115454,FALSE,NA
"20","Bosmina huaronensis","Bosmina huaronensis","Eubosmina huaronensis","species",423335,TRUE,NA
"21","Mastigodiaptomus montezumae","Mastigodiaptomus montezumae","Mastigodiaptomus montezumae","species",746249,FALSE,"sibling_higher"
"22","Eurythenes gryllus","Eurythenes gryllus","Eurythenes gryllus","species",415510,FALSE,NA
"23","Typhlodromus pyri","Typhlodromus pyri","Typhlodromus pyri","species",775029,FALSE,"sibling_higher"
"24","Daphnia schodleri","Daphnia schodleri","Daphnia schodleri","species",2960394,FALSE,"sibling_higher"
"25","Daphnia tenebrosa","Daphnia tenebrosa","Daphnia tenebrosa","species",684945,FALSE,"sibling_higher"
"26","Orconectes rusticus","Orconectes rusticus","Faxonius rusticus","species",169778,TRUE,NA
"27","Bellia picta","Bellia picta","Bellia picta","species",4669247,FALSE,NA
"28","Eurypodius latreillii","Eurypodius latreillii","Eurypodius latreillii","species",4667418,FALSE,NA
"29","Nauticaris magellanica","Nauticaris magellanica","Nauticaris magellanica","species",2971738,FALSE,NA
"30","Pseudocorystes sicarius","Pseudocorystes sicarius","Pseudocorystes sicarius","species",4668247,FALSE,NA
"31","Porcellio scaber","Porcellio scaber","Porcellio scaber","species",84741,FALSE,NA
"32","Locustacarus buchneri","Locustacarus buchneri","Locustacarus buchneri","species",1036657,FALSE,NA
"33","Ornithodoros moubata","Ornithodoros moubata","Ornithodoros moubata","species",896268,FALSE,NA
"34","Ixodes persulcatus","Ixodes persulcatus","Ixodes persulcatus","species",493158,FALSE,NA
"35","Haemaphysalis flava","Haemaphysalis flava","Haemaphysalis flava","species",75787,FALSE,NA
"36","Ixodes holocyclus","Ixodes holocyclus","Ixodes holocyclus","species",735715,FALSE,NA
"37","Ishizakiellavaezealandica","Ishizakiellavaezealandica","Ishizakiella novaezealandica",NA,728921,FALSE,"extinct_inherited, incertae_sedis"
"38","Ixodes acutitarsus","Ixodes acutitarsus","Ixodes acutitarsus","species",738227,FALSE,NA
"39","Ornithodoros porcinus","Ornithodoros porcinus","Ornithodoros porcinus","species",263260,FALSE,NA
"40","Amblyomma triguttatum","Amblyomma triguttatum","Amblyomma triguttatum","species",263000,FALSE,NA
"41","Leptotrombidium pallidum","Leptotrombidium pallidum","Leptotrombidium pallidum","species",524909,FALSE,NA
"42","Geothelphusa dehaani","Geothelphusa dehaani","Geothelphusa dehaani","species",446471,FALSE,NA
"43","Deiratonotus japonicus","Deiratonotus japonicus","Deiratonotus japonicus","species",702733,FALSE,NA
"44","Deiratonotus cristatus","Deiratonotus cristatus","Deiratonotus cristatus","species",644175,FALSE,NA
"45","Leptotrombidium deliense","Leptotrombidium deliense","Leptotrombidium deliense","species",76565,FALSE,NA
"46","Leptotrombidium akamushi","Leptotrombidium akamushi","Leptotrombidium akamushi","species",76563,FALSE,NA
"47","Rostratoverruca krugeri","Rostratoverruca krugeri","Rostratoverruca krugeri","species",191804,FALSE,NA
"48","Sacculina yatsui","Sacculina yatsui","Sacculina yatsui","species",855396,FALSE,NA
"49","Chionoecetes opilio","Chionoecetes opilio","Chionoecetes opilio","species",604254,FALSE,NA
"50","Chionoecetes bairdi","Chionoecetes bairdi","Chionoecetes bairdi","species",956514,FALSE,NA
"51","Chionoecetes japonicus","Chionoecetes japonicus","Chionoecetes japonicus","species",517913,FALSE,NA
"52","Telmessus cheiragonus","Telmessus cheiragonus","Telmessus cheiragonus","species",108901,FALSE,NA
"53","Telmessus cheiragonus","Telmessus cheiragonus","Telmessus cheiragonus","species",108901,FALSE,NA
"54","Ixodes philipi","Ixodes philipi","Ixodes philipi","species",54705,FALSE,NA
"55","Ixodes vespertilionis","Ixodes vespertilionis","Ixodes vespertilionis","species",163673,FALSE,NA
"56","Ixodes turdus","Ixodes turdus","Ixodes turdus","species",310079,FALSE,NA
"57","Ixodes ovatus","Ixodes ovatus","Ixodes ovatus","species",163681,FALSE,NA
"58","Ixodespponensis","Ixodespponensis","Ixodes ovatus",NA,163681,FALSE,NA
"59","Ixodes monospinosus","Ixodes monospinosus","Ixodes monospinosus","species",310081,FALSE,NA
"60","Ixodes granulatus","Ixodes granulatus","Ixodes granulatus","species",738231,FALSE,NA
"61","Ixodes asanumai","Ixodes asanumai","Ixodes asanumai","species",310089,FALSE,NA
"62","Macrobrachium fukienense","Macrobrachium fukienense","Macrobrachium fukienense","species",1397,FALSE,NA
"63","Macrobrachium asperulum","Macrobrachium asperulum","Macrobrachium asperulum","species",8272,FALSE,NA
