"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"1","Rhinogobiopscholsii","Rhinogobiopscholsii","Rhinogobiops nicholsii",NA,494025,FALSE,NA
"2","Damalichthys vacca","Damalichthys vacca","Rhacochilus vacca","species",841788,TRUE,"incertae_sedis_inherited"
"3","Oncorhynchusrka","Oncorhynchusrka","Oncorhynchus nerka",NA,165375,FALSE,NA
"4","Polypterus ornatipinnis","Polypterus ornatipinnis","Polypterus ornatipinnis","species",979639,FALSE,NA
"5","Myctophumtidulum","Myctophumtidulum","Myctophum nitidulum",NA,159745,FALSE,NA
"6","Triphoturusgrescens","Triphoturusgrescens","Triphoturus nigrescens",NA,341493,FALSE,NA
"7","Cottunculus subspinosus","Cottunculus subspinosus","Psychrolutes subspinosus","species",3632047,TRUE,NA
"8","Coryphaenoidessutus","Coryphaenoidessutus","Coryphaenoides nasutus",NA,547991,FALSE,"sibling_higher"
"9","Sardinops melanostictus","Sardinops melanostictus","Sardinops melanostictus",NA,318896,FALSE,NA
"10","Osteoglossum bicirrhosum","Osteoglossum bicirrhosum","Osteoglossum bicirrhosum","species",279997,FALSE,NA
"11","Pantodon buchholzi","Pantodon buchholzi","Pantodon buchholzi","species",108350,FALSE,NA
"12","Tachysurus tokiensis","Tachysurus tokiensis","Tachysurus tokiensis","species",804531,FALSE,NA
"13","Phenacogrammus interruptus","Phenacogrammus interruptus","Phenacogrammus interruptus","species",259776,FALSE,NA
"14","Chalceus macrolepidotus","Chalceus macrolepidotus","Chalceus macrolepidotus","species",753364,FALSE,NA
"15","Apteronotus albifrons","Apteronotus albifrons","Apteronotus albifrons","species",789557,FALSE,NA
"16","Cyprinella lutrensis","Cyprinella lutrensis","Cyprinella lutrensis","species",351753,FALSE,NA
"17","Boulengerella maculata","Boulengerella maculata","Boulengerella maculata","species",12192,FALSE,NA
"18","Distichodus sexfasciatus","Distichodus sexfasciatus","Distichodus sexfasciatus","species",185780,FALSE,NA
"19","Phractolaemus ansorgii","Phractolaemus ansorgii","Phractolaemus ansorgii","species",709381,FALSE,NA
"20","Lethenteron reissneri","Lethenteron reissneri","Lethenteron reissneri","species",227501,FALSE,NA
"21","Cycleptus elongatus","Cycleptus elongatus","Cycleptus elongatus","species",421697,FALSE,NA
"22","Carpiodes carpio","Carpiodes carpio","Carpiodes carpio","species",421700,FALSE,NA
"23","Doliolumtionalis","Doliolumtionalis","Doliolum nationalis",NA,326075,FALSE,NA
"24","Lethenteron kessleri","Lethenteron kessleri","Lethenteron kessleri","species",346252,FALSE,NA
"25","Lampetra tridentata","Lampetra tridentata","Lampetra tridentata",NA,243579,FALSE,NA
"26","Ichthyomyzon unicuspis","Ichthyomyzon unicuspis","Ichthyomyzon unicuspis","species",487085,FALSE,NA
"27","Balaenoptera brydei","Balaenoptera brydei","Balaenoptera brydei","species",959341,FALSE,NA
"28","Ariomma indicum","Ariomma indicum","Ariomma indicum","species",640295,FALSE,NA
"29","Centrolophusger","Centrolophusger","Centrolophus niger",NA,118674,FALSE,NA
"30","Cubiceps squamiceps","Cubiceps squamiceps","Cubiceps squamiceps","species",118697,FALSE,NA
"31","Gnathopogon elongatus","Gnathopogon elongatus","Gnathopogon elongatus","species",513728,FALSE,NA
"32","Aphyocypris chinensis","Aphyocypris chinensis","Aphyocypris chinensis","species",279724,FALSE,NA
"33","Nipponocypris sieboldii","Nipponocypris sieboldii","Nipponocypris sieboldii","species",877694,FALSE,NA
"34","Myxocyprinus asiaticus","Myxocyprinus asiaticus","Myxocyprinus asiaticus","species",141409,FALSE,NA
"35","Barbus barbus","Barbus barbus","Barbus barbus","species",780943,FALSE,NA
"36","Labeo batesii","Labeo batesii","Labeo batesii","species",495904,FALSE,"sibling_higher"
"37","Labeo senegalensis","Labeo senegalensis","Labeo senegalensis","species",1026922,FALSE,"sibling_higher"
"38","Gymnocypris przewalskii","Gymnocypris przewalskii","Gymnocypris przewalskii","species",262419,FALSE,NA
"39","Pungtungia herzi","Pungtungia herzi","Pungtungia herzi","species",523420,FALSE,NA
"40","Pseudorasbora pumila","Pseudorasbora pumila","Pseudorasbora pumila","species",1003837,FALSE,NA
"41","Enteromius trimaculatus","Enteromius trimaculatus","Enteromius trimaculatus","species",31731,FALSE,NA
"42","Barbatula toni","Barbatula toni","Barbatula toni","species",210578,FALSE,NA
"43","Gyrinocheilus aymonieri","Gyrinocheilus aymonieri","Gyrinocheilus aymonieri","species",341392,FALSE,NA
"44","Minytrema melanops","Minytrema melanops","Minytrema melanops","species",421694,FALSE,NA
"45","Moxostoma poecilurum","Moxostoma poecilurum","Moxostoma poecilurum","species",1048750,FALSE,NA
"46","Pangio anguillaris","Pangio anguillaris","Pangio anguillaris","species",1061080,FALSE,NA
"47","Hypenteliumgricans","Hypenteliumgricans","Hypentelium nigricans",NA,584073,FALSE,NA
"48","Leptobotia mantschurica","Leptobotia mantschurica","Leptobotia mantschurica",NA,210572,FALSE,NA
"49","Misgurnuskolskyi","Misgurnuskolskyi","Misgurnus nikolskyi",NA,155534,FALSE,NA
"50","Schistura balteata","Schistura balteata","Schistura balteata","species",210565,FALSE,NA
"51","Vaillantella maassi","Vaillantella maassi","Vaillantella maassi","species",784842,FALSE,NA
"52","Biwia zezera","Biwia zezera","Biwia zezera","species",879634,FALSE,NA
"53","Echeneisucrates","Echeneisucrates","Echeneis naucrates",NA,776562,FALSE,NA
"54","Oryzias sarasinorum","Oryzias sarasinorum","Oryzias sarasinorum","species",322875,FALSE,NA
"55","Culaea inconstans","Culaea inconstans","Culaea inconstans","species",591254,FALSE,NA
"56","Oryzias luzonensis","Oryzias luzonensis","Oryzias luzonensis","species",281051,FALSE,NA
"57","Oryzias minutillus","Oryzias minutillus","Oryzias minutillus","species",113482,FALSE,NA
"58","Oryzias celebensis","Oryzias celebensis","Oryzias celebensis","species",270082,FALSE,NA
"59","Hexanchuskamurai","Hexanchuskamurai","Hexanchus nakamurai",NA,147241,FALSE,NA
"60","Betta splendens","Betta splendens","Betta splendens","species",1033356,FALSE,NA
"61","Megalobrama terminalis","Megalobrama terminalis","Megalobrama terminalis","species",837016,FALSE,NA
"62","Oreoleuciscus potanini","Oreoleuciscus potanini","Oreoleuciscus potanini","species",511731,FALSE,NA
"63","Phoxinus oxycephalus","Phoxinus oxycephalus","Phoxinus oxycephalus","species",581764,FALSE,NA
"64","Tribolodon sachalinensis","Tribolodon sachalinensis","Tribolodon sachalinensis","species",535864,FALSE,"extinct_inherited, incertae_sedis"
"65","Emmelichthystidus","Emmelichthystidus","Emmelichthys nitidus",NA,618726,FALSE,NA
"66","Pseudopentaceros richardsoni","Pseudopentaceros richardsoni","Pseudopentaceros richardsoni",NA,240484,FALSE,NA
"67","Rhabdosargusger","Rhabdosargusger","Rhabdosargus",NA,321037,FALSE,NA
"68","Tachysurus fulvidraco","Tachysurus fulvidraco","Tachysurus fulvidraco","species",119433,FALSE,NA
"69","Hexagrammos octogrammus xexagrammos agrammus","Hexagrammos octogrammus xexagrammos agrammus","Hexagrammos octogrammus x Hexagrammos agrammus",NA,4949194,FALSE,"hybrid"
"70","Pterygoplichthys disjunctivus","Pterygoplichthys disjunctivus","Pterygoplichthys disjunctivus","species",530439,FALSE,NA
"71","Pterygoplichthys pardalis","Pterygoplichthys pardalis","Pterygoplichthys pardalis","species",904626,FALSE,NA
"72","Cobitis lutheri","Cobitis lutheri","Cobitis lutheri","species",252322,FALSE,NA
"73","Silurus soldatovi","Silurus soldatovi","Silurus soldatovi","species",3621737,FALSE,NA
"74","Hasemaniana","Hasemaniana","Hasemania",NA,53084,FALSE,NA
"75","Helostoma temminkii","Helostoma temminkii","Helostoma temminkii",NA,754856,FALSE,NA
"76","Pethia conchonius","Pethia conchonius","Pethia conchonius","species",230509,FALSE,NA
"77","Coranthus polyacanthus","Coranthus polyacanthus","Coranthus polyacanthus",NA,3635092,FALSE,NA
