"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1","Hippasteria spinosa","Hippasteria spinosa","species",NA,32899,2271361,658153,NA,"Hippasteria spinosa","Hippasteria spinosa","Hippasteria spinosa Verrill, 1909","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2","Oreaster occidentalis","Oreaster occidentalis","species",NA,31990,2272866,574243,NA,"Oreaster occidentalis","Oreaster occidentalis","Oreaster occidentalis Verrill, 1867","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"3","Pseudechinusvaezelandiae","Pseudechinusvaezelandiae",NA,NA,NA,NA,238320,NA,"Pseudechinus novaezealandiae",NA,NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"4","Cucumaria curata","Cucumaria curata","species",NA,13334,5188250,20549,NA,"Cucumaria curata","Cucumaria curata","Cucumaria curata Cowles, 1907","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"5","Cucumaria lubrica","Cucumaria lubrica","species",NA,13330,5188254,213561,NA,"Cucumaria lubrica","Cucumaria lubrica","Cucumaria lubrica Clark, 1901","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"6","Pseudocnus astigmatus","Pseudocnus astigmatus","species",NA,12992,5842657,435102,NA,"Pseudocnus astigmatus","Pseudocnus astigmatus","Pseudocnus astigmatus (Wells, 1924)","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"7","Brissopsis luzonicus","Brissopsis luzonicus","species",NA,222148,4341769,3649660,NA,"Brissopsis luzonica","Brissopsis luzonicus","Brissopsis luzonicus (Gray, 1851)","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"8","Ophiomusium anisacanthum","Ophiomusium anisacanthum","species",NA,219702,2275675,3654944,NA,"Ophiomusium anisacanthum","Ophiomusium anisacanthum","Ophiomusium anisacanthum H.L.Clark, 1928","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"9","Ophiothrix caespitosa","Ophiothrix caespitosa","species",NA,27585,5187922,608026,NA,"Ophiothrix caespitosa","Ophiothrix caespitosa","Ophiothrix caespitosa Lyman, 1879","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"10","Ophiura integra","Ophiura integra","species",NA,271789,9951005,7071687,NA,"Ophiura integra","Ophiura integra","Ophiura integra","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
