"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"1","Clinocardiumttallii","Clinocardiumttallii","Clinocardium nuttallii",NA,661556,FALSE,NA
"2","Macoma secta","Macoma secta","Rexithaerus secta","species",624874,TRUE,NA
"3","Cyclocardia crassidens","Cyclocardia crassidens","Cyclocardia crassidens","species",2859882,FALSE,NA
"4","Cyclocardia ventricosa","Cyclocardia ventricosa","Cyclocardia ventricosa","species",2859650,FALSE,NA
"5","Protothaca staminea","Protothaca staminea","Leukoma staminea","species",865455,TRUE,NA
"6","Saxidomusttalli","Saxidomusttalli","Saxidomus nuttalli",NA,2858113,FALSE,NA
"7","Mytilimeriattalli","Mytilimeriattalli","Mytilimeria nuttalli",NA,163627,FALSE,NA
"8","Cranopsis cucullata","Cranopsis cucullata","Cranopsis cucullata","species",745619,FALSE,NA
"9","Melanella columbiana","Melanella columbiana","Vitreolina columbiana","species",2896021,TRUE,NA
"10","Ocinebrina lurida","Ocinebrina lurida","Ocinebrina lurida","species",2909169,FALSE,NA
"11","Olivella baetica","Olivella baetica","Olivella baetica","species",2907707,FALSE,NA
"12","Peltodorisbilis","Peltodorisbilis","Peltodoris nobilis",NA,853040,FALSE,NA
"13","Flabellina trilineata","Flabellina trilineata","Flabellina trilineata","species",20706,FALSE,"sibling_higher"
"14","Flabellina verrucosa","Flabellina verrucosa","Flabellina verrucosa","species",578605,FALSE,"sibling_higher"
"15","Acanthodorisnaimoensis","Acanthodorisnaimoensis","Acanthodoris nanaimoensis",NA,2874957,FALSE,NA
"16","Knoutsodonta jannae","Knoutsodonta jannae","Knoutsodonta jannae","species",2875712,FALSE,NA
"17","Janolus fuscus","Janolus fuscus","Janolus fuscus","species",1022338,FALSE,"incertae_sedis_inherited"
"18","Ariolimax columbianus","Ariolimax columbianus","Ariolimax columbianus","species",2882280,FALSE,NA
"19","Vespericola columbiana","Vespericola columbiana","Vespericola columbiana","species",1045329,FALSE,NA
"20","Margarites rhodia","Margarites rhodia","Margarites salmoneus","species",2885453,TRUE,NA
"21","Mopalia kennerleyi","Mopalia kennerleyi","Mopalia kennerleyi","species",708555,FALSE,NA
"22","Tonicella undocaerulea","Tonicella undocaerulea","Tonicella undocaerulea","species",2866792,FALSE,NA
"23","Corbicula fluminea","Corbicula fluminea","Corbicula fluminea","species",406871,FALSE,NA
"24","Tritia obsoleta","Tritia obsoleta","Tritia obsoleta","species",837692,FALSE,NA
"25","Leptodea fragilis","Leptodea fragilis","Leptodea fragilis","species",971294,FALSE,NA
"26","Lunatia grossularia","Lunatia grossularia","Euspira grossularia","species",2890895,TRUE,NA
"27","Nassarius denticulatus","Nassarius denticulatus","Tritia denticulata","species",2898807,TRUE,NA
"28","Nassarius elatus","Nassarius elatus","Nassarius elatus","species",2898853,FALSE,NA
"29","Nassarius goreensis","Nassarius goreensis","Tritia goreensis","species",2898858,TRUE,NA
"30","Nassarius heynemanni","Nassarius heynemanni","Tritia heynemanni","species",2898947,TRUE,NA
"31","Nassarius miga","Nassarius miga","Tritia miga","species",2899028,TRUE,NA
"32","Helisoma anceps","Helisoma anceps","Helisoma anceps","species",454545,FALSE,NA
"33","Valvata piscinalis","Valvata piscinalis","Valvata piscinalis","species",819588,FALSE,"incertae_sedis_inherited"
"34","Veprichlamys empressae","Veprichlamys empressae","Veprichlamys empressae","species",354889,FALSE,NA
"35","Mimachlamysbilis","Mimachlamysbilis","Mimachlamys crassicostata",NA,1002218,FALSE,NA
"36","Spondyluscobaricus","Spondyluscobaricus","Spondylus nicobaricus",NA,577534,FALSE,NA
"37","Eltopera sanguinea","Eltopera sanguinea","Eltopera sanguinea","species",404621,FALSE,NA
"38","Crassostrea gigas","Crassostrea gigas","Magallana gigas",NA,987409,TRUE,NA
"39","Anadara sativa","Anadara sativa","Anadara kagoshimensis","species",64928,TRUE,NA
"40","Pronodularia japanensis","Pronodularia japanensis","Pronodularia japanensis","species",991291,FALSE,"extinct_inherited, incertae_sedis"
"41","Inversidens brandtii","Inversidens brandtii","Inversidens brandtii","species",154875,FALSE,NA
"42","Lanceolaria grayana","Lanceolaria grayana","Lanceolaria grayana","species",39261,FALSE,NA
"43","Sinanodonta woodiana","Sinanodonta woodiana","Sinanodonta woodiana","species",402340,FALSE,NA
"44","Tegillarcadifera","Tegillarcadifera","Tegillarca nodifera",NA,539394,FALSE,NA
"45","Scapharca broughtonii","Scapharca broughtonii","Anadara broughtonii","species",624178,TRUE,NA
"46","Diluvarca ferruginea","Diluvarca ferruginea","Anadara ferruginea","species",2853114,TRUE,NA
"47","Scapharca satowi","Scapharca satowi","Anadara satowi","species",499350,TRUE,NA
"48","Barbatia fusca","Barbatia fusca","Barbatia amygdalumtostum","species",863801,TRUE,NA
"49","Cerithidea djadjariensis","Cerithidea djadjariensis","Pirenella alata","species",1096621,FALSE,"hidden_inherited"
"50","Acanthopleura miles","Acanthopleura miles","Squamopleura miles","species",782228,TRUE,NA
"51","Acanthopleura tenuispinosa","Acanthopleura tenuispinosa","Acanthopleura tenuispinosa","species",1000214,FALSE,NA
"52","Acanthopleura gaimardi","Acanthopleura gaimardi","Acanthopleura gaimardi","species",499347,FALSE,NA
"53","Spondylusus","Spondylusus","Spondylus",NA,441503,FALSE,NA
"54","Modioluspponicus","Modioluspponicus","Modiolus nipponicus",NA,675958,FALSE,NA
"55","Hyotissa imbricata","Hyotissa imbricata","Hyotissa imbricata","species",675973,FALSE,NA
"56","Pinna saccata","Pinna saccata","Malleus regula","species",2567,TRUE,NA
"57","Laternula marilina","Laternula marilina","Laternula gracilis","species",203830,TRUE,NA
"58","Pteria loveni","Pteria loveni","Pteria gregata","species",203832,TRUE,NA
"59","Isognomon acutirostris","Isognomon acutirostris","Isognomon nucleus",NA,203828,TRUE,NA
"60","Geloina erosa","Geloina erosa","Geloina expansa","species",306045,TRUE,NA
"61","Empleconia cumingi","Empleconia cumingi","Empleconia cumingi",NA,727326,FALSE,NA
"62","Barbatia lima","Barbatia lima","Barbatia foliata","species",604250,TRUE,NA
"63","Arca ventricosa","Arca ventricosa","Arca ventricosa","species",785374,FALSE,NA
"64","Nipponarca bistrigata","Nipponarca bistrigata","Nipponarca bistrigata","species",50695,FALSE,NA
"65","Scapharca inaequivalvis","Scapharca inaequivalvis","Scapharca inaequivalvis","species",975314,FALSE,NA
"66","Modiolus metcalfei","Modiolus metcalfei","Modiolus modulaides","species",50686,TRUE,NA
"67","Leiosolenus curtus","Leiosolenus curtus","Leiosolenus curtus",NA,321580,FALSE,NA
"68","Macridiscus melanaegis","Macridiscus melanaegis","Macridiscus aequilatera","species",258773,TRUE,NA
"69","Monia umbonata","Monia umbonata","Isomonia umbonata","species",571474,TRUE,NA
"70","Parvamussium crypticum","Parvamussium crypticum","Parvamussium carbaseum","species",1028239,TRUE,NA
