"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1","Callopora horrida","Callopora horrida","species",NA,981669,4288738,2935710,NA,"Tegella horrida","Callopora horrida","Callopora horrida (Hincks, 1880)","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"2","Urticina lofotensis","Urticina lofotensis","species",NA,33439,4339146,278329,NA,"Urticina lofotensis","Urticina lofotensis","Urticina lofotensis (Danielssen, 1890)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"3","Balanophyllia elegans","Balanophyllia elegans","species",NA,83468,2259665,192310,NA,"Balanophyllia elegans","Balanophyllia elegans","Balanophyllia elegans Verrill, 1864","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"4","Bougainvillia glorietta","Bougainvillia glorietta","species",NA,930768,2266581,3681607,NA,"Bougainvillia glorietta","Bougainvillia glorietta","Bougainvillia glorietta Torrey, 1904","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"hidden"
"5","Abietinaria greenei","Abietinaria greenei","species",NA,930774,2269256,3683055,NA,"Abietinaria greenei","Abietinaria greenei","Abietinaria greenei (Murray, 1860)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"6","Haliclystus sanjuanensis","Haliclystus sanjuanensis","species",NA,667939,2264669,309092,NA,"Haliclystus sanjuanensis","Haliclystus sanjuanensis","Haliclystus sanjuanensis","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"hidden"
"7","Quasitetrastemmagrifrons","Quasitetrastemmagrifrons",NA,NA,NA,NA,2930349,NA,"Quasitetrastemma nigrifrons",NA,NA,"Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8","Tubulanus ruber","Tubulanus ruber","species",NA,887436,9277265,7502743,NA,"Tubulanus ruber","Tubulanus ruber","Tubulanus ruber","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"9","Haliclona cinerea","Haliclona cinerea","species",NA,166437,5182166,305411,NA,"Haliclona cinerea","Haliclona cinerea","Haliclona cinerea (Grant, 1826)","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"10","Halichondria bowerbanki","Halichondria bowerbanki","species",NA,173864,2249909,338349,NA,"Halichondria bowerbanki","Halichondria bowerbanki","Halichondria bowerbanki Burton, 1930","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
