query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Protohyale jarrettae,Hyalidae,2983699,101385,Hyalidae,"Bulyčeva, 1957",accepted,NA,Family,101385,Hyalidae,"Bulyčeva, 1957",1325691,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,1,1,NA,NA,exact
Protohyale jarrettae,Hyalidae,2983699,767212,Hyalidae,"Golikov & Starobogatov, 1975",unaccepted,NA,Family,122,Iravadiidae,"Thiele, 1928",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,0,0,0,NA,exact
Protohyale oclairi,Hyalidae,2983669,101385,Hyalidae,"Bulyčeva, 1957",accepted,NA,Family,101385,Hyalidae,"Bulyčeva, 1957",1325691,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,1,1,NA,NA,exact
Protohyale oclairi,Hyalidae,2983669,767212,Hyalidae,"Golikov & Starobogatov, 1975",unaccepted,NA,Family,122,Iravadiidae,"Thiele, 1928",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,0,0,0,NA,exact
Cumella vulgaris,Nannastacidae,3003020,110383,Nannastacidae,"Bate, 1866",accepted,NA,Family,110383,Nannastacidae,"Bate, 1866",1137,Animalia,Arthropoda,Malacostraca,Cumacea,NA,1,NA,1,0,NA,exact
Eubosmina huaronensis,Bosminidae,423335,106262,Bosminidae,"Baird, 1845",accepted,NA,Family,106262,Bosminidae,"Baird, 1845",106259,Animalia,Arthropoda,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
Daphnia schodleri,Daphniidae,2960394,148360,Daphniidae,"Straus, 1820",accepted,NA,Family,148360,Daphniidae,"Straus, 1820",106259,Animalia,Arthropoda,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
Ornithodoros moubata,Argasidae,896268,762205,Argasidae,"Koch, 1844",accepted,NA,Family,762205,Argasidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,1,1,1,NA,exact
Ixodes persulcatus,Ixodidae,493158,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Haemaphysalis flava,Ixodidae,75787,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes holocyclus,Ixodidae,735715,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ishizakiella novaezealandica,Leptocytheridae,NULL,127502,Leptocytheridae,"Hanai, 1957",accepted,NA,Family,127502,Leptocytheridae,"Hanai, 1957",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
