query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Ophiura integra,Ophiuridae,7071687,123200,Ophiuridae,"Müller & Troschel, 1840",accepted,NA,Family,123200,Ophiuridae,"Müller & Troschel, 1840",242195,Animalia,Echinodermata,Ophiuroidea,Ophiurida,NA,1,0,0,0,NA,exact
Echinococcus multilocularis,Taeniidae,481593,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Echinococcus granulosus,Taeniidae,481594,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Taenia saginata,Taeniidae,1021818,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Taenia hydatigena,Taeniidae,1004844,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Taenia crassiceps,Taeniidae,635252,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Rodentolepis nana,Hymenolepididae,348019,104930,Hymenolepididae,"Ariola, 1899",accepted,NA,Family,104930,Hymenolepididae,"Ariola, 1899",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,1,1,1,NA,exact
Cercopithifilaria bulboidea,Onchocercidae,694979,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Cercopithifilaria crassa,Onchocercidae,1064859,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Cercopithifilaria longa,Onchocercidae,1064858,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Cercopithifilaria minuta,Onchocercidae,1064857,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Cercopithifilaria multicauda,Onchocercidae,1064856,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Cercopithifilaria shohoi,Onchocercidae,1005060,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Cercopithifilaria tumidicervicata,Onchocercidae,1064860,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Fasciola gigantica,Fasciolidae,351673,108421,Fasciolidae,"Railliet, 1895",accepted,NA,Family,108421,Fasciolidae,"Railliet, 1895",108404,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,NA,0,1,1,1,NA,exact
Echinococcus canadensis,Taeniidae,787335,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Echinococcus oligarthrus,Taeniidae,445207,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Echinococcus vogeli,Taeniidae,445206,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Hydatigera taeniaeformis,Taeniidae,635249,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Echinococcus ortleppi,Taeniidae,648119,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Paragonimus vietnamensis,Troglotrematidae,335271,468969,Troglotrematidae,"Odhner, 1914",accepted,NA,Family,468969,Troglotrematidae,"Odhner, 1914",1578386,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,NA,1,NA,1,1,NA,exact
