query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Veprichlamys empressae,Pectinidae,354889,213,Pectinidae,"Rafinesque, 1815",accepted,NA,Family,213,Pectinidae,"Rafinesque, 1815",151320,Animalia,Mollusca,Bivalvia,Pectinida,NA,1,0,0,0,0,exact
Eltopera sanguinea,Spondylidae,404621,23121,Spondylidae,"Gray, 1826",accepted,NA,Family,23121,Spondylidae,"Gray, 1826",151320,Animalia,Mollusca,Bivalvia,Pectinida,NA,1,NA,NA,NA,NA,exact
Acanthopleura tenuispinosa,Chitonidae,1000214,64,Chitonidae,"Rafinesque, 1815",accepted,NA,Family,64,Chitonidae,"Rafinesque, 1815",385404,Animalia,Mollusca,Polyplacophora,Chitonida,NA,1,NA,NA,NA,NA,exact
Acanthopleura gaimardi,Chitonidae,499347,64,Chitonidae,"Rafinesque, 1815",accepted,NA,Family,64,Chitonidae,"Rafinesque, 1815",385404,Animalia,Mollusca,Polyplacophora,Chitonida,NA,1,NA,NA,NA,NA,exact
Nipponarca bistrigata,Arcidae,50695,208,Arcidae,"Lamarck, 1809",accepted,NA,Family,208,Arcidae,"Lamarck, 1809",489054,Animalia,Mollusca,Bivalvia,Arcida,NA,1,1,1,NA,NA,exact
Leiosolenus curtus,Mytilidae,321580,211,Mytilidae,"Rafinesque, 1815",accepted,NA,Family,211,Mytilidae,"Rafinesque, 1815",491766,Animalia,Mollusca,Bivalvia,Mytilida,NA,1,1,1,0,0,exact
Episiphon yamakawai,Gadilinidae,1028244,23043,Gadilinidae,"Chistikov, 1975",accepted,NA,Family,23043,Gadilinidae,"Chistikov, 1975",200,Animalia,Mollusca,Scaphopoda,Dentaliida,NA,1,NA,NA,NA,NA,exact
Vesicomya kaikoi,Vesicomyidae,887187,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Mollusca,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Calyptogena tsubasa,Vesicomyidae,362541,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Mollusca,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Calyptogena kaikoi,Vesicomyidae,1051937,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Mollusca,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Sepiadarium kochi,Sepiadariidae,527585,153041,Sepiadariidae,"P. Fischer, 1882",accepted,NA,Family,153041,Sepiadariidae,"P. Fischer, 1882",1454580,Animalia,Mollusca,Cephalopoda,Sepiida,NA,1,0,0,0,NA,exact
Patelloida albonotata,Lottiidae,982424,7173,Lottiidae,"Gray, 1840",accepted,NA,Family,7173,Lottiidae,"Gray, 1840",391063,Animalia,Mollusca,Gastropoda,NA,NA,1,0,0,0,0,exact
Patelloida omanensis,Lottiidae,356471,7173,Lottiidae,"Gray, 1840",accepted,NA,Family,7173,Lottiidae,"Gray, 1840",391063,Animalia,Mollusca,Gastropoda,NA,NA,1,0,0,0,0,exact
Patelloida mauritiana,Lottiidae,128458,7173,Lottiidae,"Gray, 1840",accepted,NA,Family,7173,Lottiidae,"Gray, 1840",391063,Animalia,Mollusca,Gastropoda,NA,NA,1,0,0,0,0,exact
Liotina semiclathratula,Liotiidae,281559,196896,Liotiidae,"Gray, 1850",accepted,NA,Family,196896,Liotiidae,"Gray, 1850",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
Vesicomya stearnsii,Vesicomyidae,472965,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Mollusca,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Golikovia ennae,Buccinidae,313530,149,Buccinidae,"Rafinesque, 1815",accepted,NA,Family,149,Buccinidae,"Rafinesque, 1815",382214,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Golikovia fukueae,Buccinidae,95231,149,Buccinidae,"Rafinesque, 1815",accepted,NA,Family,149,Buccinidae,"Rafinesque, 1815",382214,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Calliostoma shinagawaensis,Calliostomatidae,249393,382180,Calliostomatidae,"Thiele, 1924 (1847)",accepted,NA,Family,382180,Calliostomatidae,"Thiele, 1924 (1847)",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
Diloma piperinus,Trochidae,721820,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Clione limacina anatarctica,Clionidae,1081241,166,Clionidae,"Rafinesque, 1815",accepted,NA,Family,166,Clionidae,"Rafinesque, 1815",411912,Animalia,Mollusca,Gastropoda,Pteropoda,NA,1,NA,NA,NA,NA,exact
Clione limacina anatarctica,Clionidae,1081241,131669,Clionidae,"d'Orbigny, 1851",unaccepted,junior homonym of Clionidae: Mollusca,Family,170417,Clionaidae,"d'Orbigny, 1851",845506,Animalia,Porifera,Demospongiae,Clionaida,NA,1,0,0,0,0,exact
Merelina tokunagai,Lironobidae,5720901,877986,Lironobidae,"Ponder, 1967",accepted,NA,Family,877986,Lironobidae,"Ponder, 1967",14767,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Cheilea pileopsis,Hipponicidae,7950503,23057,Hipponicidae,"Troschel, 1861",accepted,NA,Family,23057,Hipponicidae,"Troschel, 1861",14771,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,0,0,0,exact
Vesicomya lepta,Vesicomyidae,289302,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Mollusca,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Uroteuthis etheridgei,Loliginidae,402100,11734,Loliginidae,"Lesueur, 1821",accepted,NA,Family,11734,Loliginidae,"Lesueur, 1821",11728,Animalia,Mollusca,Cephalopoda,Myopsida,NA,1,NA,0,0,NA,exact
Grimalditeuthis bonplandi,Chiroteuthidae,189909,11767,Chiroteuthidae,"Gray, 1849",accepted,NA,Family,11767,Chiroteuthidae,"Gray, 1849",1454594,Animalia,Mollusca,Cephalopoda,Oegopsida,NA,1,1,0,0,NA,exact
Balcis eburnea,Eulimidae,140192,135,Eulimidae,"Philippi, 1853",accepted,NA,Family,135,Eulimidae,"Philippi, 1853",387336,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Horatia sturmi,Hydrobiidae,770008,120,Hydrobiidae,"Stimpson, 1865",accepted,NA,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Adrioinsulana conovula,Hydrobiidae,120581,120,Hydrobiidae,"Stimpson, 1865",accepted,NA,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Ventrosia truncata,Hydrobiidae,796881,120,Hydrobiidae,"Stimpson, 1865",accepted,NA,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Crepidula lessoni,Calyptraeidae,789320,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Crepidula procellana,Calyptraeidae,823261,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Trochita calyptraeformis,Calyptraeidae,685600,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Crucibulum tenuis,Calyptraeidae,737408,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Crucibulum radiata,Calyptraeidae,737395,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
