query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Tubulanus ruber,Tubulanidae,7502743,122321,Tubulanidae,"Bürger, 1905",accepted,NA,Family,122321,Tubulanidae,"Bürger, 1905",1451609,Animalia,Nemertea,Palaeonemertea,Tubulaniformes,NA,1,NA,NA,NA,NA,exact
Laqueus californianus,Laqueidae,474208,147806,Laqueidae,"Thomson, 1927",accepted,NA,Family,147806,Laqueidae,"Thomson, 1927",235263,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,NA,1,NA,NA,NA,NA,exact
Parazoanthid,Parazoanthidae,NA,100689,Parazoanthidae,"Delage & Hérouard, 1901",accepted,NA,Family,100689,Parazoanthidae,"Delage & Hérouard, 1901",367225,Animalia,Cnidaria,Anthozoa,Zoantharia,NA,1,0,0,0,NA,exact
Stephanocoenia michelinii,Astrocoeniidae,292624,196098,Astrocoeniidae,"Koby, 1890",accepted,NA,Family,196098,Astrocoeniidae,"Koby, 1890",1363,Animalia,Cnidaria,Anthozoa,Scleractinia,NA,1,NA,0,0,NA,exact
Asplanchna sieboldi,Asplanchnidae,251968,134917,Asplanchnidae,"Eckstein, 1883",accepted,NA,Family,134917,Asplanchnidae,"Eckstein, 1883",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,NA,1,NA,NA,exact
Keratella hiemalis,Brachionidae,743643,134918,Brachionidae,"Ehrenberg, 1838",accepted,NA,Family,134918,Brachionidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Strongylacidon bermudae,Chondropsidae,879843,168731,Chondropsidae,"Carter, 1886",accepted,NA,Family,168731,Chondropsidae,"Carter, 1886",131599,Animalia,Porifera,Demospongiae,Poecilosclerida,NA,1,0,0,0,0,exact
Forskalia edwardsi,Forskaliidae,986301,135347,Forskaliidae,"Haeckel, 1888",accepted,NA,Family,135347,Forskaliidae,"Haeckel, 1888",135335,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,1,NA,NA,NA,NA,exact
Euchlanis alata,Brachionidae,1037814,134918,Brachionidae,"Ehrenberg, 1838",accepted,NA,Family,134918,Brachionidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Asplanchnopus dahlgreni,Asplanchnidae,1037813,134917,Asplanchnidae,"Eckstein, 1883",accepted,NA,Family,134917,Asplanchnidae,"Eckstein, 1883",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,NA,1,NA,NA,exact
Eothinia elongata,Notommatidae,460955,134923,Notommatidae,"Hudson & Gosse, 1886",accepted,NA,Family,134923,Notommatidae,"Hudson & Gosse, 1886",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,1,0,exact
Ephydatia cooperensis,Spongillidae,166658,167108,Spongillidae,"Gray, 1867",accepted,NA,Family,167108,Spongillidae,"Gray, 1867",845456,Animalia,Porifera,Demospongiae,Spongillida,NA,0,1,1,0,0,exact
Spongilla vastus,Spongillidae,662817,167108,Spongillidae,"Gray, 1867",accepted,NA,Family,167108,Spongillidae,"Gray, 1867",845456,Animalia,Porifera,Demospongiae,Spongillida,NA,0,1,1,0,0,exact
Dissotrocha aculeata,Philodinidae,621254,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Dissotrocha macrostyla,Philodinidae,621248,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Philodina flaviceps,Philodinidae,124555,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
