"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Acartia longiremis","Acartia longiremis",NA,NA,NA,NA,966235,NA,"Acartia longiremis",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"2","Scolecithricella minor","Scolecithricella minor",NA,NA,NA,NA,484754,NA,"Scolecithricella minor",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"3","Tortanus discaudatus","Tortanus discaudatus",NA,NA,NA,NA,447359,NA,"Tortanus discaudatus",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"4","Monstrilla spinosa","Monstrilla spinosa",NA,NA,NA,NA,2945459,NA,"Monstrilla spinosa",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5","Hexanauplia","Hexanauplia",NA,NA,NA,NA,7114104,NA,"Hexanauplia",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"6","Ampithoinae","Ampithoidae",NA,NA,NA,NA,213295,NA,"Ampithoidae",NA,NA,"Arthropoda",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"7","Protohyale jarrettae","Protohyale jarrettae",NA,NA,NA,NA,2983699,NA,"Protohyale jarrettae",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"8","Protohyale oclairi","Protohyale oclairi",NA,NA,NA,NA,2983669,NA,"Protohyale oclairi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"9","Cumella vulgaris","Cumella vulgaris",NA,NA,NA,NA,3003020,NA,"Cumella vulgaris",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"10","Pinnixa faba","Pinnixa faba",NA,NA,NA,NA,115158,NA,"Pinnixa faba",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"11","Pinnixa schmitti","Pinnixa schmitti",NA,NA,NA,NA,689384,NA,"Pinnixa schmitti",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"12","Pinnixa tubicola","Pinnixa tubicola",NA,NA,NA,NA,689388,NA,"Pinnixa tubicola",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"13","Ligia pallasii","Ligia pallasii",NA,NA,NA,NA,725767,NA,"Ligia pallasii",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"14","Dynamene glabra","Dynamene glabra",NA,NA,NA,NA,2996169,NA,"Dynamene glabra",NA,NA,"Arthropoda",NA,NA,FALSE,"hidden",NA,NA,NA,NA,NA,NA,NA,NA
"15","Sessilia","Sessilia",NA,NA,NA,NA,463195,NA,"Sessilia",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"16","Sacculina yatsui","Sacculina yatsui",NA,NA,NA,NA,855396,NA,"Sacculina yatsui",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"17","Ixodes turdus","Ixodes turdus",NA,NA,NA,NA,310079,NA,"Ixodes turdus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"18","Ixodes pavlovskyi","Ixodes pavlovskyi",NA,NA,NA,NA,310083,NA,"Ixodes pavlovskyi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"19","Ixodes monospinosus","Ixodes monospinosus",NA,NA,NA,NA,310081,NA,"Ixodes monospinosus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"20","Ixodes asanumai","Ixodes asanumai",NA,NA,NA,NA,310089,NA,"Ixodes asanumai",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"21","Macrobrachium fukienense","Macrobrachium fukienense",NA,NA,NA,NA,1397,NA,"Macrobrachium fukienense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"22","Macrobrachium asperulum","Macrobrachium asperulum",NA,NA,NA,NA,8272,NA,"Macrobrachium asperulum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"23","Macrobrachium australe","Macrobrachium australe",NA,NA,NA,NA,8273,NA,"Macrobrachium australe",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"24","Macrobrachium lanatum","Macrobrachium lanatum",NA,NA,NA,NA,833392,NA,"Macrobrachium lanatum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"25","Macrobrachium edentatum","Macrobrachium edentatum",NA,NA,NA,NA,8276,NA,"Macrobrachium edentatum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
