"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Perophoraensis","Ecteinascidia",NA,NA,NA,NA,862622,NA,"Ecteinascidia",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"2","Soricomorpha","Eulipotyphla",NA,NA,NA,NA,796664,NA,"Eulipotyphla",NA,NA,"Chordata",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"3","Sylvilagus brasiliensis","Sylvilagus brasiliensis",NA,NA,NA,NA,634572,NA,"Sylvilagus brasiliensis",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4","Ostracion immaculatus","Ostracion immaculatus",NA,NA,NA,NA,1044207,NA,"Ostracion immaculatus",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5","Sylvilagus floridanus","Sylvilagus floridanus",NA,NA,NA,NA,864591,NA,"Sylvilagus floridanus",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"6","Lepus europaeus","Lepus europaeus",NA,NA,NA,NA,864607,NA,"Lepus europaeus",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"7","Nematolebiasi","Nematolebias",NA,NA,NA,NA,495849,NA,"Nematolebias",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"8","Gnatholebias zonatus","Gnatholebias zonatus",NA,NA,NA,NA,1018493,NA,"Gnatholebias zonatus",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"9","Synchiropus papilio","Synchiropus papilio",NA,NA,NA,NA,3632757,NA,"Synchiropus papilio",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"10","Hippocampusi","Hippocampus",NA,NA,NA,NA,1007058,NA,"Hippocampus",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"11","Glaucostegus formosensis","Glaucostegus formosensis",NA,NA,NA,NA,444666,NA,"Glaucostegus formosensis",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"12","Coreopercaheadi","Coreoperca herzi",NA,NA,NA,NA,114860,NA,"Coreoperca herzi",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"13","Labeo catla","Labeo catla",NA,NA,NA,NA,719907,NA,"Labeo catla",NA,NA,"Chordata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"14","Astyanax intermedius","Astyanax intermedius",NA,NA,NA,NA,341087,NA,"Astyanax intermedius",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"15","Barbus rionicus","Barbus rionicus",NA,NA,NA,NA,7066408,NA,"Barbus rionicus",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
