"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Macoma secta","Rexithaerus secta",NA,NA,NA,NA,624874,NA,"Rexithaerus secta",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"2","Cyclocardia crassidens","Cyclocardia crassidens",NA,NA,NA,NA,2859882,NA,"Cyclocardia crassidens",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"3","Cyclocardia ventricosa","Cyclocardia ventricosa",NA,NA,NA,NA,2859650,NA,"Cyclocardia ventricosa",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4","Protothaca staminea","Leukoma staminea",NA,NA,NA,NA,865455,NA,"Leukoma staminea",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5","Cranopsis cucullata","Cranopsis cucullata",NA,NA,NA,NA,745619,NA,"Cranopsis cucullata",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"6","Balcis","Melanella (genus in Lophotrochozoa)",NA,NA,NA,NA,660797,NA,"Melanella (genus in Lophotrochozoa)",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"7","Melanella columbiana","Vitreolina columbiana",NA,NA,NA,NA,2896021,NA,"Vitreolina columbiana",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"8","Ocinebrina lurida","Ocinebrina lurida",NA,NA,NA,NA,2909169,NA,"Ocinebrina lurida",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"9","Olivella baetica","Olivella baetica",NA,NA,NA,NA,2907707,NA,"Olivella baetica",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"10","Flabellina trilineata","Flabellina trilineata",NA,NA,NA,NA,20706,NA,"Flabellina trilineata",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"11","Flabellina verrucosa","Flabellina verrucosa",NA,NA,NA,NA,578605,NA,"Flabellina verrucosa",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"12","Knoutsodonta jannae","Knoutsodonta jannae",NA,NA,NA,NA,2875712,NA,"Knoutsodonta jannae",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"13","Janolus fuscus","Janolus fuscus",NA,NA,NA,NA,1022338,NA,"Janolus fuscus",NA,NA,"Mollusca",NA,NA,FALSE,"incertae_sedis_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"14","Ariolimax columbianus","Ariolimax columbianus",NA,NA,NA,NA,2882280,NA,"Ariolimax columbianus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"15","Vespericola columbiana","Vespericola columbiana",NA,NA,NA,NA,1045329,NA,"Vespericola columbiana",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"16","Margarites rhodia","Margarites salmoneus",NA,NA,NA,NA,2885453,NA,"Margarites salmoneus",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"17","Mopalia kennerleyi","Mopalia kennerleyi",NA,NA,NA,NA,708555,NA,"Mopalia kennerleyi",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"18","Tonicella undocaerulea","Tonicella undocaerulea",NA,NA,NA,NA,2866792,NA,"Tonicella undocaerulea",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"19","Veprichlamys empressae","Veprichlamys empressae",NA,NA,NA,NA,354889,NA,"Veprichlamys empressae",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"20","Mimachlamys nobilis","Mimachlamys crassicostata",NA,NA,NA,NA,1002218,NA,"Mimachlamys crassicostata",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"21","Eltopera sanguinea","Eltopera sanguinea",NA,NA,NA,NA,404621,NA,"Eltopera sanguinea",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"22","Barbatia fusca","Barbatia amygdalumtostum",NA,NA,NA,NA,863801,NA,"Barbatia amygdalumtostum",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"23","Barbatia lima","Barbatia foliata",NA,NA,NA,NA,604250,NA,"Barbatia foliata",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"24","Arca ventricosa","Arca ventricosa",NA,NA,NA,NA,785374,NA,"Arca ventricosa",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"25","Leiosolenus curtus","Leiosolenus curtus",NA,NA,NA,NA,321580,NA,"Leiosolenus curtus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"26","Macridiscus melanaegis","Macridiscus aequilatera",NA,NA,NA,NA,258773,NA,"Macridiscus aequilatera",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"27","Sepiella maindroni","Sepiella inermis",NA,NA,NA,NA,307142,NA,"Sepiella inermis",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"28","Camaena","Camaena",NA,NA,NA,NA,394815,NA,"Camaena",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"29","Satsuma myomphala","Satsuma myomphala",NA,NA,NA,NA,1008091,NA,"Satsuma myomphala",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"30","Satsuma sadamii","Satsuma sadamii",NA,NA,NA,NA,1008087,NA,"Satsuma sadamii",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"31","Satsuma eucosmia","Satsuma eucosmia",NA,NA,NA,NA,1008094,NA,"Satsuma eucosmia",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"32","Satsuma largillierti","Satsuma largillierti",NA,NA,NA,NA,1008088,NA,"Satsuma largillierti",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"33","Satsuma omoro","Satsuma omoro",NA,NA,NA,NA,95587,NA,"Satsuma omoro",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"34","Scapharca globosa","Scapharca globosa",NA,NA,NA,NA,245276,NA,"Scapharca globosa",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"35","Liotina semiclathratula","Liotina semiclathratula",NA,NA,NA,NA,281559,NA,"Liotina semiclathratula",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"36","Amphioctopus siamensiso","Amphioctopus siamensis",NA,NA,NA,NA,5505405,NA,"Amphioctopus siamensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"37","Neritina delestennei","Neritina delestennei",NA,NA,NA,NA,7501992,NA,"Neritina delestennei",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"38","Satsuma ferruginea","Satsuma ferruginea",NA,NA,NA,NA,208710,NA,"Satsuma ferruginea",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"39","Satsuma insignis","Satsuma insignis",NA,NA,NA,NA,540887,NA,"Satsuma insignis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"40","Satsuma nux","Satsuma nux",NA,NA,NA,NA,540890,NA,"Satsuma nux",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"41","Satsuma","Satsuma",NA,NA,NA,NA,379594,NA,"Satsuma",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"42","Tamanovalva limax","Tamanovalva limax",NA,NA,NA,NA,665610,NA,"Tamanovalva limax",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"43","Calliostoma akoya","Akoya akoya",NA,NA,NA,NA,993317,NA,"Akoya akoya",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"44","Calliostoma shinagawaensis","Calliostoma shinagawaensis",NA,NA,NA,NA,249393,NA,"Calliostoma shinagawaensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"45","Roya eximia","Roya eximia",NA,NA,NA,NA,993311,NA,"Roya eximia",NA,NA,"Mollusca",NA,NA,FALSE,"incertae_sedis_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"46","Diloma piperinus","Diloma piperinus",NA,NA,NA,NA,721820,NA,"Diloma piperinus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"47","Rossiteria nuclea","Rossiteria nucleus",NA,NA,NA,NA,567716,NA,"Rossiteria nucleus",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"48","Limnoperna fortunei","Limnoperna fortunei",NA,NA,NA,NA,94516,NA,"Limnoperna fortunei",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"49","Lunella smaragdus","Lunella smaragda",NA,NA,NA,NA,597326,NA,"Lunella smaragda",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"50","Satsuma pilsbryi","Satsuma pilsbryi",NA,NA,NA,NA,71355,NA,"Satsuma pilsbryi",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"51","Satsuma auratibasis","Satsuma auratibasis",NA,NA,NA,NA,71349,NA,"Satsuma auratibasis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"52","Satsuma huberi","Satsuma huberi",NA,NA,NA,NA,71348,NA,"Satsuma huberi",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"53","Satsuma hagiomontis","Satsuma hagiomontis",NA,NA,NA,NA,71356,NA,"Satsuma hagiomontis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"54","Satsuma lini","Satsuma lini",NA,NA,NA,NA,540886,NA,"Satsuma lini",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"55","Satsuma polymorpha","Satsuma polymorpha",NA,NA,NA,NA,71357,NA,"Satsuma polymorpha",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"56","Blanfordia","Blanfordia",NA,NA,NA,NA,217568,NA,"Blanfordia",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"57","Oncomelania hupensis","Oncomelania hupensis",NA,NA,NA,NA,686798,NA,"Oncomelania hupensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"58","Scapharca broughtonii","Anadara broughtonii",NA,NA,NA,NA,624178,NA,"Anadara broughtonii",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"59","Eogonatus tinro","Gonatopsis okutanii",NA,NA,NA,NA,10470,NA,"Gonatopsis okutanii",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"60","Scapharca kagoshimensis","Scapharca kagoshimensis",NA,NA,NA,NA,90060,NA,"Scapharca kagoshimensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"61","Trishoplita eumenes","Trishoplita eumenes",NA,NA,NA,NA,5264565,NA,"Trishoplita eumenes",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"62","Trishoplita cretacea","Trishoplita cretacea",NA,NA,NA,NA,5264566,NA,"Trishoplita cretacea",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
