"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Callopora horrida","Tegella horrida",NA,NA,NA,NA,2935710,NA,"Tegella horrida",NA,NA,"Bryozoa",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"2","Bowerbankia","Bowerbankia",NA,NA,NA,NA,401890,NA,"Bowerbankia",NA,NA,"Bryozoa",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"3","Urticina lofotensis","Urticina lofotensis",NA,NA,NA,NA,278329,NA,"Urticina lofotensis",NA,NA,"Cnidaria",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"4","Balanophyllia elegans","Balanophyllia elegans",NA,NA,NA,NA,192310,NA,"Balanophyllia elegans",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5","Bougainvillia glorietta","Bougainvillia glorietta",NA,NA,NA,NA,3681607,NA,"Bougainvillia glorietta",NA,NA,"Cnidaria",NA,NA,FALSE,"hidden",NA,NA,NA,NA,NA,NA,NA,NA
"6","Abietinariaei","Abietinaria",NA,NA,NA,NA,788002,NA,"Abietinaria",NA,NA,"Cnidaria",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"7","Haliclystus californiensis","Haliclystus californiensis","species",NA,302950,5842372,922281,NA,"Haliclystus californiensis","Haliclystus californiensis","Haliclystus californiensis Kahn, Matsumoto, Hirano & Collins, 2010","Cnidaria","nomen nudum",NA,FALSE,"",NA,"Animalia","Staurozoa","Stauromedusae","Haliclystidae","Haliclystus","0","0"
"8","Haliclystus sanjuanensis","Haliclystus sanjuanensis",NA,NA,NA,NA,309092,NA,"Haliclystus sanjuanensis",NA,NA,"Cnidaria",NA,NA,FALSE,"hidden",NA,NA,NA,NA,NA,NA,NA,NA
"9","Tubulanus ruber","Tubulanus ruber",NA,NA,NA,NA,7502743,NA,"Tubulanus ruber",NA,NA,"Nemertea",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"10","Haliclona cinerea","Haliclona cinerea",NA,NA,NA,NA,305411,NA,"Haliclona cinerea",NA,NA,"Porifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"11","Halichondria bowerbanki","Halichondria bowerbanki",NA,NA,NA,NA,338349,NA,"Halichondria bowerbanki",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"12","Halichondria panicea","Halichondria panicea",NA,NA,NA,NA,708370,NA,"Halichondria panicea",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"13","Laqueus californianus","Laqueus californianus",NA,NA,NA,NA,474208,NA,"Laqueus californianus",NA,NA,"Brachiopoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"14","Mycetophyllia daniana","Mycetophyllia danaana",NA,NA,NA,NA,654383,NA,"Mycetophyllia danaana",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"15","Acanthastrea rotundaflora","Acanthastrea rotundaflora",NA,NA,NA,NA,28686,NA,"Acanthastrea rotundaflora",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"16","Favites valenciennesi","Favites valenciennesi",NA,NA,NA,NA,906677,NA,"Favites valenciennesi",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"17","Gordius","Gordius",NA,NA,NA,NA,894253,NA,"Gordius",NA,NA,"Nematomorpha",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"18","Macracanthorhynchus ingens","Macracanthorhynchus ingens",NA,NA,NA,NA,562171,NA,"Macracanthorhynchus ingens",NA,NA,"Acanthocephala",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"19","Asplanchna silvestrii","Asplanchna silvestrii",NA,NA,NA,NA,245637,NA,"Asplanchna silvestrii",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"20","Lepadella quadricarinata","Lepadella quadricarinata",NA,NA,NA,NA,2941351,NA,"Lepadella quadricarinata",NA,NA,"Rotifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"21","Plationus patulus","Plationus patulus",NA,NA,NA,NA,937964,NA,"Plationus patulus",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
