taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Rexithaerus secta,Tellinidae,624874,235,Tellinidae,"Blainville, 1814",accepted,NA,Family,235,Tellinidae,"Blainville, 1814",14636,Animalia,Mollusca,Bivalvia,Cardiida,NA,1,1,NA,NA,NA,exact
Leukoma staminea,Veneridae,865455,243,Veneridae,"Rafinesque, 1815",accepted,NA,Family,243,Veneridae,"Rafinesque, 1815",14638,Animalia,Mollusca,Bivalvia,Venerida,NA,1,1,NA,NA,NA,exact
Melanella,Eulimidae,NULL,135,Eulimidae,"Philippi, 1853",accepted,NA,Family,135,Eulimidae,"Philippi, 1853",387336,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Vitreolina columbiana,Eulimidae,2896021,135,Eulimidae,"Philippi, 1853",accepted,NA,Family,135,Eulimidae,"Philippi, 1853",387336,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Margarites salmoneus,Margaritidae,2885453,564652,Margaritidae,"Blainville, 1824",accepted,NA,Family,564652,Margaritidae,"Blainville, 1824",489069,Animalia,Mollusca,Bivalvia,Ostreida,NA,1,0,0,0,NA,exact
Veprichlamys empressae,Pectinidae,354889,213,Pectinidae,"Rafinesque, 1815",accepted,NA,Family,213,Pectinidae,"Rafinesque, 1815",151320,Animalia,Mollusca,Bivalvia,Pectinida,NA,1,0,0,0,0,exact
Mimachlamys crassicostata,Pectinidae,1002218,213,Pectinidae,"Rafinesque, 1815",accepted,NA,Family,213,Pectinidae,"Rafinesque, 1815",151320,Animalia,Mollusca,Bivalvia,Pectinida,NA,1,0,0,0,0,exact
Eltopera sanguinea,Spondylidae,404621,23121,Spondylidae,"Gray, 1826",accepted,NA,Family,23121,Spondylidae,"Gray, 1826",151320,Animalia,Mollusca,Bivalvia,Pectinida,NA,1,NA,NA,NA,NA,exact
Barbatia amygdalumtostum,Arcidae,863801,208,Arcidae,"Lamarck, 1809",accepted,NA,Family,208,Arcidae,"Lamarck, 1809",489054,Animalia,Mollusca,Bivalvia,Arcida,NA,1,1,1,NA,NA,exact
Barbatia foliata,Arcidae,604250,208,Arcidae,"Lamarck, 1809",accepted,NA,Family,208,Arcidae,"Lamarck, 1809",489054,Animalia,Mollusca,Bivalvia,Arcida,NA,1,1,1,NA,NA,exact
Leiosolenus curtus,Mytilidae,321580,211,Mytilidae,"Rafinesque, 1815",accepted,NA,Family,211,Mytilidae,"Rafinesque, 1815",491766,Animalia,Mollusca,Bivalvia,Mytilida,NA,1,1,1,0,0,exact
Macridiscus aequilatera,Veneridae,258773,243,Veneridae,"Rafinesque, 1815",accepted,NA,Family,243,Veneridae,"Rafinesque, 1815",14638,Animalia,Mollusca,Bivalvia,Venerida,NA,1,1,NA,NA,NA,exact
Sepiella inermis,Sepiidae,307142,11723,Sepiidae,"Leach, 1817",accepted,NA,Family,11723,Sepiidae,"Leach, 1817",1454584,Animalia,Mollusca,Cephalopoda,Sepiida,NA,1,0,0,0,NA,exact
Liotina semiclathratula,Liotiidae,281559,196896,Liotiidae,"Gray, 1850",accepted,NA,Family,196896,Liotiidae,"Gray, 1850",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
Amphioctopus siamensis,Octopodidae,5505405,11782,Octopodidae,"d'Orbigny, 1840",accepted,NA,Family,11782,Octopodidae,"d'Orbigny, 1840",14672,Animalia,Mollusca,Cephalopoda,Octopoda,NA,1,NA,0,0,NA,exact
Akoya akoya,Calliostomatidae,993317,382180,Calliostomatidae,"Thiele, 1924 (1847)",accepted,NA,Family,382180,Calliostomatidae,"Thiele, 1924 (1847)",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
