query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Hypereteone fauchaldi,Phyllodocidae,4983723,931,Phyllodocidae,"Örsted, 1843",accepted,NA,Family,931,Phyllodocidae,"Örsted, 1843",926,Animalia,Annelida,Polychaeta,Phyllodocida,NA,1,0,0,0,0,exact
Owenavis,Cuculidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paradexiospira violacea,Serpulidae,4985914,988,Serpulidae,"Rafinesque, 1815",accepted,NA,Family,988,Serpulidae,"Rafinesque, 1815",901,Animalia,Annelida,Polychaeta,Sabellida,NA,1,1,1,0,0,exact
Polydora magna,Spionidae,4976456,913,Spionidae,"Grube, 1850",accepted,NA,Family,913,Spionidae,"Grube, 1850",909,Animalia,Annelida,Polychaeta,Spionida,NA,1,0,0,0,0,exact
Prionospio,Spionidae,NULL,913,Spionidae,"Grube, 1850",accepted,NA,Family,913,Spionidae,"Grube, 1850",909,Animalia,Annelida,Polychaeta,Spionida,NA,1,0,0,0,0,exact
Prionospio multibranchiata,Spionidae,4976054,913,Spionidae,"Grube, 1850",accepted,NA,Family,913,Spionidae,"Grube, 1850",909,Animalia,Annelida,Polychaeta,Spionida,NA,1,0,0,0,0,exact
Duplodicodrilus schmardae,Megascolecidae,839170,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Chtonobdella bilineata,Haemadipsidae,927383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambarincola gracilis,NULL,249347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambarincola montanus,NULL,249349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ripistes parasita,Naididae,975578,2039,Naididae,"Ehrenberg, 1831",accepted,NA,Family,2039,Naididae,"Ehrenberg, 1831",2119,Animalia,Annelida,Clitellata,Tubificida,NA,1,1,1,1,NA,exact
Motobdella montezuma,Erpobdellidae,5723675,160005,Erpobdellidae,"Moore, 1908",accepted,NA,Family,160005,Erpobdellidae,"Moore, 1908",160002,Animalia,Annelida,Clitellata,Arhynchobdellida,NA,0,1,1,0,0,exact
Haementeria molesta,Glossiphoniidae,624349,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Alboglossiphonia quadrata,Glossiphoniidae,779132,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Clymenella zonalis,Maldanidae,4977389,923,Maldanidae,"Malmgren, 1867",accepted,NA,Family,923,Maldanidae,"Malmgren, 1867",183607,Animalia,Annelida,Polychaeta,NA,NA,1,0,0,0,0,exact
Siboglinidae,"c(""Siboglinidae"", ""Siboglinidae"", ""Siboglinidae"")",NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philobdella floridana,Hirudinidae,616322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moorebdellina biannulata,Piscicolidae,373544,2043,Piscicolidae,"Johnston, 1865",accepted,NA,Family,2043,Piscicolidae,"Johnston, 1865",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,1,1,0,NA,exact
