taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Ampithoinae,Ampithoidae,NULL,101366,Ampithoidae,"Boeck, 1871",accepted,NA,Family,101366,Ampithoidae,"Boeck, 1871",716535,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,0,0,0,NA,exact
Protohyale jarrettae,Hyalidae,2983699,101385,Hyalidae,"Bulyčeva, 1957",accepted,NA,Family,101385,Hyalidae,"Bulyčeva, 1957",1325691,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,1,1,NA,NA,exact
Protohyale oclairi,Hyalidae,2983669,101385,Hyalidae,"Bulyčeva, 1957",accepted,NA,Family,101385,Hyalidae,"Bulyčeva, 1957",1325691,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,1,1,NA,NA,exact
Cumella vulgaris,Nannastacidae,3003020,110383,Nannastacidae,"Bate, 1866",accepted,NA,Family,110383,Nannastacidae,"Bate, 1866",1137,Animalia,Arthropoda,Malacostraca,Cumacea,NA,1,NA,1,0,NA,exact
Ixodes turdus,Ixodidae,310079,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes pavlovskyi,Ixodidae,310083,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes monospinosus,Ixodidae,310081,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes asanumai,Ixodidae,310089,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Scopimera curtelsoma,Dotillidae,949613,439148,Dotillidae,"Stimpson, 1858",accepted,NA,Family,439148,Dotillidae,"Stimpson, 1858",106707,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Ocypode cordimanus,Ocypodidae,2981539,106773,Ocypodidae,"Rafinesque, 1815",accepted,NA,Family,106773,Ocypodidae,"Rafinesque, 1815",106707,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Chorocaris,Alvinocarididae,NULL,106779,Alvinocarididae,"Christoffersen, 1986",accepted,NA,Family,106779,Alvinocarididae,"Christoffersen, 1986",106710,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,1,0,0,0,exact
Charybdis hellerii,Portunidae,506133,106763,Portunidae,"Rafinesque, 1815",accepted,NA,Family,106763,Portunidae,"Rafinesque, 1815",106702,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,1,0,0,0,exact
Callinectestus,Portunidae,NULL,106763,Portunidae,"Rafinesque, 1815",accepted,NA,Family,106763,Portunidae,"Rafinesque, 1815",106702,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,1,0,0,0,exact
Microphrys bicornutus,Mithracidae,957723,439056,Mithracidae,"MacLeay, 1838",accepted,NA,Family,439056,Mithracidae,"MacLeay, 1838",106700,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Achipteria clarencei,Achipteriidae,4684121,449178,Achipteriidae,"Thor, 1929",accepted,NA,Family,449178,Achipteriidae,"Thor, 1929",449177,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,NA,NA,exact
Anachipteria,Achipteriidae,NULL,449178,Achipteriidae,"Thor, 1929",accepted,NA,Family,449178,Achipteriidae,"Thor, 1929",449177,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,NA,NA,exact
Dentizetes,Ceratozetidae,NULL,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Diapterobates,Ceratozetidae,NULL,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Dorycranosus,Liacaridae,NULL,449171,Liacaridae,"Sellnick, 1928",accepted,NA,Family,449171,Liacaridae,"Sellnick, 1928",449170,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,NA,NA,exact
Euphthiracarus,Euphthiracaridae,NULL,508152,Euphthiracaridae,"Jacot, 1930",accepted,NA,Family,508152,Euphthiracaridae,"Jacot, 1930",508131,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Eupterotegaeus,Cepheidae,NULL,449196,Cepheidae,"Berlese, 1896",unaccepted,synonym,Family,450497,Compactozetidae,"Luxton, 1988",450496,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,NA,NA,NA,exact
Exochocepheus,Scutoverticidae,NULL,449184,Scutoverticidae,"Grandjean, 1954",accepted,NA,Family,449184,Scutoverticidae,"Grandjean, 1954",449183,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Hermanniella,Hermanniellidae,NULL,508158,Hermanniellidae,"Grandjean, 1934",accepted,NA,Family,508158,Hermanniellidae,"Grandjean, 1934",508133,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,NA,NA,exact
Jornadia,Oribatulidae,NULL,449181,Oribatulidae,"Thor, 1929",accepted,NA,Family,449181,Oribatulidae,"Thor, 1929",449179,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Lucoppia,Oribatulidae,NULL,449181,Oribatulidae,"Thor, 1929",accepted,NA,Family,449181,Oribatulidae,"Thor, 1929",449179,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Mesotritia,Oribotritiidae,NULL,508153,Oribotritiidae,"Grandjean, 1954",accepted,NA,Family,508153,Oribotritiidae,"Grandjean, 1954",508131,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Mucronothrus,Trhypochthoniidae,NULL,508146,Trhypochthoniidae,"Willman, 1931",accepted,NA,Family,508146,Trhypochthoniidae,"Willman, 1931",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Neogymnobates,Ceratozetidae,NULL,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Neonothrus,Camisiidae,NULL,449173,Camisiidae,"Oudemans, 1900",accepted,NA,Family,449173,Camisiidae,"Oudemans, 1900",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,1,1,NA,exact
Oribatodes,Cepheidae,NULL,449196,Cepheidae,"Berlese, 1896",unaccepted,synonym,Family,450497,Compactozetidae,"Luxton, 1988",450496,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,NA,NA,NA,exact
Peloribates,Haplozetidae,NULL,508167,Haplozetidae,"Grandjean, 1936",accepted,NA,Family,508167,Haplozetidae,"Grandjean, 1936",449179,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Pilogalumna,Galumnidae,NULL,449168,Galumnidae,"Jacot, 1925",accepted,NA,Family,449168,Galumnidae,"Jacot, 1925",150377,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Propelops,Phenopelopidae,NULL,449186,Phenopelopidae,"Petrunkevitch, 1955",accepted,NA,Family,449186,Phenopelopidae,"Petrunkevitch, 1955",449185,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Tectoribates,Oribatellidae,NULL,449176,Oribatellidae,"Jacot, 1925",accepted,NA,Family,449176,Oribatellidae,"Jacot, 1925",150381,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Trhypochthonius,Trhypochthoniidae,NULL,508146,Trhypochthoniidae,"Willman, 1931",accepted,NA,Family,508146,Trhypochthoniidae,"Willman, 1931",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Zetomimus,Ceratozetidae,NULL,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Allosuctobelba,Suctobelbidae,NULL,508164,Suctobelbidae,"Jacot, 1938",accepted,NA,Family,508164,Suctobelbidae,"Jacot, 1938",150380,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Eobrachychthonius,Brachychthoniidae,NULL,508140,Brachychthoniidae,"Thor, 1934",accepted,NA,Family,508140,Brachychthoniidae,"Thor, 1934",508127,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Cheiroseius,Ascidae,NULL,150321,Ascidae,NA,accepted,NA,Family,150321,Ascidae,NA,762058,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,1,NA,NA,NA,NA,exact
Iugoribates gracilis,Ceratozetidae,357587,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Oribatula interrupta,Oribatulidae,3528990,449181,Oribatulidae,"Thor, 1929",accepted,NA,Family,449181,Oribatulidae,"Thor, 1929",449179,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Diapterobates variabilis,Ceratozetidae,933180,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Hermannia reticulata,Hermanniidae,675996,449169,Hermanniidae,"Sellnick, 1928",accepted,NA,Family,449169,Hermanniidae,"Sellnick, 1928",150323,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
