taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Ecteinascidia,Perophoridae,NULL,103447,Perophoridae,"Giard, 1872",accepted,NA,Family,103447,Perophoridae,"Giard, 1872",103435,Animalia,Chordata,Ascidiacea,Phlebobranchia,NA,1,NA,NA,NA,NA,exact
Eulipotyphla,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sylvilagus brasiliensis,Leporidae,634572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracion immaculatus,Ostraciidae,1044207,125611,Ostraciidae,"Rafinesque, 1810",accepted,NA,Family,125611,Ostraciidae,"Rafinesque, 1810",10332,Animalia,Chordata,Actinopteri,Tetraodontiformes,NA,1,1,NA,NA,NA,exact
Sylvilagus floridanus,Leporidae,864591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepus europaeus,Leporidae,864607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nematolebias,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnatholebias zonatus,NULL,1018493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synchiropus papilio,Callionymidae,3632757,125522,Callionymidae,"Bonaparte, 1831",accepted,NA,Family,125522,Callionymidae,"Bonaparte, 1831",1517496,Animalia,Chordata,Actinopteri,Callionymiformes,NA,1,1,1,NA,NA,exact
Hippocampus,Syngnathidae,NULL,125606,Syngnathidae,"Bonaparte, 1831",accepted,NA,Family,125606,Syngnathidae,"Bonaparte, 1831",10327,Animalia,Chordata,Actinopteri,Syngnathiformes,NA,1,1,1,NA,NA,exact
Glaucostegus formosensis,Rhinobatidae,444666,105712,Rhinobatidae,"Bonaparte, 1835",accepted,NA,Family,105712,Rhinobatidae,"Bonaparte, 1835",1042840,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,NA,1,1,NA,NA,NA,exact
Coreoperca herzi,Sinipercidae,114860,1517561,Sinipercidae,"Jordan & Richardson, 1910",accepted,NA,Family,1517561,Sinipercidae,"Jordan & Richardson, 1910",1517557,Animalia,Chordata,Actinopteri,Centrarchiformes,NA,0,1,1,0,NA,exact
Labeo catla,Cyprinidae,719907,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Astyanax intermedius,Characidae,341087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbus rionicus,Cyprinidae,7066408,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Capoeta heratensis,Cyprinidae,679797,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Capoeta macrolepis,Cyprinidae,7066441,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Bathyaethiops,Alestidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprinus multitaeniata,Cyprinidae,310585,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Garra gymnothorax,Cyprinidae,5839001,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Garra sindhi,Cyprinidae,6142119,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Incisilabeo behri,Cyprinidae,388881,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Phoxinus lumaireul,Cyprinidae,1031056,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Rhynchocypris percnurus,Cyprinidae,44672,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Rutilus lacustris,Cyprinidae,7066940,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Rutilus prespensis,Cyprinidae,379558,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Schizothorax lissolabiata,Cyprinidae,709850,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Puntius chelynoides,Cyprinidae,198330,152825,Cyprinidae,"d'Orbigny, 1844",unaccepted,"Invalid: junior homonym of Cyprinidae Rafinesque, 1815, based on <i>Cyprinus</i> Linnaeus, 1758 [Pisces]",Family,241,Arcticidae,"Newton, 1891 (1844)",14628,Animalia,Mollusca,Bivalvia,Venerida,NA,NA,NA,NA,NA,NA,exact
Ilyodon,Goodeidae,NULL,154195,Goodeidae,"Jordan & Gilbert, 1883",accepted,NA,Family,154195,Goodeidae,"Jordan & Gilbert, 1883",10319,Animalia,Chordata,Actinopteri,Cyprinodontiformes,NA,NA,1,1,NA,NA,exact
Comephorus baicalensis,Cottidae,1019835,125589,Cottidae,"Bonaparte, 1831",accepted,NA,Family,125589,Cottidae,"Bonaparte, 1831",11014,Animalia,Chordata,Actinopteri,Perciformes,NA,1,1,1,NA,NA,exact
Ostracion solorensis,Ostraciidae,893596,125611,Ostraciidae,"Rafinesque, 1810",accepted,NA,Family,125611,Ostraciidae,"Rafinesque, 1810",10332,Animalia,Chordata,Actinopteri,Tetraodontiformes,NA,1,1,NA,NA,NA,exact
Hypsolebias trilineatus,NULL,1018477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tachysurus aurantiacus,Bagridae,804529,154645,Bagridae,"Bleeker, 1858",accepted,NA,Family,154645,Bagridae,"Bleeker, 1858",154157,Animalia,Chordata,Actinopteri,Siluriformes,NA,NA,1,1,NA,NA,exact
Congriscus megastomus,Congridae,182991,125427,Congridae,"Kaup, 1856",accepted,NA,Family,125427,Congridae,"Kaup, 1856",10295,Animalia,Chordata,Actinopteri,Anguilliformes,NA,1,1,NA,NA,NA,exact
Bryconamericus lethostigmus,Characidae,573826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piabarchus stramineus,Characidae,7065216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepturichthys fimbriata,Balitoridae,377085,154177,Balitoridae,"Swainson, 1839",accepted,NA,Family,154177,Balitoridae,"Swainson, 1839",154156,Animalia,Chordata,Actinopteri,Cypriniformes,NA,0,1,1,0,NA,exact
Indoreonectes keralensis,Nemacheilidae,3627986,826577,Nemacheilidae,"Regan, 1911",accepted,NA,Family,826577,Nemacheilidae,"Regan, 1911",154156,Animalia,Chordata,Actinopteri,Cypriniformes,NA,0,1,1,0,NA,exact
Nemachilichthys rueppelli,Nemacheilidae,148107,826577,Nemacheilidae,"Regan, 1911",accepted,NA,Family,826577,Nemacheilidae,"Regan, 1911",154156,Animalia,Chordata,Actinopteri,Cypriniformes,NA,0,1,1,0,NA,exact
Paracanthocobitis mooreh,Nemacheilidae,6141983,826577,Nemacheilidae,"Regan, 1911",accepted,NA,Family,826577,Nemacheilidae,"Regan, 1911",154156,Animalia,Chordata,Actinopteri,Cypriniformes,NA,0,1,1,0,NA,exact
Petruichthys brevis,Nemacheilidae,1004236,826577,Nemacheilidae,"Regan, 1911",accepted,NA,Family,826577,Nemacheilidae,"Regan, 1911",154156,Animalia,Chordata,Actinopteri,Cypriniformes,NA,0,1,1,0,NA,exact
Triplophysa stoliczkai,Nemacheilidae,502550,826577,Nemacheilidae,"Regan, 1911",accepted,NA,Family,826577,Nemacheilidae,"Regan, 1911",154156,Animalia,Chordata,Actinopteri,Cypriniformes,NA,0,1,1,0,NA,exact
Triplophysa yarkandensis,Nemacheilidae,4138459,826577,Nemacheilidae,"Regan, 1911",accepted,NA,Family,826577,Nemacheilidae,"Regan, 1911",154156,Animalia,Chordata,Actinopteri,Cypriniformes,NA,0,1,1,0,NA,exact
Chaetozone,Cirratulidae,NULL,919,Cirratulidae,"Ryckholt, 1851",accepted,NA,Family,919,Cirratulidae,"Ryckholt, 1851",155087,Animalia,Annelida,Polychaeta,Terebellida,NA,1,0,0,0,0,exact
