taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Tegella horrida,Calloporidae,2935710,110733,Calloporidae,"Norman, 1903",accepted,NA,Family,110733,Calloporidae,"Norman, 1903",153581,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,NA,1,1,NA,1,NA,exact
Abietinaria,Sertulariidae,NULL,1614,Sertulariidae,"Lamouroux, 1812",accepted,NA,Family,1614,Sertulariidae,"Lamouroux, 1812",1041959,Animalia,Cnidaria,Hydrozoa,Leptothecata,NA,1,1,0,0,NA,exact
Haliclystus sanjuanensis,Haliclystidae,309092,880517,Haliclystidae,"Haeckel, 1879",accepted,NA,Family,880517,Haliclystidae,"Haeckel, 1879",875440,Animalia,Cnidaria,Staurozoa,Stauromedusae,NA,1,0,0,0,NA,exact
Tubulanus ruber,Tubulanidae,7502743,122321,Tubulanidae,"Bürger, 1905",accepted,NA,Family,122321,Tubulanidae,"Bürger, 1905",1451609,Animalia,Nemertea,Palaeonemertea,Tubulaniformes,NA,1,NA,NA,NA,NA,exact
Laqueus californianus,Laqueidae,474208,147806,Laqueidae,"Thomson, 1927",accepted,NA,Family,147806,Laqueidae,"Thomson, 1927",235263,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,NA,1,NA,NA,NA,NA,exact
Mycetophyllia danaana,Mussidae,654383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthastrea rotundaflora,Lobophylliidae,28686,718587,Lobophylliidae,"Fukami, Budd & Knowlton, 2012",unaccepted,synonymy,Family,739007,Lobophylliidae,"Dai & Horng, 2009",1363,Animalia,Cnidaria,Anthozoa,Scleractinia,NA,1,0,0,0,NA,exact
Favites valenciennesi,Merulinidae,906677,1579843,Merulinidae,"Milne Edwards & Haime, 1857",accepted,NA,Family,1579843,Merulinidae,"Milne Edwards & Haime, 1857",1363,Animalia,Cnidaria,Anthozoa,Scleractinia,NA,1,NA,0,0,NA,exact
Macracanthorhynchus ingens,Oligacanthorhynchidae,562171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplanchna silvestrii,Asplanchnidae,245637,134917,Asplanchnidae,"Eckstein, 1883",accepted,NA,Family,134917,Asplanchnidae,"Eckstein, 1883",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,NA,1,NA,NA,exact
Asplanchna sieboldi,Asplanchnidae,251968,134917,Asplanchnidae,"Eckstein, 1883",accepted,NA,Family,134917,Asplanchnidae,"Eckstein, 1883",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,NA,1,NA,NA,exact
Beauchampiella eudactylota,Euchlanidae,738316,368560,Euchlanidae,"Ehrenberg, 1838",accepted,NA,Family,368560,Euchlanidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
