"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1","Lumbrineris californiensis","Lumbrineris californiensis","species",328927,808431,2323047,4978937,"Lumbrineris californiensis","Lumbrineris californiensis","Lumbrineris californiensis","Lumbrineris californiensis Hartman, 1944","Annelida","Polychaeta","Errantia","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris californiensis",882,883,754174,895,967,129337,328927,"Hartman, 1944",FALSE,""
"2","Lumbrineris inflata","Lumbrineris inflata","species",130246,535665,2323155,736740,"Lumbrineris inflata","Lumbrineris inflata","Lumbrineris inflata","Lumbrineris inflata Moore, 1911","Annelida","Polychaeta","Errantia","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris inflata",882,883,754174,895,967,129337,130246,"Moore, 1911",FALSE,""
"3","Lumbrineris japonica","Lumbrineris japonica","species",333891,205757,2323125,292082,"Lumbrineris japonica","Lumbrineris japonica","Lumbrineris japonica","Lumbrineris japonica Marenzeller, 1879","Annelida","Polychaeta","Errantia","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris japonica",882,883,754174,895,967,129337,333891,"Marenzeller, 1879",FALSE,""
"4","Scoletoma zonata","Scoletoma zonata","species",1039075,808434,9475191,640728,"Scoletoma zonata","Lumbrineris zonata","Scoletoma zonata","Scoletoma zonata (Johnson, 1901)","Annelida","Polychaeta","Errantia","Eunicida","Lumbrineridae","Scoletoma","Scoletoma zonata",882,883,754174,895,967,129340,1039075,"(Johnson, 1901)",TRUE,""
"5","Armandia brevis","Armandia brevis","species",333048,205793,5197476,528687,"Armandia brevis","Armandia brevis","Armandia brevis","Armandia brevis (Moore, 1906)","Annelida","Polychaeta","Sedentaria",NA,"Opheliidae","Armandia","Armandia brevis",882,883,754175,NA,924,129410,333048,"(Moore, 1906)",FALSE,""
"6","Thoracophelia mucronata","Thoracophelia mucronata","species",715865,606441,4288894,221856,"Thoracophelia mucronata","Thoracophelia mucronata","Thoracophelia mucronata","Thoracophelia mucronata (Treadwell, 1914)","Annelida","Polychaeta","Sedentaria",NA,"Opheliidae","Thoracophelia","Thoracophelia mucronata",882,883,754175,NA,924,326053,715865,"(Treadwell, 1914)",FALSE,""
"7","Paleanotus bellis","Paleanotus bellis","species",334328,786506,2312846,4983795,"Paleanotus bellis","Paleanotus bellis","Paleanotus bellis","Paleanotus bellis (Johnson, 1897)","Annelida","Polychaeta","Errantia","Phyllodocida","Chrysopetalidae","Paleanotus","Paleanotus bellis",882,883,754174,892,944,129238,334328,"(Johnson, 1897)",FALSE,""
"8","Glycera americana","Glycera americana","species",157388,299356,5195524,1075178,"Glycera americana","Glycera americana","Glycera americana","Glycera americana Leidy, 1855","Annelida","Polychaeta","Errantia","Phyllodocida","Glyceridae","Glycera","Glycera americana",882,883,754174,892,952,129296,157388,"Leidy, 1855",FALSE,""
"9","Glycerana","Glycerana",NA,NA,NA,NA,7873058,NA,"Glaberana",NA,NA,"Annelida","Polychaeta",NA,NA,"Glyceridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"10","Glycinde picta","Glycinde picta","species",240625,385905,2316504,4980701,"Glycinde picta","Glycinde picta","Glycinde picta","Glycinde picta Berkeley, 1927","Annelida","Polychaeta","Errantia","Phyllodocida","Goniadidae","Glycinde","Glycinde picta",882,883,754174,892,953,129299,240625,"Berkeley, 1927",FALSE,""
"11","Micropodarke dubia","Micropodarke dubia","species",334017,190361,2309270,64304,"Micropodarke dubia","Micropodarke dubia","Micropodarke dubia","Micropodarke dubia (Hessle, 1925)","Annelida","Polychaeta","Errantia","Phyllodocida","Hesionidae","Micropodarke","Micropodarke dubia",882,883,754174,892,946,324829,334017,"(Hessle, 1925)",FALSE,""
"12","Oxydromus pugettensis","Oxydromus pugettensis","species",710706,715072,7189822,274795,"Oxydromus pugettensis","Oxydromus pugettensis","Oxydromus pugettensis","Oxydromus pugettensis (Johnson, 1901)","Annelida","Polychaeta","Errantia","Phyllodocida","Hesionidae","Oxydromus","Oxydromus pugettensis",882,883,754174,892,946,173457,710706,"(Johnson, 1901)",FALSE,""
"13","Alitta brandti","Alitta brandti","species",339215,889978,2316364,4981627,"Alitta brandti","Alitta brandti","Alitta brandti","Alitta brandti Malmgren, 1865","Annelida","Polychaeta","Errantia","Phyllodocida","Nereididae","Alitta","Alitta brandti",882,883,754174,892,22496,234848,339215,"Malmgren, 1865",FALSE,""
"14","Cheilonereis cyclurus","Cheilonereis cyclurus","species",332676,198165,2315775,2537,"Cheilonereis cyclurus","Cheilonereis cyclurus","Cheilonereis cyclurus","Cheilonereis cyclurus (Harrington, 1897)","Annelida","Polychaeta","Errantia","Phyllodocida","Nereididae","Cheilonereis","Cheilonereis cyclurus",882,883,754174,892,22496,156851,332676,"(Harrington, 1897)",FALSE,""
"15","Nereis procera","Nereis procera","species",329725,899744,5196179,4981444,"Nereis procera","Nereis procera","Nereis procera","Nereis procera Ehlers, 1868","Annelida","Polychaeta","Errantia","Phyllodocida","Nereididae","Nereis","Nereis procera",882,883,754174,892,22496,129379,329725,"Ehlers, 1868",FALSE,"sibling_higher"
"16","Nereis vexillosa","Nereis vexillosa","species",329765,205772,5196263,689784,"Nereis vexillosa","Nereis vexillosa","Nereis vexillosa","Nereis vexillosa Grube, 1851","Annelida","Polychaeta","Errantia","Phyllodocida","Nereididae","Nereis","Nereis vexillosa",882,883,754174,892,22496,129379,329765,"Grube, 1851",FALSE,"sibling_higher"
"17","Platynereis bicanaliculata","Platynereis bicanaliculata","species",334557,205751,2315944,112860,"Platynereis bicanaliculata","Platynereis bicanaliculata","Platynereis bicanaliculata","Platynereis bicanaliculata (Baird, 1863)","Annelida","Polychaeta","Errantia","Phyllodocida","Nereididae","Platynereis","Platynereis bicanaliculata",882,883,754174,892,22496,129381,334557,"(Baird, 1863)",FALSE,""
"18","Pholoides asperus","Pholoides asperus","species",NA,205769,2315149,961522,NA,"Pholoides asperus","Pholoides asperus","Pholoides asperus (Johnson, 1897)","Annelida","Polychaeta",NA,NA,"Pholoidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
