"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1","Acartia longiremis","Acartia longiremis","species",NA,310780,2114439,966235,NA,"Acartia longiremis","Acartia longiremis","Acartia longiremis (Lilljeborg, 1853)","Arthropoda",NA,NA,NA,"Acartiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"2","Aetideus divergens","Aetideus divergens","species",346076,518636,5166425,2956825,"Aetideus divergens","Aetideus divergens","Aetideus divergens","Aetideus divergens Bradford, 1971","Arthropoda","Copepoda",NA,"Calanoida","Aetideidae","Aetideus","Aetideus divergens",1065,1080,NA,1100,104075,104112,346076,"Bradford, 1971",FALSE,""
"3","Chiridius gracilis","Chiridius gracilis","species",104290,152170,2115197,517253,"Chiridius gracilis","Chiridius gracilis","Chiridius gracilis","Chiridius gracilis Farran, 1908","Arthropoda","Copepoda",NA,"Calanoida","Aetideidae","Chiridius","Chiridius gracilis",1065,1080,NA,1100,104075,104117,104290,"Farran, 1908",FALSE,""
"4","Arietellus plumifer","Arietellus plumifer","species",104351,809285,2114795,2957491,"Arietellus plumifer","Arietellus plumifer","Arietellus plumifer","Arietellus plumifer Sars G.O., 1905","Arthropoda","Copepoda",NA,"Calanoida","Arietellidae","Arietellus","Arietellus plumifer",1065,1080,NA,1100,104076,104130,104351,"Sars G.O., 1905",FALSE,""
"5","Calanus marshallae","Calanus marshallae","species",196770,31234,5166404,582314,"Calanus marshallae","Calanus marshallae","Calanus marshallae","Calanus marshallae Frost, 1974","Arthropoda","Copepoda",NA,"Calanoida","Calanidae","Calanus","Calanus marshallae",1065,1080,NA,1100,104079,104152,196770,"Frost, 1974",FALSE,""
"6","Calanus pacificus","Calanus pacificus","species",196771,31238,5166395,977889,"Calanus pacificus","Calanus pacificus","Calanus pacificus","Calanus pacificus Brodsky, 1948","Arthropoda","Copepoda",NA,"Calanoida","Calanidae","Calanus","Calanus pacificus",1065,1080,NA,1100,104079,104152,196771,"Brodsky, 1948",FALSE,""
"7","Neocalanus cristatus","Neocalanus cristatus","species",104470,24528,2114956,6062,"Neocalanus cristatus","Neocalanus cristatus","Neocalanus cristatus","Neocalanus cristatus (Krøyer, 1848)","Arthropoda","Copepoda",NA,"Calanoida","Calanidae","Neocalanus","Neocalanus cristatus",1065,1080,NA,1100,104079,104155,104470,"(Krøyer, 1848)",FALSE,""
"8","Neocalanus plumchrus","Neocalanus plumchrus","species",196772,32386,2114959,527426,"Neocalanus plumchrus","Neocalanus plumchrus","Neocalanus plumchrus","Neocalanus plumchrus (Marukawa, 1921)","Arthropoda","Copepoda",NA,"Calanoida","Calanidae","Neocalanus","Neocalanus plumchrus",1065,1080,NA,1100,104079,104155,196772,"(Marukawa, 1921)",FALSE,""
"9","Candacia columbiae","Candacia columbiae","species",349800,809286,2115100,589864,"Candacia columbiae","Candacia columbiae","Candacia columbiae","Candacia columbiae Campbell, 1929","Arthropoda","Copepoda",NA,"Calanoida","Candaciidae","Candacia","Candacia columbiae",1065,1080,NA,1100,104080,104157,349800,"Campbell, 1929",FALSE,""
"10","Centropages abdominalis","Centropages abdominalis","species",196774,31019,2114732,1020018,"Centropages abdominalis","Centropages abdominalis","Centropages abdominalis","Centropages abdominalis Sato, 1913","Arthropoda","Copepoda",NA,"Calanoida","Centropagidae","Centropages","Centropages abdominalis",1065,1080,NA,1100,104081,104159,196774,"Sato, 1913",FALSE,""
