"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1","Clupea pallasii","Clupea pallasii","species",151159,33891,4284072,421318,"Clupea pallasii","Clupea pallasii","Clupea pallasii","Clupea pallasii Valenciennes, 1847","Chordata","Actinopteri","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea pallasii",1821,843664,293496,10297,125464,125716,151159,"Valenciennes, 1847",FALSE,""
"2","Engraulis mordax","Engraulis mordax","species",272286,33922,2414024,29754,"Engraulis mordax","Engraulis mordax","Engraulis mordax","Engraulis mordax Girard, 1854","Chordata","Actinopteri","Teleostei","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax",1821,843664,293496,10297,125465,125724,272286,"Girard, 1854",FALSE,""
"3","Gadus chalcogrammus","Gadus chalcogrammus","species",300735,360473,2415769,1056842,"Gadus chalcogrammus","Gadus chalcogrammus","Gadus chalcogrammus","Gadus chalcogrammus Pallas, 1814","Chordata","Actinopteri","Teleostei","Gadiformes","Gadidae","Gadus","Gadus chalcogrammus",1821,843664,293496,10313,125469,125732,300735,"Pallas, 1814",FALSE,""
"4","Gadus macrocephalus","Gadus macrocephalus","species",254538,19837,2415853,56885,"Gadus macrocephalus","Gadus macrocephalus","Gadus macrocephalus","Gadus macrocephalus Tilesius, 1810","Chordata","Actinopteri","Teleostei","Gadiformes","Gadidae","Gadus","Gadus macrocephalus",1821,843664,293496,10313,125469,125732,254538,"Tilesius, 1810",FALSE,""
"5","Microgadus proximus","Microgadus proximus","species",275873,15708,2415888,56889,"Microgadus proximus","Microgadus proximus","Microgadus proximus","Microgadus proximus (Girard, 1854)","Chordata","Actinopteri","Teleostei","Gadiformes","Gadidae","Microgadus","Microgadus proximus",1821,843664,293496,10313,125469,158927,275873,"(Girard, 1854)",FALSE,""
"6","Merluccius productus","Merluccius productus","species",272458,11764,2415676,183169,"Merluccius productus","Merluccius productus","Merluccius productus","Merluccius productus (Ayres, 1855)","Chordata","Actinopteri","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius productus",1821,843664,293496,10313,125473,125762,272458,"(Ayres, 1855)",FALSE,""
"7","Gobiesox maeandricus","Gobiesox maeandricus","species",275671,125653,2411287,622499,"Gobiesox maeandricus","Gobiesox maeandricus","Gobiesox maeandricus","Gobiesox maeandricus (Girard, 1858)","Chordata","Actinopteri","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","Gobiesox maeandricus",1821,843664,293496,10317,125477,158785,275671,"(Girard, 1858)",FALSE,""
"8","Rimicola muscarum","Rimicola muscarum","species",282617,99728,5214482,584437,"Rimicola muscarum","Rimicola muscarum","Rimicola muscarum","Rimicola muscarum (Meek & Pierson, 1895)","Chordata","Actinopteri","Teleostei","Gobiesociformes","Gobiesocidae","Rimicola","Rimicola muscarum",1821,843664,293496,10317,125477,270760,282617,"(Meek & Pierson, 1895)",FALSE,""
"9","Rhinogobiopscholsii","Rhinogobiopscholsii",NA,NA,NA,NA,494025,NA,"Rhinogobiops nicholsii",NA,NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10","Lepidogobius lepidus","Lepidogobius lepidus","species",281292,125624,2379182,387080,"Lepidogobius lepidus","Lepidogobius lepidus","Lepidogobius lepidus","Lepidogobius lepidus (Girard, 1858)","Chordata","Actinopteri","Teleostei","Gobiiformes","Gobiidae","Lepidogobius","Lepidogobius lepidus",1821,843664,293496,1517500,125537,269634,281292,"(Girard, 1858)",FALSE,""
"11","Hypomesus pretiosus","Hypomesus pretiosus","species",279422,125619,2410871,227596,"Hypomesus pretiosus","Hypomesus pretiosus","Hypomesus pretiosus","Hypomesus pretiosus (Girard, 1854)","Chordata","Actinopteri","Teleostei","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus",1821,843664,293496,10304,125513,254339,279422,"(Girard, 1854)",FALSE,""
"12","Thaleichthys pacificus","Thaleichthys pacificus","species",282959,10698,2410903,555682,"Thaleichthys pacificus","Thaleichthys pacificus","Thaleichthys pacificus","Thaleichthys pacificus (Richardson, 1836)","Chordata","Actinopteri","Teleostei","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus",1821,843664,293496,10304,125513,271074,282959,"(Richardson, 1836)",FALSE,""
"13","Amphistichus rhodoterus","Amphistichus rhodoterus","species",279596,76472,2389252,698628,"Amphistichus rhodoterus","Amphistichus rhodoterus","Amphistichus rhodoterus","Amphistichus rhodoterus (Agassiz, 1854)","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Amphistichus","Amphistichus rhodoterus",1821,843664,293496,1517546,151386,268297,279596,"(Agassiz, 1854)",FALSE,"incertae_sedis_inherited"
"14","Brachyistius frenatus","Brachyistius frenatus","species",240721,99711,2389277,29170,"Brachyistius frenatus","Brachyistius frenatus","Brachyistius frenatus","Brachyistius frenatus Gill, 1862","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Brachyistius","Brachyistius frenatus",1821,843664,293496,1517546,151386,240720,240721,"Gill, 1862",FALSE,"incertae_sedis_inherited"
