"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1","Evasterias troschelii","Evasterias troschelii","species",255040,32883,4305407,197640,"Evasterias troschelii","Evasterias troschelii","Evasterias troschelii","Evasterias troschelii (Stimpson, 1862)","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Evasterias","Evasterias troschelii",1806,123080,1562575,123086,123121,254332,255040,"(Stimpson, 1862)",FALSE,""
"2","Orthasterias koehleri","Orthasterias koehleri","species",255048,32904,2273975,136032,"Orthasterias koehleri","Orthasterias koehleri","Orthasterias koehleri","Orthasterias koehleri (deLoriol, 1897)","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Orthasterias","Orthasterias koehleri",1806,123080,1562575,123086,123121,146038,255048,"(deLoriol, 1897)",FALSE,""
"3","Pisaster brevispinus","Pisaster brevispinus","species",240757,104577,2273749,76842,"Pisaster brevispinus","Pisaster brevispinus","Pisaster brevispinus","Pisaster brevispinus (Stimpson, 1857)","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Pisaster","Pisaster brevispinus",1806,123080,1562575,123086,123121,240754,240757,"(Stimpson, 1857)",FALSE,""
"4","Pisaster ochraceus","Pisaster ochraceus","species",240755,25299,2273754,76843,"Pisaster ochraceus","Pisaster ochraceus","Pisaster ochraceus","Pisaster ochraceus (Brandt, 1835)","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Pisaster","Pisaster ochraceus",1806,123080,1562575,123086,123121,240754,240755,"(Brandt, 1835)",FALSE,""
"5","Pycnopodia helianthoides","Pycnopodia helianthoides","species",240764,82338,2274565,197638,"Pycnopodia helianthoides","Pycnopodia helianthoides","Pycnopodia helianthoides","Pycnopodia helianthoides (Brandt, 1835)","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Pycnopodia","Pycnopodia helianthoides",1806,123080,1562575,123086,123121,240763,240764,"(Brandt, 1835)",FALSE,""
"6","Stylasterias forreri","Stylasterias forreri","species",255062,30116,2274223,136031,"Stylasterias forreri","Stylasterias forreri","Stylasterias forreri","Stylasterias forreri (deLoriol, 1887)","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Stylasterias","Stylasterias forreri",1806,123080,1562575,123086,123121,146049,255062,"(deLoriol, 1887)",FALSE,""
"7","Luidia foliolata","Luidia foliolata","species",368114,32894,2270618,258317,"Luidia foliolata","Luidia foliolata","Luidia foliolata","Luidia foliolata Grube, 1866","Echinodermata","Asteroidea","Ambuloasteroidea","Paxillosida","Luidiidae","Luidia","Luidia foliolata",1806,123080,1562575,123088,123129,123260,368114,"Grube, 1866",FALSE,""
"8","Henricia pumila","Henricia pumila","species",467966,266621,5187379,3656113,"Henricia pumila","Henricia pumila","Henricia pumila","Henricia pumila Eernisse, Strathmann & Strathmann, 2010","Echinodermata","Asteroidea","Ambuloasteroidea","Spinulosida","Echinasteridae","Henricia","Henricia pumila",1806,123080,1562575,123089,123132,123276,467966,"Eernisse, Strathmann & Strathmann, 2010",FALSE,""
"9","Patiria miniata","Patiria miniata","species",382131,166465,2272172,174354,"Patiria miniata","Patiria miniata","Patiria miniata","Patiria miniata (Brandt, 1835)","Echinodermata","Asteroidea","Ambuloasteroidea","Valvatida","Asterinidae","Patiria","Patiria miniata",1806,123080,1562575,123090,123133,123285,382131,"(Brandt, 1835)",FALSE,""
"10","Dermasterias imbricata","Dermasterias imbricata","species",240771,32893,2271961,977099,"Dermasterias imbricata","Dermasterias imbricata","Dermasterias imbricata","Dermasterias imbricata (Grube, 1857)","Echinodermata","Asteroidea","Ambuloasteroidea","Valvatida","Asteropseidae","Dermasterias","Dermasterias imbricata",1806,123080,1562575,123090,149874,240770,240771,"(Grube, 1857)",FALSE,""
