"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1","Hiatella arctica","Hiatella arctica","species",140103,81256,5189537,634278,"Hiatella arctica","Hiatella arctica","Hiatella arctica","Hiatella arctica (Linnaeus, 1767)","Mollusca","Bivalvia","Autobranchia","Adapedonta","Hiatellidae","Hiatella","Hiatella arctica",51,105,1424948,869601,251,138068,140103,"(Linnaeus, 1767)",FALSE,""
"2","Glycymeris septentrionalis","Glycymeris septentrionalis","species",504512,495418,2286273,2853550,"Glycymeris septentrionalis","Glycymeris septentrionalis","Glycymeris septentrionalis","Glycymeris septentrionalis (Middendorff, 1849)","Mollusca","Bivalvia","Autobranchia","Arcida","Glycymerididae","Glycymeris","Glycymeris septentrionalis",51,105,1424948,207,209,138035,504512,"(Middendorff, 1849)",FALSE,""
"3","Ciliatocardium ciliatum","Ciliatocardium ciliatum","species",139000,593195,4372532,2862344,"Ciliatocardium ciliatum","Ciliatocardium ciliatum","Ciliatocardium ciliatum","Ciliatocardium ciliatum (Fabricius, 1780)","Mollusca","Bivalvia","Autobranchia","Cardiida","Cardiidae","Ciliatocardium","Ciliatocardium ciliatum",51,105,1424948,869602,229,137736,139000,"(Fabricius, 1780)",FALSE,""
"4","Clinocardiumttallii","Clinocardiumttallii",NA,NA,NA,NA,661556,NA,"Clinocardium nuttallii",NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"5","Nuttallia obscurata","Nuttallia obscurata","species",397157,600768,5189093,139252,"Nuttallia obscurata","Nuttallia obscurata","Nuttallia obscurata","Nuttallia obscurata (Reeve, 1857)","Mollusca","Bivalvia","Autobranchia","Cardiida","Psammobiidae","Nuttallia","Nuttallia obscurata",51,105,1424948,869602,237,397156,397157,"(Reeve, 1857)",FALSE,""
"6","Ameritella modesta","Ameritella modesta","species",878514,786736,8831946,7491841,"Ameritella modesta","Ameritella modesta","Ameritella modesta","Ameritella modesta (Carpenter, 1864)","Mollusca","Bivalvia","Autobranchia","Cardiida","Tellinidae","Ameritella","Ameritella modesta",51,105,1424948,869602,235,849118,878514,"(Carpenter, 1864)",FALSE,""
"7","Macoma balthica","Macoma balthica","species",141579,104965,2286995,1018135,"Macoma balthica","Limecola balthica","Macoma balthica","Macoma balthica (Linnaeus, 1758)","Mollusca","Bivalvia","Autobranchia","Cardiida","Tellinidae","Macoma","Macoma balthica",51,105,1424948,869602,235,138531,141579,"(Linnaeus, 1758)",TRUE,""
"8","Macoma inquinata","Macoma inquinata","species",582759,395172,2287019,2857059,"Macoma inquinata","Macoma inquinata","Macoma inquinata","Macoma inquinata (Deshayes, 1855)","Mollusca","Bivalvia","Autobranchia","Cardiida","Tellinidae","Macoma","Macoma inquinata",51,105,1424948,869602,235,138531,582759,"(Deshayes, 1855)",FALSE,""
"9","Macomasuta","Macomasuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Macoma secta","Macoma secta","species",NA,786738,2286991,624874,NA,"Rexithaerus secta","Macoma secta","Macoma secta (Conrad, 1837)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"11","Cyclocardia crassidens","Cyclocardia crassidens","species",NA,495464,2286615,2859882,NA,"Cyclocardia crassidens","Cyclocardia crassidens","Cyclocardia crassidens (Broderip & G.B.Sowerby I, 1829)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"12","Cyclocardia ventricosa","Cyclocardia ventricosa","species",NA,394946,2286610,2859650,NA,"Cyclocardia ventricosa","Cyclocardia ventricosa","Cyclocardia ventricosa (Gould, 1850)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"13","Scintillona bellerophon","Scintillona bellerophon","species",582738,786732,2287232,2861811,"Scintillona bellerophon","Scintillona bellerophon","Scintillona bellerophon","Scintillona bellerophon Ó Foighil & Gibson, 1984","Mollusca","Bivalvia","Autobranchia","Galeommatida","Galeommatidae","Scintillona","Scintillona bellerophon",51,105,1424948,1326015,226,558144,582738,"Ó Foighil & Gibson, 1984",FALSE,""
"14","Kurtiella tumida","Kurtiella tumida","species",606421,786733,6788547,2861770,"Kurtiella tumida","Kurtiella tumida","Kurtiella tumida","Kurtiella tumida (Carpenter, 1864)","Mollusca","Bivalvia","Autobranchia","Galeommatida","Lasaeidae","Kurtiella","Kurtiella tumida",51,105,1424948,1326015,222,345280,606421,"(Carpenter, 1864)",FALSE,""
"15","Lucinoma annulata","Lucinoma annulata","species",464200,600757,4949647,312137,"Lucinoma annulata","Lucinoma annulata","Lucinoma annulata","Lucinoma annulata (Reeve, 1850)","Mollusca","Bivalvia","Autobranchia","Lucinida","Lucinidae","Lucinoma","Lucinoma annulata",51,105,1424948,489106,218,138149,464200,"(Reeve, 1850)",FALSE,""
"16","Parvilucina tenuisculpta","Parvilucina tenuisculpta","species",464250,293145,2287403,2860840,"Parvilucina tenuisculpta","Parvilucina tenuisculpta","Parvilucina tenuisculpta","Parvilucina tenuisculpta (Carpenter, 1864)","Mollusca","Bivalvia","Autobranchia","Lucinida","Lucinidae","Parvilucina","Parvilucina tenuisculpta",51,105,1424948,489106,218,415776,464250,"(Carpenter, 1864)",FALSE,""
"17","Axinopsida serricata","Axinopsida serricata","species",246819,299423,2287516,2861184,"Axinopsida serricata","Axinopsida serricata","Axinopsida serricata","Axinopsida serricata (Carpenter, 1864)","Mollusca","Bivalvia","Autobranchia","Lucinida","Thyasiridae","Axinopsida","Axinopsida serricata",51,105,1424948,489106,219,138550,246819,"(Carpenter, 1864)",FALSE,""
"18","Mya arenaria","Mya arenaria","species",140430,30912,7791733,7366,"Mya arenaria","Mya arenaria","Mya arenaria","Mya arenaria Linnaeus, 1758","Mollusca","Bivalvia","Autobranchia","Myida","Myidae","Mya","Mya arenaria",51,105,1424948,245,247,138211,140430,"Linnaeus, 1758",FALSE,""
"19","Mya truncata","Mya truncata","species",140431,159183,7865139,399790,"Mya truncata","Mya truncata","Mya truncata","Mya truncata Linnaeus, 1758","Mollusca","Bivalvia","Autobranchia","Myida","Myidae","Mya","Mya truncata",51,105,1424948,245,247,138211,140431,"Linnaeus, 1758",FALSE,""
"20","Musculus discors","Musculus discors","species",140472,306792,5188853,237910,"Musculus discors","Musculus discors","Musculus discors","Musculus discors (Linnaeus, 1767)","Mollusca","Bivalvia","Autobranchia","Mytilida","Mytilidae","Musculus","Musculus discors",51,105,1424948,210,211,138225,140472,"(Linnaeus, 1767)",FALSE,""
"21","Mytilus californianus","Mytilus californianus","species",367837,33413,2285680,1025558,"Mytilus californianus","Mytilus californianus","Mytilus californianus","Mytilus californianus Conrad, 1837","Mollusca","Bivalvia","Autobranchia","Mytilida","Mytilidae","Mytilus","Mytilus californianus",51,105,1424948,210,211,138228,367837,"Conrad, 1837",FALSE,""
"22","Mytilus trossulus","Mytilus trossulus","species",140482,29482,2285681,499754,"Mytilus trossulus","Mytilus trossulus","Mytilus trossulus","Mytilus trossulus Gould, 1850","Mollusca","Bivalvia","Autobranchia","Mytilida","Mytilidae","Mytilus","Mytilus trossulus",51,105,1424948,210,211,138228,140482,"A. Gould, 1850",FALSE,""
"23","Acila castrensis","Acila castrensis","species",506568,277685,2285630,895924,"Acila castrensis","Acila castrensis","Acila castrensis","Acila castrensis (Hinds, 1843)","Mollusca","Bivalvia","Protobranchia","Nuculida","Nuculidae","Acila","Acila castrensis",51,105,106,382247,204,492055,506568,"(Hinds, 1843)",FALSE,""
"24","Pododesmus macrochisma","Pododesmus macrochisma","species",758426,387494,2286130,1097825,"Pododesmus macrochisma","Pododesmus macrochisma","Pododesmus macrochisma","Pododesmus macrochisma (Deshayes, 1839)","Mollusca","Bivalvia","Autobranchia","Pectinida","Anomiidae","Pododesmus","Pododesmus macrochisma",51,105,1424948,387324,214,137653,758426,"(Deshayes, 1839)",FALSE,""
"25","Tresus capax","Tresus capax","species",367776,395169,5188976,131015,"Tresus capax","Tresus capax","Tresus capax","Tresus capax (Gould, 1850)","Mollusca","Bivalvia","Autobranchia","Venerida","Mactridae","Tresus","Tresus capax",51,105,1424948,217,230,367775,367776,"(Gould, 1850)",FALSE,""
"26","Compsomyax subdiaphana","Compsomyax subdiaphana","species",507527,83703,2287675,176875,"Compsomyax subdiaphana","Compsomyax subdiaphana","Compsomyax subdiaphana","Compsomyax subdiaphana (Carpenter, 1864)","Mollusca","Bivalvia","Autobranchia","Venerida","Veneridae","Compsomyax","Compsomyax subdiaphana",51,105,1424948,217,243,492504,507527,"(Carpenter, 1864)",FALSE,""
"27","Humilaria kennerleyi","Humilaria kennerleyi","species",507686,484143,2287707,583890,"Humilaria kennerleyi","Humilaria kennerleyi","Humilaria kennerleyi","Humilaria kennerleyi (Reeve, 1863)","Mollusca","Bivalvia","Autobranchia","Venerida","Veneridae","Humilaria","Humilaria kennerleyi",51,105,1424948,217,243,492484,507686,"(Reeve, 1863)",FALSE,""
"28","Leukoma staminea","Leukoma staminea","species",507737,484121,5855840,865455,"Leukoma staminea","Leukoma staminea","Leukoma staminea","Leukoma staminea (Conrad, 1837)","Mollusca","Bivalvia","Autobranchia","Venerida","Veneridae","Leukoma","Leukoma staminea",51,105,1424948,217,243,492481,507737,"(Conrad, 1837)",FALSE,""
"29","Nutricola tantilla","Nutricola tantilla","species",507789,80262,2287815,326804,"Nutricola tantilla","Nutricola tantilla","Nutricola tantilla","Nutricola tantilla (Gould, 1853)","Mollusca","Bivalvia","Autobranchia","Venerida","Veneridae","Nutricola","Nutricola tantilla",51,105,1424948,217,243,492501,507789,"(Gould, 1853)",FALSE,""
"30","Protothaca staminea","Protothaca staminea","species",NA,600779,2287799,865455,NA,"Leukoma staminea","Protothaca staminea","Protothaca staminea (Conrad, 1837)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"31","Ruditapes philippinarum","Ruditapes philippinarum","species",231750,508061,4372686,913666,"Ruditapes philippinarum","Ruditapes philippinarum","Ruditapes philippinarum","Ruditapes philippinarum (A.Adams & Reeve, 1850)","Mollusca","Bivalvia","Autobranchia","Venerida","Veneridae","Ruditapes","Ruditapes philippinarum",51,105,1424948,217,243,231748,231750,"(A. Adams & Reeve, 1850)",FALSE,""
"32","Saxidomus gigantea","Saxidomus gigantea","species",546014,395171,2287849,139257,"Saxidomus gigantea","Saxidomus gigantea","Saxidomus gigantea","Saxidomus gigantea (Deshayes, 1839)","Mollusca","Bivalvia","Autobranchia","Venerida","Veneridae","Saxidomus","Saxidomus gigantea",51,105,1424948,217,243,367777,546014,"(Deshayes, 1839)",FALSE,""
"33","Saxidomusttalli","Saxidomusttalli",NA,NA,NA,NA,2858113,NA,"Saxidomus nuttalli",NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"34","Cardiomya pectinata","Cardiomya pectinata","species",408482,808191,2288527,2864151,"Cardiomya pectinata","Cardiomya pectinata","Cardiomya pectinata","Cardiomya pectinata (Carpenter, 1865)","Mollusca","Bivalvia","Autobranchia",NA,"Cuspidariidae","Cardiomya","Cardiomya pectinata",51,105,1424948,NA,1788,137857,408482,"(Carpenter, 1865)",FALSE,""
