"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1","Dendrobeania longispinosa","Dendrobeania longispinosa","species",469232,981662,1006135,2936638,"Dendrobeania longispinosa","Dendrobeania longispinosa","Dendrobeania longispinosa","Dendrobeania longispinosa (Robertson, 1905)","Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Bugulidae","Dendrobeania","Dendrobeania longispinosa",146142,1795,NA,110722,110731,110842,469232,"(Robertson, 1905)",FALSE,"sibling_higher"
"2","Dendrobeania murrayana","Dendrobeania murrayana","species",111174,306785,1006148,2936634,"Dendrobeania murrayana","Dendrobeania murrayana","Dendrobeania murrayana","Dendrobeania murrayana (Bean, 1847)","Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Bugulidae","Dendrobeania","Dendrobeania murrayana",146142,1795,NA,110722,110731,110842,111174,"(Bean in Johnston, 1847)",FALSE,"sibling_higher"
"3","Callopora horrida","Callopora horrida","species",NA,981669,4288738,2935710,NA,"Tegella horrida","Callopora horrida","Callopora horrida (Hincks, 1880)","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"4","Tricellaria ternata","Tricellaria ternata","species",111256,400071,4985069,2936139,"Tricellaria ternata","Tricellaria ternata","Tricellaria ternata","Tricellaria ternata (Ellis & Solander, 1786)","Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Candidae","Tricellaria","Tricellaria ternata",146142,1795,NA,110722,110734,110868,111256,"(Ellis & Solander, 1786)",FALSE,""
"5","Microporina articulata","Microporina articulata","species",160496,977173,1009501,2935621,"Microporina articulata","Microporina articulata","Microporina articulata","Microporina articulata (Fabricius, 1821)","Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Microporidae","Microporina","Microporina articulata",146142,1795,NA,110722,110764,160494,160496,"(Fabricius, 1821)",FALSE,""
"6","Primavelans insculpta","Primavelans insculpta","species",472023,802873,1009372,2938719,"Primavelans insculpta","Primavelans insculpta","Primavelans insculpta","Primavelans insculpta (Hincks, 1883)","Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Pacificincolidae","Primavelans","Primavelans insculpta",146142,1795,NA,110722,408258,468539,472023,"(Hincks, 1883)",FALSE,""
"7","Phidolopora pacifica","Phidolopora pacifica","species",470149,400059,1004946,357258,"Phidolopora pacifica","Phidolopora pacifica","Phidolopora pacifica","Phidolopora pacifica (Robertson, 1908)","Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Phidoloporidae","Phidolopora","Phidolopora pacifica",146142,1795,NA,110722,110768,110955,470149,"(Robertson, 1908)",FALSE,""
"8","Rhamphostomella curvirostrata","Rhamphostomella curvirostrata","species",469180,981668,1008769,2937654,"Rhamphostomella curvirostrata","Rhamphostomella curvirostrata","Rhamphostomella curvirostrata","Rhamphostomella curvirostrata O'Donoghue & O'Donoghue, 1923","Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Umbonulidae","Rhamphostomella","Rhamphostomella curvirostrata",146142,1795,NA,110722,110780,110836,469180,"O'Donoghue & O'Donoghue, 1923",FALSE,""
"9","Alcyonidium pedunculatum","Alcyonidium pedunculatum","species",470641,977184,4985491,2935225,"Alcyonidium pedunculatum","Alcyonidium pedunculatum","Alcyonidium pedunculatum","Alcyonidium pedunculatum Robertson, 1902","Bryozoa","Gymnolaemata",NA,"Ctenostomatida","Alcyonidiidae","Alcyonidium","Alcyonidium pedunculatum",146142,1795,NA,110723,110783,110993,470641,"Robertson, 1902",FALSE,"sibling_higher"
"10","Flustrellidra corniculata","Flustrellidra corniculata","species",111620,802871,1010326,2935163,"Flustrellidra corniculata","Flustrellidra corniculata","Flustrellidra corniculata","Flustrellidra corniculata (Smitt, 1872)","Bryozoa","Gymnolaemata",NA,"Ctenostomatida","Flustrellidridae","Flustrellidra","Flustrellidra corniculata",146142,1795,NA,110723,110789,111003,111620,"(Smitt, 1872)",FALSE,""
"11","Diaperoforma californica","Diaperoforma californica","species",472584,400041,1004077,4151142,"Diaperoforma californica","Diaperoforma californica","Diaperoforma californica","Diaperoforma californica (d'Orbigny, 1853)","Bryozoa","Stenolaemata",NA,"Cyclostomatida",NA,"Diaperoforma","Diaperoforma californica",146142,1794,NA,110724,NA,468831,472584,"(d'Orbigny, 1853)",FALSE,""
"12","Crisia maxima","Crisia maxima","species",470759,400034,4984378,2934808,"Crisia maxima","Crisia maxima","Crisia maxima","Crisia maxima Robertson, 1910","Bryozoa","Stenolaemata",NA,"Cyclostomatida","Crisiidae","Crisia","Crisia maxima",146142,1794,NA,110724,110806,111032,470759,"Robertson, 1910",FALSE,""
"13","Heteropora pacifica","Heteropora pacifica","species",718279,802870,4288803,2934895,"Heteropora pacifica","Heteropora pacifica","Heteropora pacifica","Heteropora pacifica Borg, 1933","Bryozoa","Stenolaemata",NA,"Cyclostomatida","Heteroporidae","Heteropora","Heteropora pacifica",146142,1794,NA,110724,248341,248342,718279,"Borg, 1933",FALSE,"sibling_higher"
"14","Parasagitta elegans","Parasagitta elegans","species",105440,216061,2306943,5682208,"Parasagitta elegans","Parasagitta elegans","Parasagitta elegans","Parasagitta elegans (Verrill, 1873)","Chaetognatha","Sagittoidea",NA,"Aphragmophora","Sagittidae","Parasagitta","Parasagitta elegans",2081,5949,NA,5950,5953,105408,105440,"(Verrill, 1873)",FALSE,""
"15","Pseudosagitta lyra","Pseudosagitta lyra","species",105444,216071,2307013,638060,"Pseudosagitta lyra","Pseudosagitta lyra","Pseudosagitta lyra","Pseudosagitta lyra (Krohn, 1853)","Chaetognatha","Sagittoidea",NA,"Aphragmophora","Sagittidae","Pseudosagitta","Pseudosagitta lyra",2081,5949,NA,5950,5953,105409,105444,"(Krohn, 1853)",FALSE,""
"16","Anthopleura artemisia","Anthopleura artemisia","species",283337,526158,2256847,446071,"Anthopleura artemisia","Anthopleura artemisia","Anthopleura artemisia","Anthopleura artemisia (Pickering, 1846)","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Anthopleura","Anthopleura artemisia",1267,1292,1340,1360,100653,100696,283337,"(Pickering in Dana, 1846)",FALSE,"sibling_higher"
"17","Anthopleura elegantissima","Anthopleura elegantissima","species",283347,159646,2256826,558020,"Anthopleura elegantissima","Anthopleura elegantissima","Anthopleura elegantissima","Anthopleura elegantissima (Brandt, 1835)","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Anthopleura","Anthopleura elegantissima",1267,1292,1340,1360,100653,100696,283347,"(Brandt, 1835)",FALSE,"sibling_higher"
"18","Epiactis lisbethae","Epiactis lisbethae","species",283432,526163,2256931,710715,"Epiactis lisbethae","Epiactis lisbethae","Epiactis lisbethae","Epiactis lisbethae Fautin & Chia, 1986","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Epiactis","Epiactis lisbethae",1267,1292,1340,1360,100653,100703,283432,"Fautin & Chia, 1986",FALSE,"sibling_higher"
"19","Urticina coriacea","Urticina coriacea","species",283441,33438,2256798,278340,"Urticina coriacea","Urticina coriacea","Urticina coriacea","Urticina coriacea (Cuvier, 1798)","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Urticina","Urticina coriacea",1267,1292,1340,1360,100653,100706,283441,"(Cuvier, 1798)",FALSE,"sibling_higher"
"20","Urticina lofotensis","Urticina lofotensis","species",NA,33439,4339146,278329,NA,"Urticina lofotensis","Urticina lofotensis","Urticina lofotensis (Danielssen, 1890)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"21","Stomphia didemon","Stomphia didemon","species",283473,526149,2256251,303349,"Stomphia didemon","Stomphia didemon","Stomphia didemon","Stomphia didemon Siebert, 1973","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actinostolidae","Stomphia","Stomphia didemon",1267,1292,1340,1360,100655,100716,283473,"Siebert, 1973",FALSE,""
"22","Halcampa decemtentaculata","Halcampa decemtentaculata","species",283565,592477,2257716,3674778,"Halcampa decemtentaculata","Halcampa decemtentaculata","Halcampa decemtentaculata","Halcampa decemtentaculata Hand, 1955","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Halcampidae","Halcampa","Halcampa decemtentaculata",1267,1292,1340,1360,100667,100740,283565,"Hand, 1955",FALSE,""
"23","Gersemia rubiformis","Gersemia rubiformis","species",156103,349036,2263181,463880,"Gersemia rubiformis","Gersemia rubiformis","Gersemia rubiformis","Gersemia rubiformis (Ehrenberg, 1834)","Cnidaria","Anthozoa","Octocorallia","Alcyonacea","Nephtheidae","Gersemia","Gersemia rubiformis",1267,1292,1341,1365,146762,146953,156103,"(Ehrenberg, 1834)",FALSE,""
"24","Pachycerianthus fimbriatus","Pachycerianthus fimbriatus","species",283820,526162,2258602,412664,"Pachycerianthus fimbriatus","Pachycerianthus fimbriatus","Pachycerianthus fimbriatus","Pachycerianthus fimbriatus McMurrich, 1910","Cnidaria","Anthozoa","Ceriantharia","Spirularia","Cerianthidae","Pachycerianthus","Pachycerianthus fimbriatus",1267,1292,1361,151646,100684,100783,283820,"McMurrich, 1910",FALSE,""
"25","Ptilosarcus gurneyi","Ptilosarcus gurneyi","species",290947,349039,2258713,504232,"Ptilosarcus gurneyi","Ptilosarcus gurneyi","Ptilosarcus gurneyi","Ptilosarcus gurneyi (Gray, 1860)","Cnidaria","Anthozoa","Octocorallia","Pennatulacea","Pennatulidae","Ptilosarcus","Ptilosarcus gurneyi",1267,1292,1341,1367,128484,267795,290947,"(Gray, 1860)",FALSE,""
"26","Paracyathus stearnsii","Paracyathus stearnsii","species",286830,265669,5184489,3676554,"Paracyathus stearnsii","Paracyathus stearnsii","Paracyathus stearnsii","Paracyathus stearnsii Verrill, 1869","Cnidaria","Anthozoa","Hexacorallia","Scleractinia","Caryophylliidae","Paracyathus","Paracyathus stearnsii",1267,1292,1340,1363,135073,135096,286830,"Verrill, 1869",FALSE,""
"27","Balanophyllia elegans","Balanophyllia elegans","species",NA,83468,2259665,192310,NA,"Balanophyllia elegans","Balanophyllia elegans","Balanophyllia elegans Verrill, 1864","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
