"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","order","family","genus","freshwater_only","terrestrial_only"
"1","Polygordius","Polygordius","genus",129472,156483,2318406,914158,"Polygordius","Polygordius","Polygordius","Polygordius Schneider, 1868","Annelida","Polychaeta","accepted",NA,FALSE,"hidden_inherited","Schneider, 1868","Animalia",NA,"Polygordiidae","Polygordius","0","0"
"2","Saccocirrus","Saccocirrus","genus",129550,205790,2320131,921159,"Saccocirrus","Saccocirrus","Saccocirrus","Saccocirrus Bobretzky, 1872","Annelida","Polychaeta","accepted",NA,FALSE,"","Bobretzky, 1872","Animalia",NA,"Saccocirridae","Saccocirrus","0","0"
"3","Dorvillea","Dorvillea","genus",129261,79664,2321837,989547,"Dorvillea","Dorvillea","Dorvillea","Dorvillea Parfitt, 1866","Annelida","Polychaeta","accepted",NA,FALSE,"","Parfitt, 1866","Animalia","Eunicida","Dorvilleidae","Dorvillea","0","0"
"4","Lumbrineris californiensis","Lumbrineris californiensis","species",328927,808431,2323047,4978937,"Lumbrineris californiensis","Lumbrineris californiensis","Lumbrineris californiensis","Lumbrineris californiensis Hartman, 1944","Annelida","Polychaeta","accepted",NA,FALSE,"","Hartman, 1944","Animalia","Eunicida","Lumbrineridae","Lumbrineris","0","0"
"5","Lumbrineris inflata","Lumbrineris inflata","species",130246,535665,2323155,736740,"Lumbrineris inflata","Lumbrineris inflata","Lumbrineris inflata","Lumbrineris inflata Moore, 1911","Annelida","Polychaeta","accepted",NA,FALSE,"","Moore, 1911","Animalia","Eunicida","Lumbrineridae","Lumbrineris","0","0"
"6","Lumbrineris japonica","Lumbrineris japonica","species",333891,205757,2323125,292082,"Lumbrineris japonica","Lumbrineris japonica","Lumbrineris japonica","Lumbrineris japonica Marenzeller, 1879","Annelida","Polychaeta","accepted",NA,FALSE,"","Marenzeller, 1879","Animalia","Eunicida","Lumbrineridae","Lumbrineris","0","0"
"7","Lumbrineris","Lumbrineris","genus",129337,152863,2322907,834687,"Lumbrineris","Lumbrineris","Lumbrineris","Lumbrineris Blainville, 1828","Annelida","Polychaeta","accepted",NA,FALSE,"","Blainville, 1828","Animalia","Eunicida","Lumbrineridae","Lumbrineris","0","0"
"8","Scoletoma zonata","Scoletoma zonata","species",1039075,808434,9475191,640728,"Scoletoma zonata","Lumbrineris zonata","Scoletoma zonata","Scoletoma zonata (Johnson, 1901)","Annelida","Polychaeta","accepted",NA,TRUE,"","(Johnson, 1901)","Animalia","Eunicida","Lumbrineridae","Scoletoma","0","0"
"9","Lumbrineridae","Lumbrineridae","family",967,82852,2051,310155,"Lumbrineridae","Lumbrineridae","Lumbrineridae","Lumbrineridae","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Schmarda, 1861","Animalia","Eunicida","Lumbrineridae",NA,"0","0"
"10","Arabella","Arabella","genus",129199,83439,2321744,67117,"Arabella","Arabella","Arabella","Arabella Grube, 1850","Annelida","Polychaeta","accepted",NA,FALSE,"","Grube, 1850","Animalia","Eunicida","Oenonidae","Arabella","0","0"
"11","Armandia brevis","Armandia brevis","species",333048,205793,5197476,528687,"Armandia brevis","Armandia brevis","Armandia brevis","Armandia brevis (Moore, 1906)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Moore, 1906)","Animalia",NA,"Opheliidae","Armandia","0","0"
"12","Thoracophelia mucronata","Thoracophelia mucronata","species",715865,606441,4288894,221856,"Thoracophelia mucronata","Thoracophelia mucronata","Thoracophelia mucronata","Thoracophelia mucronata (Treadwell, 1914)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Treadwell, 1914)","Animalia",NA,"Opheliidae","Thoracophelia","0","0"
"13","Paleanotus bellis","Paleanotus bellis","species",334328,786506,2312846,4983795,"Paleanotus bellis","Paleanotus bellis","Paleanotus bellis","Paleanotus bellis (Johnson, 1897)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Johnson, 1897)","Animalia","Phyllodocida","Chrysopetalidae","Paleanotus","0","0"
"14","Paleanotus","Paleanotus","genus",129238,211804,2312845,1027576,"Paleanotus","Paleanotus","Paleanotus","Paleanotus Schmarda, 1861","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Schmarda, 1861","Animalia","Phyllodocida","Chrysopetalidae","Paleanotus","0","0"
"15","Glycera americana","Glycera americana","species",157388,299356,5195524,1075178,"Glycera americana","Glycera americana","Glycera americana","Glycera americana Leidy, 1855","Annelida","Polychaeta","accepted",NA,FALSE,"","Leidy, 1855","Animalia","Phyllodocida","Glyceridae","Glycera","0","0"
"16","Glycera nana","Glycera nana","species",328132,205779,5195506,213180,"Glycera nana","Glycera nana","Glycera nana","Glycera nana Johnson, 1901","Annelida","Polychaeta","accepted",NA,FALSE,"","Johnson, 1901","Animalia","Phyllodocida","Glyceridae","Glycera","0","0"
"17","Glycera","Glycera","genus",129296,29423,5195425,941631,"Glycera","Glycera","Glycera","Glycera Lamarck, 1818","Annelida","Polychaeta","accepted",NA,FALSE,"","Lamarck, 1818","Animalia","Phyllodocida","Glyceridae","Glycera","0","0"
"18","Hemipodia","Hemipodia","genus",325818,606436,2312506,4981137,"Hemipodia","Hemipodia","Hemipodia","Hemipodia Kinberg, 1865","Annelida","Polychaeta","accepted",NA,FALSE,"","Kinberg, 1865","Animalia","Phyllodocida","Glyceridae","Hemipodia","0","0"
"19","Glycinde picta","Glycinde picta","species",240625,385905,2316504,4980701,"Glycinde picta","Glycinde picta","Glycinde picta","Glycinde picta Berkeley, 1927","Annelida","Polychaeta","accepted",NA,FALSE,"","Berkeley, 1927","Animalia","Phyllodocida","Goniadidae","Glycinde","0","0"
"20","Glycinde","Glycinde","genus",129299,204053,2316503,849193,"Glycinde","Glycinde","Glycinde","Glycinde Müller, 1858","Annelida","Polychaeta","accepted",NA,FALSE,"","Müller, 1858","Animalia","Phyllodocida","Goniadidae","Glycinde","0","0"
"21","Micropodarke dubia","Micropodarke dubia","species",334017,190361,2309270,64304,"Micropodarke dubia","Micropodarke dubia","Micropodarke dubia","Micropodarke dubia (Hessle, 1925)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Hessle, 1925)","Animalia","Phyllodocida","Hesionidae","Micropodarke","0","0"
"22","Oxydromus pugettensis","Oxydromus pugettensis","species",710706,715072,7189822,274795,"Oxydromus pugettensis","Oxydromus pugettensis","Oxydromus pugettensis","Oxydromus pugettensis (Johnson, 1901)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Johnson, 1901)","Animalia","Phyllodocida","Hesionidae","Oxydromus","0","0"
"23","Hesionidae","Hesionidae","family",946,25266,NA,151154,"Hesionidae","Hesionidae","Hesionidae",NA,"Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Grube, 1850","Animalia","Phyllodocida","Hesionidae",NA,"0","0"
"24","Alitta brandti","Alitta brandti","species",339215,889978,2316364,4981627,"Alitta brandti","Alitta brandti","Alitta brandti","Alitta brandti Malmgren, 1865","Annelida","Polychaeta","accepted",NA,FALSE,"","Malmgren, 1865","Animalia","Phyllodocida","Nereididae","Alitta","0","0"
"25","Cheilonereis cyclurus","Cheilonereis cyclurus","species",332676,198165,2315775,2537,"Cheilonereis cyclurus","Cheilonereis cyclurus","Cheilonereis cyclurus","Cheilonereis cyclurus (Harrington, 1897)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Harrington, 1897)","Animalia","Phyllodocida","Nereididae","Cheilonereis","0","0"
"26","Micronereis","Micronereis","genus",129375,198162,2315234,417889,"Micronereis","Micronereis","Micronereis","Micronereis Claparède, 1863","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Claparède, 1863","Animalia","Phyllodocida","Nereididae","Micronereis","0","0"
"27","Nereis procera","Nereis procera","species",329725,899744,5196179,4981444,"Nereis procera","Nereis procera","Nereis procera","Nereis procera Ehlers, 1868","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Ehlers, 1868","Animalia","Phyllodocida","Nereididae","Nereis","0","0"
"28","Nereis vexillosa","Nereis vexillosa","species",329765,205772,5196263,689784,"Nereis vexillosa","Nereis vexillosa","Nereis vexillosa","Nereis vexillosa Grube, 1851","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Grube, 1851","Animalia","Phyllodocida","Nereididae","Nereis","0","0"
