"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Diplostraca","Diplostraca","superorder",155670,NA,NA,220273,"Diplostraca","Diplostraca",NA,NA,"Arthropoda","accepted",NA,FALSE,"","Gerstaecker, 1866","Animalia","Branchiopoda",NA,NA,NA,"0","0"
"2","Evadne","Evadne","genus",106267,4559,2234656,1071752,"Evadne","Evadne","Evadne","Evadne Lovén, 1836","Arthropoda","accepted",NA,FALSE,"","Lovén, 1836","Animalia","Branchiopoda","Onychopoda","Podonidae","Evadne","0","0"
"3","Podon","Podon","genus",106269,4557,2234652,613771,"Podon","Podon","Podon","Podon Lilljeborg, 1853","Arthropoda","accepted",NA,FALSE,"","Lilljeborg, 1853","Animalia","Branchiopoda","Onychopoda","Podonidae","Podon","0","0"
"4","Podonidae","Podonidae","family",106264,1564,7642,613770,"Podonidae","Podonidae","Podonidae","Podonidae","Arthropoda","accepted",NA,FALSE,"","Mordukhai-Boltovskoi, 1968","Animalia","Branchiopoda","Onychopoda","Podonidae",NA,"0","0"
"5","Branchiopoda","Branchiopoda","class",1069,68,281,632175,"Branchiopoda","Branchiopoda","Branchiopoda","Branchiopoda","Arthropoda","accepted",NA,FALSE,"sibling_higher","Latreille, 1817","Animalia","Branchiopoda",NA,NA,NA,"0","0"
"6","Branchiopoda","Branchipus","genus",1150178,NA,NA,632175,"Branchipus","Branchiopoda",NA,NA,"Arthropoda","unaccepted",NA,FALSE,"sibling_higher","Schaeffer, 1766 (sensu Brendonck & Belk, 1997)","Animalia","Branchiopoda","Anostraca","Branchipodidae","Branchiopoda",NA,NA
"7","Acartia longiremis","Acartia longiremis",NA,NA,NA,NA,966235,NA,"Acartia longiremis",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"8","Aetideus divergens","Aetideus divergens","species",346076,518636,5166425,2956825,"Aetideus divergens","Aetideus divergens","Aetideus divergens","Aetideus divergens Bradford, 1971","Arthropoda","accepted",NA,FALSE,"","Bradford, 1971","Animalia","Copepoda","Calanoida","Aetideidae","Aetideus","0","0"
"9","Chiridius gracilis","Chiridius gracilis","species",104290,152170,2115197,517253,"Chiridius gracilis","Chiridius gracilis","Chiridius gracilis","Chiridius gracilis Farran, 1908","Arthropoda","accepted",NA,FALSE,"","Farran, 1908","Animalia","Copepoda","Calanoida","Aetideidae","Chiridius","0","0"
"10","Arietellus plumifer","Arietellus plumifer","species",104351,809285,2114795,2957491,"Arietellus plumifer","Arietellus plumifer","Arietellus plumifer","Arietellus plumifer Sars G.O., 1905","Arthropoda","accepted",NA,FALSE,"","Sars G.O., 1905","Animalia","Copepoda","Calanoida","Arietellidae","Arietellus","0","0"
"11","Calanus marshallae","Calanus marshallae","species",196770,31234,5166404,582314,"Calanus marshallae","Calanus marshallae","Calanus marshallae","Calanus marshallae Frost, 1974","Arthropoda","accepted",NA,FALSE,"","Frost, 1974","Animalia","Copepoda","Calanoida","Calanidae","Calanus","0","0"
"12","Calanus pacificus","Calanus pacificus","species",196771,31238,5166395,977889,"Calanus pacificus","Calanus pacificus","Calanus pacificus","Calanus pacificus Brodsky, 1948","Arthropoda","accepted",NA,FALSE,"","Brodsky, 1948","Animalia","Copepoda","Calanoida","Calanidae","Calanus","0","0"
"13","Neocalanus cristatus","Neocalanus cristatus","species",104470,24528,2114956,6062,"Neocalanus cristatus","Neocalanus cristatus","Neocalanus cristatus","Neocalanus cristatus (Krøyer, 1848)","Arthropoda","accepted",NA,FALSE,"","(Krøyer, 1848)","Animalia","Copepoda","Calanoida","Calanidae","Neocalanus","0","0"
"14","Neocalanus plumchrus","Neocalanus plumchrus","species",196772,32386,2114959,527426,"Neocalanus plumchrus","Neocalanus plumchrus","Neocalanus plumchrus","Neocalanus plumchrus (Marukawa, 1921)","Arthropoda","accepted",NA,FALSE,"","(Marukawa, 1921)","Animalia","Copepoda","Calanoida","Calanidae","Neocalanus","0","0"
