"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Evasterias troschelii","Evasterias troschelii","species",255040,32883,4305407,197640,"Evasterias troschelii","Evasterias troschelii","Evasterias troschelii","Evasterias troschelii (Stimpson, 1862)","Echinodermata","accepted",NA,FALSE,"","(Stimpson, 1862)","Animalia","Asteroidea","Forcipulatida","Asteriidae","Evasterias","0","0"
"2","Evasterias","Evasterias","genus",254332,32882,2274249,197639,"Evasterias","Evasterias","Evasterias","Evasterias Verrill, 1914","Echinodermata","accepted",NA,FALSE,"sibling_higher","Verrill, 1914","Animalia","Asteroidea","Forcipulatida","Asteriidae","Evasterias","0","0"
"3","Leptasterias","Leptasterias","genus",123222,2795,2273842,12997,"Leptasterias","Leptasterias","Leptasterias","Leptasterias Verrill, 1866","Echinodermata","accepted",NA,FALSE,"sibling_higher","Verrill, 1866","Animalia","Asteroidea","Forcipulatida","Asteriidae","Leptasterias","0","0"
"4","Orthasterias koehleri","Orthasterias koehleri","species",255048,32904,2273975,136032,"Orthasterias koehleri","Orthasterias koehleri","Orthasterias koehleri","Orthasterias koehleri (deLoriol, 1897)","Echinodermata","accepted",NA,FALSE,"","(deLoriol, 1897)","Animalia","Asteroidea","Forcipulatida","Asteriidae","Orthasterias","0","0"
"5","Pisaster brevispinus","Pisaster brevispinus","species",240757,104577,2273749,76842,"Pisaster brevispinus","Pisaster brevispinus","Pisaster brevispinus","Pisaster brevispinus (Stimpson, 1857)","Echinodermata","accepted",NA,FALSE,"","(Stimpson, 1857)","Animalia","Asteroidea","Forcipulatida","Asteriidae","Pisaster","0","0"
"6","Pisaster ochraceus","Pisaster ochraceus","species",240755,25299,2273754,76843,"Pisaster ochraceus","Pisaster ochraceus","Pisaster ochraceus","Pisaster ochraceus (Brandt, 1835)","Echinodermata","accepted",NA,FALSE,"","(Brandt, 1835)","Animalia","Asteroidea","Forcipulatida","Asteriidae","Pisaster","0","0"
"7","Pisaster","Pisaster","genus",240754,25298,2273739,76841,"Pisaster","Pisaster","Pisaster","Pisaster Müller & Troschel, 1840","Echinodermata","accepted",NA,FALSE,"sibling_higher","Müller & Troschel, 1840","Animalia","Asteroidea","Forcipulatida","Asteriidae","Pisaster","0","0"
"8","Pycnopodia helianthoides","Pycnopodia helianthoides","species",240764,82338,2274565,197638,"Pycnopodia helianthoides","Pycnopodia helianthoides","Pycnopodia helianthoides","Pycnopodia helianthoides (Brandt, 1835)","Echinodermata","accepted",NA,FALSE,"","(Brandt, 1835)","Animalia","Asteroidea","Forcipulatida","Asteriidae","Pycnopodia","0","0"
"9","Stylasterias forreri","Stylasterias forreri","species",255062,30116,2274223,136031,"Stylasterias forreri","Stylasterias forreri","Stylasterias forreri","Stylasterias forreri (deLoriol, 1887)","Echinodermata","accepted",NA,FALSE,"","(deLoriol, 1887)","Animalia","Asteroidea","Forcipulatida","Asteriidae","Stylasterias","0","0"
"10","Asteriidae","Asteriidae","family",123121,798,6009,721270,"Asteriidae","Asteriidae","Asteriidae","Asteriidae","Echinodermata","accepted",NA,FALSE,"","Gray, 1840","Animalia","Asteroidea","Forcipulatida","Asteriidae",NA,"0","0"
"11","Luidia foliolata","Luidia foliolata","species",368114,32894,2270618,258317,"Luidia foliolata","Luidia foliolata","Luidia foliolata","Luidia foliolata Grube, 1866","Echinodermata","accepted",NA,FALSE,"","Grube, 1866","Animalia","Asteroidea","Paxillosida","Luidiidae","Luidia","0","0"
"12","Henricia pumila","Henricia pumila","species",467966,266621,5187379,3656113,"Henricia pumila","Henricia pumila","Henricia pumila","Henricia pumila Eernisse, Strathmann & Strathmann, 2010","Echinodermata","accepted",NA,FALSE,"","Eernisse, Strathmann & Strathmann, 2010","Animalia","Asteroidea","Spinulosida","Echinasteridae","Henricia","0","0"
"13","Henricia","Henricia","genus",123276,99731,2272135,461250,"Henricia","Henricia","Henricia","Henricia Gray, 1840","Echinodermata","accepted",NA,FALSE,"","Gray, 1840","Animalia","Asteroidea","Spinulosida","Echinasteridae","Henricia","0","0"
"14","Echinasteridae","Echinasteridae","family",123132,99730,5541,461251,"Echinasteridae","Echinasteridae","Echinasteridae","Echinasteridae","Echinodermata","accepted",NA,FALSE,"","Verrill, 1867","Animalia","Asteroidea","Spinulosida","Echinasteridae",NA,"0","0"
"15","Patiria miniata","Patiria miniata","species",382131,166465,2272172,174354,"Patiria miniata","Patiria miniata","Patiria miniata","Patiria miniata (Brandt, 1835)","Echinodermata","accepted",NA,FALSE,"","(Brandt, 1835)","Animalia","Asteroidea","Valvatida","Asterinidae","Patiria","0","0"
"16","Dermasterias imbricata","Dermasterias imbricata","species",240771,32893,2271961,977099,"Dermasterias imbricata","Dermasterias imbricata","Dermasterias imbricata","Dermasterias imbricata (Grube, 1857)","Echinodermata","accepted",NA,FALSE,"","(Grube, 1857)","Animalia","Asteroidea","Valvatida","Asteropseidae","Dermasterias","0","0"
"17","Ceramaster","Ceramaster","genus",123291,99733,2271223,136036,"Ceramaster","Ceramaster","Ceramaster","Ceramaster Verrill, 1899","Echinodermata","accepted",NA,FALSE,"sibling_higher","Verrill, 1899","Animalia","Asteroidea","Valvatida","Goniasteridae","Ceramaster","0","0"
"18","Hippasteria spinosa","Hippasteria spinosa",NA,NA,NA,NA,658153,NA,"Hippasteria spinosa",NA,NA,"Echinodermata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"19","Mediaster aequalis","Mediaster aequalis","species",242160,13244,2271704,658159,"Mediaster aequalis","Mediaster aequalis","Mediaster aequalis","Mediaster aequalis Stimpson, 1857","Echinodermata","accepted",NA,FALSE,"","Stimpson, 1857","Animalia","Asteroidea","Valvatida","Goniasteridae","Mediaster","0","0"
"20","Crossaster papposus","Crossaster papposus","species",124154,32889,2270981,912244,"Crossaster papposus","Crossaster papposus","Crossaster papposus","Crossaster papposus (Linnaeus, 1767)","Echinodermata","accepted",NA,FALSE,"","(Linnaeus, 1767)","Animalia","Asteroidea","Valvatida","Solasteridae","Crossaster","0","0"
"21","Crossaster","Crossaster","genus",123336,32888,2270972,426293,"Crossaster","Crossaster","Crossaster","Crossaster Müller & Troschel, 1840","Echinodermata","accepted",NA,FALSE,"","Müller & Troschel, 1840","Animalia","Asteroidea","Valvatida","Solasteridae","Crossaster","0","0"
"22","Solaster dawsoni","Solaster dawsoni","species",292720,140242,2270931,258318,"Solaster dawsoni","Solaster dawsoni","Solaster dawsoni","Solaster dawsoni Verrill, 1880","Echinodermata","accepted",NA,FALSE,"","Verrill, 1880","Animalia","Asteroidea","Valvatida","Solasteridae","Solaster","0","0"
"23","Solaster endeca","Solaster endeca","species",124160,112295,2270945,24894,"Solaster endeca","Solaster endeca","Solaster endeca","Solaster endeca (Linnaeus, 1771)","Echinodermata","accepted",NA,FALSE,"","(Linnaeus, 1771)","Animalia","Asteroidea","Valvatida","Solasteridae","Solaster","0","0"
"24","Solaster stimpsoni","Solaster stimpsoni","species",292729,32891,2270954,977088,"Solaster stimpsoni","Solaster stimpsoni","Solaster stimpsoni","Solaster stimpsoni Verrill, 1880","Echinodermata","accepted",NA,FALSE,"","Verrill, 1880","Animalia","Asteroidea","Valvatida","Solasteridae","Solaster","0","0"
"25","Solaster","Solaster","genus",123338,32890,4340382,977091,"Solaster","Solaster","Solaster","Solaster Forbes, 1839","Echinodermata","accepted",NA,FALSE,"","Forbes, 1839","Animalia","Asteroidea","Valvatida","Solasteridae","Solaster","0","0"
"26","Pteraster","Pteraster","genus",123335,32896,2270728,781475,"Pteraster","Pteraster","Pteraster","Pteraster Müller & Troschel, 1842","Echinodermata","accepted",NA,FALSE,"","Müller & Troschel, 1842","Animalia","Asteroidea","Velatida","Pterasteridae","Pteraster","0","0"
"27","Asteroidea","Asteroidea","class",123080,30,214,451009,"Asteroidea","Asteroidea","Asteroidea","Asteroidea","Echinodermata","accepted",NA,FALSE,"","de Blainville, 1830","Animalia","Asteroidea",NA,NA,NA,"0","0"
"28","Florometra serratissima","Florometra serratissima","species",714272,13001,2274589,490453,"Florometra serratissima","Florometra serratissima","Florometra serratissima","Florometra serratissima (AH Clark, 1907)","Echinodermata","accepted",NA,FALSE,"","(AH Clark, 1907)","Animalia","Crinoidea","Comatulida","Antedonidae","Florometra","0","0"
"29","Crinoidea","Crinoidea","class",123081,33,215,732545,"Crinoidea","Crinoidea","Crinoidea","Crinoidea","Echinodermata","accepted",NA,FALSE,"","Miller, 1821","Animalia","Crinoidea",NA,NA,NA,"0","0"
"30","Mesocentrotus franciscanus","Mesocentrotus franciscanus","species",591102,592169,6474262,564712,"Mesocentrotus franciscanus","Mesocentrotus franciscanus","Mesocentrotus franciscanus","Mesocentrotus franciscanus (A.Agassiz, 1863)","Echinodermata","accepted",NA,FALSE,"","(A. Agassiz, 1863)","Animalia","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","0","0"
"31","Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis","species",124321,88396,2278856,43578,"Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis (O.F.Müller, 1776)","Echinodermata","accepted",NA,FALSE,"","(O.F. Müller, 1776)","Animalia","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","0","0"
"32","Strongylocentrotus purpuratus","Strongylocentrotus purpuratus","species",240747,27321,2278852,564702,"Strongylocentrotus purpuratus","Strongylocentrotus purpuratus","Strongylocentrotus purpuratus","Strongylocentrotus purpuratus (Stimpson, 1857)","Echinodermata","accepted",NA,FALSE,"","(Stimpson, 1857)","Animalia","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","0","0"
"33","Strongylocentrotus","Strongylocentrotus","genus",123390,27320,2278847,564714,"Strongylocentrotus","Strongylocentrotus","Strongylocentrotus","Strongylocentrotus Brandt, 1835","Echinodermata","accepted",NA,FALSE,"","Brandt, 1835","Animalia","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","0","0"
"34","Dendraster excentricus","Dendraster excentricus","species",513215,160338,2279084,3651304,"Dendraster excentricus","Dendraster excentricus","Dendraster excentricus","Dendraster excentricus (Eschscholtz, 1831)","Echinodermata","accepted",NA,FALSE,"","(Eschscholtz, 1831)","Animalia","Echinoidea","Echinolampadacea","Dendrasteridae","Dendraster","0","0"
"35","Brisaster latifrons","Brisaster latifrons","species",513143,99735,2279002,785954,"Brisaster latifrons","Brisaster latifrons","Brisaster latifrons","Brisaster latifrons (A.Agassiz, 1898)","Echinodermata","accepted",NA,FALSE,"","(A. Agassiz, 1898)","Animalia","Echinoidea","Spatangoida","Schizasteridae","Brisaster","0","0"
"36","Echinoidea","Echinoidea","class",123082,29,NA,669472,"Echinoidea","Echinoidea","Echinoidea",NA,"Echinodermata","accepted",NA,FALSE,"","Leske, 1778","Animalia","Echinoidea",NA,NA,NA,"0","0"
"37","Chiridota albatrossii","Chiridota albatrossii","species",528864,748191,5967180,3651882,"Chiridota albatrossii","Chiridota albatrossii","Chiridota albatrossii","Chiridota albatrossii Edwards, 1907","Echinodermata","accepted",NA,FALSE,"","Edwards, 1907","Animalia","Holothuroidea","Apodida","Chiridotidae","Chiridota","0","0"
"38","Chiridota","Chiridota","genus",123438,84382,2279458,478659,"Chiridota","Chiridota","Chiridota","Chiridota Eschscholtz, 1829","Echinodermata","accepted",NA,FALSE,"","Eschscholtz, 1829","Animalia","Holothuroidea","Apodida","Chiridotidae","Chiridota","0","0"
"39","Leptosynapta","Leptosynapta","genus",123449,160323,2279518,699712,"Leptosynapta","Leptosynapta","Leptosynapta","Leptosynapta Verrill, 1867","Echinodermata","accepted",NA,FALSE,"","Verrill, 1867","Animalia","Holothuroidea","Apodida","Synaptidae","Leptosynapta","0","0"
"40","Cucumaria miniata","Cucumaria miniata","species",225807,13327,5188234,891879,"Cucumaria miniata","Cucumaria miniata","Cucumaria miniata","Cucumaria miniata (Brandt, 1835)","Echinodermata","accepted",NA,FALSE,"sibling_higher","(Brandt, 1835)","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","0","0"
"41","Cucumaria pallida","Cucumaria pallida","species",528936,13333,5842661,569884,"Cucumaria pallida","Cucumaria pallida","Cucumaria pallida","Cucumaria pallida Kirkendale & Lambert, 1995","Echinodermata","accepted",NA,FALSE,"sibling_higher","Kirkendale & Lambert, 1995","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","0","0"
"42","Cucumaria piperata","Cucumaria piperata","species",529459,33454,5188247,174970,"Cucumaria piperata","Cucumaria piperata","Cucumaria piperata","Cucumaria piperata (Stimpson, 1864)","Echinodermata","accepted",NA,FALSE,"sibling_higher","(Stimpson, 1864)","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","0","0"
"43","Cucumaria vegae","Cucumaria vegae","species",241810,33460,5188256,174991,"Cucumaria vegae","Cucumaria vegae","Cucumaria vegae","Cucumaria vegae Théel, 1886","Echinodermata","accepted",NA,FALSE,"sibling_higher","Théel, 1886","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","0","0"
"44","Cucumaria","Cucumaria","genus",123479,2866,2279234,891878,"Cucumaria","Cucumaria","Cucumaria","Cucumaria de Blainville, 1830","Echinodermata","accepted",NA,FALSE,"sibling_higher","de Blainville, 1830","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","0","0"
"45","Pseudocnus curatus","Pseudocnus curatus","species",529629,955425,5966476,20549,"Pseudocnus curatus","Cucumaria curata","Pseudocnus curatus","Pseudocnus curatus (Cowles, 1907)","Echinodermata","accepted",NA,TRUE,"sibling_higher","(Cowles, 1907)","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae","Pseudocnus","0","0"
"46","Pseudocnus lubricus","Pseudocnus lubricus","species",529633,160326,7349891,5708318,"Pseudocnus lubricus","Pseudocnus lubrica","Pseudocnus lubricus","Pseudocnus lubricus (Clark, 1901)","Echinodermata","accepted",NA,FALSE,"hidden","(Clark, 1901)","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae","Pseudocnus","0","0"
"47","Pseudocnus","Pseudocnus","genus",123490,2862,2279299,435100,"Pseudocnus","Pseudocnus","Pseudocnus","Pseudocnus Panning, 1949","Echinodermata","accepted",NA,FALSE,"sibling_higher","Panning, 1949","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae","Pseudocnus","0","0"
"48","Pseudothyone levini","Pseudothyone levini","species",528980,748190,5966748,3652547,"Pseudothyone levini","Pseudothyone levini","Pseudothyone levini","Pseudothyone levini Lambert & Oliver, 2001","Echinodermata","accepted",NA,FALSE,"","Lambert & Oliver, 2001","Animalia","Holothuroidea","Dendrochirotida","Sclerodactylidae","Pseudothyone","0","0"
"49","Cucumariidae","Cucumariidae","family",123187,905,6184,478651,"Cucumariidae","Cucumariidae","Cucumariidae","Cucumariidae","Echinodermata","accepted",NA,FALSE,"","Ludwig, 1894","Animalia","Holothuroidea","Dendrochirotida","Cucumariidae",NA,"0","0"
"50","Pentamera pediparva","Pentamera pediparva","species",528978,297413,5842654,573254,"Pentamera pediparva","Pentamera pediparva","Pentamera pediparva","Pentamera pediparva Lambert, 1998","Echinodermata","accepted",NA,FALSE,"","Lambert, 1998","Animalia","Holothuroidea","Dendrochirotida","Phyllophoridae","Pentamera","0","0"
"51","Pentamera","Pentamera","genus",123489,33445,5430028,1011872,"Pentamera","Pentamera","Pentamera","Pentamera Ayres, 1852","Echinodermata","accepted",NA,FALSE,"sibling_higher","Ayres, 1852","Animalia","Holothuroidea","Dendrochirotida","Phyllophoridae","Pentamera","0","0"
"52","Psolus chitonoides","Psolus chitonoides","species",247772,33449,5721302,213565,"Psolus chitonoides","Psolus chitonoides","Psolus chitonoides","Psolus chitonoides Clark, 1901","Echinodermata","accepted",NA,FALSE,"sibling_higher","Clark, 1901","Animalia","Holothuroidea","Dendrochirotida","Psolidae","Psolus","0","0"
