"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Hiatella arctica","Hiatella arctica","species",140103,81256,5189537,634278,"Hiatella arctica","Hiatella arctica","Hiatella arctica","Hiatella arctica (Linnaeus, 1767)","Mollusca","accepted",NA,FALSE,"","(Linnaeus, 1767)","Animalia","Bivalvia","Adapedonta","Hiatellidae","Hiatella","0","0"
"2","Glycymeris septentrionalis","Glycymeris septentrionalis","species",504512,495418,2286273,2853550,"Glycymeris septentrionalis","Glycymeris septentrionalis","Glycymeris septentrionalis","Glycymeris septentrionalis (Middendorff, 1849)","Mollusca","accepted",NA,FALSE,"","(Middendorff, 1849)","Animalia","Bivalvia","Arcida","Glycymerididae","Glycymeris","0","0"
"3","Ciliatocardium ciliatum","Ciliatocardium ciliatum","species",139000,593195,4372532,2862344,"Ciliatocardium ciliatum","Ciliatocardium ciliatum","Ciliatocardium ciliatum","Ciliatocardium ciliatum (Fabricius, 1780)","Mollusca","accepted",NA,FALSE,"","(Fabricius, 1780)","Animalia","Bivalvia","Cardiida","Cardiidae","Ciliatocardium","0","0"
"4","Clinocardium nuttallii","Clinocardium nuttallii","species",381980,387486,2286559,661556,"Clinocardium nuttallii","Clinocardium nuttallii","Clinocardium nuttallii","Clinocardium nuttallii (Conrad, 1837)","Mollusca","accepted",NA,FALSE,"","(Conrad, 1837)","Animalia","Bivalvia","Cardiida","Cardiidae","Clinocardium","0","0"
"5","Clinocardium","Clinocardium","genus",156818,151112,2286557,71106,"Clinocardium","Clinocardium","Clinocardium","Clinocardium Keen, 1936","Mollusca","accepted",NA,FALSE,"","Keen, 1936","Animalia","Bivalvia","Cardiida","Cardiidae","Clinocardium","0","0"
"6","Cardiidae","Cardiidae","family",229,640,6858,255552,"Cardiidae","Cardiidae","Cardiidae","Cardiidae","Mollusca","accepted",NA,FALSE,"","Lamarck, 1809","Animalia","Bivalvia","Cardiida","Cardiidae",NA,"0","0"
"7","Gari","Gari","genus",138388,371324,7703694,244064,"Gari","Gari","Gari","Gari Schumacher, 1817","Mollusca","accepted",NA,FALSE,"","Schumacher, 1817","Animalia","Bivalvia","Cardiida","Psammobiidae","Gari","0","0"
"8","Nuttallia obscurata","Nuttallia obscurata","species",397157,600768,5189093,139252,"Nuttallia obscurata","Nuttallia obscurata","Nuttallia obscurata","Nuttallia obscurata (Reeve, 1857)","Mollusca","accepted",NA,FALSE,"","(Reeve, 1857)","Animalia","Bivalvia","Cardiida","Psammobiidae","Nuttallia","0","0"
"9","Psammobiidae","Psammobiidae","family",237,85191,6846,17673,"Psammobiidae","Psammobiidae","Psammobiidae","Psammobiidae","Mollusca","accepted",NA,FALSE,"","J. Fleming, 1828","Animalia","Bivalvia","Cardiida","Psammobiidae",NA,"0","0"
"10","Ameritella modesta","Ameritella modesta","species",878514,786736,8831946,7491841,"Ameritella modesta","Ameritella modesta","Ameritella modesta","Ameritella modesta (Carpenter, 1864)","Mollusca","accepted",NA,FALSE,"","(Carpenter, 1864)","Animalia","Bivalvia","Cardiida","Tellinidae","Ameritella","0","0"
