"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Bugula","Bugula","genus",110839,31582,1006263,595315,"Bugula","Bugula (genus in Opisthokonta)","Bugula","Bugula Oken, 1815","Bryozoa","accepted",NA,FALSE,"","Oken, 1815","Animalia","Gymnolaemata","Cheilostomatida","Bugulidae","Bugula","0","0"
"2","Dendrobeania longispinosa","Dendrobeania longispinosa","species",469232,981662,1006135,2936638,"Dendrobeania longispinosa","Dendrobeania longispinosa","Dendrobeania longispinosa","Dendrobeania longispinosa (Robertson, 1905)","Bryozoa","accepted",NA,FALSE,"sibling_higher","(Robertson, 1905)","Animalia","Gymnolaemata","Cheilostomatida","Bugulidae","Dendrobeania","0","0"
"3","Dendrobeania murrayana","Dendrobeania murrayana","species",111174,306785,1006148,2936634,"Dendrobeania murrayana","Dendrobeania murrayana","Dendrobeania murrayana","Dendrobeania murrayana (Bean, 1847)","Bryozoa","accepted",NA,FALSE,"sibling_higher","(Bean in Johnston, 1847)","Animalia","Gymnolaemata","Cheilostomatida","Bugulidae","Dendrobeania","0","0"
"4","Dendrobeania","Dendrobeania","genus",110842,306784,1006129,2936478,"Dendrobeania","Dendrobeania","Dendrobeania","Dendrobeania Levinsen, 1909","Bryozoa","accepted",NA,FALSE,"","Levinsen, 1909","Animalia","Gymnolaemata","Cheilostomatida","Bugulidae","Dendrobeania","0","0"
"5","Callopora horrida","Tegella horrida",NA,NA,NA,NA,2935710,NA,"Tegella horrida",NA,NA,"Bryozoa",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"6","Scrupocellaria","Scrupocellaria","genus",110866,149596,1007869,282809,"Scrupocellaria","Scrupocellaria","Scrupocellaria","Scrupocellaria van Beneden, 1845","Bryozoa","accepted",NA,FALSE,"","van Beneden, 1845","Animalia","Gymnolaemata","Cheilostomatida","Candidae","Scrupocellaria","0","0"
"7","Tricellaria ternata","Tricellaria ternata","species",111256,400071,4985069,2936139,"Tricellaria ternata","Tricellaria ternata","Tricellaria ternata","Tricellaria ternata (Ellis & Solander, 1786)","Bryozoa","accepted",NA,FALSE,"","(Ellis & Solander, 1786)","Animalia","Gymnolaemata","Cheilostomatida","Candidae","Tricellaria","0","0"
"8","Celleporina","Celleporina","genus",110875,361525,3267766,882028,"Celleporina","Celleporina","Celleporina","Celleporina Gray, 1848","Bryozoa","accepted",NA,FALSE,"","Gray, 1848","Animalia","Gymnolaemata","Cheilostomatida","Celleporidae","Celleporina","0","0"
"9","Membranipora","Membranipora","genus",110938,33144,1006457,394410,"Membranipora","Membranipora","Membranipora","Membranipora de Blainville, 1830","Bryozoa","accepted",NA,FALSE,"","de Blainville, 1830","Animalia","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","0","0"
"10","Microporina articulata","Microporina articulata","species",160496,977173,1009501,2935621,"Microporina articulata","Microporina articulata","Microporina articulata","Microporina articulata (Fabricius, 1821)","Bryozoa","accepted",NA,FALSE,"","(Fabricius, 1821)","Animalia","Gymnolaemata","Cheilostomatida","Microporidae","Microporina","0","0"
"11","Microporina","Microporina","genus",160494,802874,1009498,2935614,"Microporina","Microporina","Microporina","Microporina Levinsen, 1909","Bryozoa","accepted",NA,FALSE,"","Levinsen, 1909","Animalia","Gymnolaemata","Cheilostomatida","Microporidae","Microporina","0","0"
"12","Primavelans insculpta","Primavelans insculpta","species",472023,802873,1009372,2938719,"Primavelans insculpta","Primavelans insculpta","Primavelans insculpta","Primavelans insculpta (Hincks, 1883)","Bryozoa","accepted",NA,FALSE,"","(Hincks, 1883)","Animalia","Gymnolaemata","Cheilostomatida","Pacificincolidae","Primavelans","0","0"
"13","Phidolopora pacifica","Phidolopora pacifica","species",470149,400059,1004946,357258,"Phidolopora pacifica","Phidolopora pacifica","Phidolopora pacifica","Phidolopora pacifica (Robertson, 1908)","Bryozoa","accepted",NA,FALSE,"","(Robertson, 1908)","Animalia","Gymnolaemata","Cheilostomatida","Phidoloporidae","Phidolopora","0","0"
"14","Schizoporella","Schizoporella","genus",110975,163773,1007532,780192,"Schizoporella","Schizoporella","Schizoporella","Schizoporella Hincks, 1877","Bryozoa","accepted",NA,FALSE,"","Hincks, 1877","Animalia","Gymnolaemata","Cheilostomatida","Schizoporellidae","Schizoporella","0","0"
"15","Rhamphostomella curvirostrata","Rhamphostomella curvirostrata","species",469180,981668,1008769,2937654,"Rhamphostomella curvirostrata","Rhamphostomella curvirostrata","Rhamphostomella curvirostrata","Rhamphostomella curvirostrata O'Donoghue & O'Donoghue, 1923","Bryozoa","accepted",NA,FALSE,"","O'Donoghue & O'Donoghue, 1923","Animalia","Gymnolaemata","Cheilostomatida","Umbonulidae","Rhamphostomella","0","0"
"16","Alcyonidium pedunculatum","Alcyonidium pedunculatum","species",470641,977184,4985491,2935225,"Alcyonidium pedunculatum","Alcyonidium pedunculatum","Alcyonidium pedunculatum","Alcyonidium pedunculatum Robertson, 1902","Bryozoa","accepted",NA,FALSE,"sibling_higher","Robertson, 1902","Animalia","Gymnolaemata","Ctenostomatida","Alcyonidiidae","Alcyonidium","0","0"
"17","Alcyonidium","Alcyonidium","genus",110993,247889,2262478,619649,"Alcyonidium","Alcyonidium","Alcyonidium","Alcyonidium J.V.F.Lamouroux, 1813","Bryozoa","accepted",NA,FALSE,"","Lamouroux, 1813","Animalia","Gymnolaemata","Ctenostomatida","Alcyonidiidae","Alcyonidium","0","0"
"18","Flustrellidra corniculata","Flustrellidra corniculata","species",111620,802871,1010326,2935163,"Flustrellidra corniculata","Flustrellidra corniculata","Flustrellidra corniculata","Flustrellidra corniculata (Smitt, 1872)","Bryozoa","accepted",NA,FALSE,"","(Smitt, 1872)","Animalia","Gymnolaemata","Ctenostomatida","Flustrellidridae","Flustrellidra","0","0"
"19","Bowerbankia","Bowerbankia",NA,NA,NA,NA,401890,NA,"Bowerbankia",NA,NA,"Bryozoa",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"20","Diaperoforma californica","Diaperoforma californica","species",472584,400041,1004077,4151142,"Diaperoforma californica","Diaperoforma californica","Diaperoforma californica","Diaperoforma californica (d'Orbigny, 1853)","Bryozoa","accepted",NA,FALSE,"","(d'Orbigny, 1853)","Animalia","Stenolaemata","Cyclostomatida",NA,"Diaperoforma","0","0"
"21","Crisia maxima","Crisia maxima","species",470759,400034,4984378,2934808,"Crisia maxima","Crisia maxima","Crisia maxima","Crisia maxima Robertson, 1910","Bryozoa","accepted",NA,FALSE,"","Robertson, 1910","Animalia","Stenolaemata","Cyclostomatida","Crisiidae","Crisia","0","0"
"22","Crisia","Crisia","genus",111032,247881,1003734,561274,"Crisia","Crisia","Crisia","Crisia Lamouroux, 1812","Bryozoa","accepted",NA,FALSE,"","Lamouroux, 1812","Animalia","Stenolaemata","Cyclostomatida","Crisiidae","Crisia","0","0"
"23","Filicrisia","Filicrisia","genus",111035,400046,1003720,932886,"Filicrisia","Filicrisia","Filicrisia","Filicrisia d'Orbigny, 1853","Bryozoa","accepted",NA,FALSE,"","d'Orbigny, 1853","Animalia","Stenolaemata","Cyclostomatida","Crisiidae","Filicrisia","0","0"
"24","Crisiidae","Crisiidae","family",110806,247878,5652,932887,"Crisiidae","Crisiidae","Crisiidae","Crisiidae","Bryozoa","accepted",NA,FALSE,"sibling_higher","Johnston, 1838","Animalia","Stenolaemata","Cyclostomatida","Crisiidae",NA,"0","0"
"25","Diaperoecia","Diaperoecia","genus",248335,NA,1004123,4151143,"Diaperoecia","Diaperoecia",NA,"Diaperoecia Canu, 1918","Bryozoa","accepted",NA,FALSE,"","Canu, 1918","Animalia","Stenolaemata","Cyclostomatida","Diaperoeciidae","Diaperoecia","0","0"
"26","Heteropora pacifica","Heteropora pacifica","species",718279,802870,4288803,2934895,"Heteropora pacifica","Heteropora pacifica","Heteropora pacifica","Heteropora pacifica Borg, 1933","Bryozoa","accepted",NA,FALSE,"sibling_higher","Borg, 1933","Animalia","Stenolaemata","Cyclostomatida","Heteroporidae","Heteropora","0","0"
"27","Heteropora","Heteropora","genus",248342,657579,1004092,298457,"Heteropora","Heteropora","Heteropora","Heteropora de Blainville, 1830","Bryozoa","accepted",NA,FALSE,"sibling_higher","de Blainville, 1830","Animalia","Stenolaemata","Cyclostomatida","Heteroporidae","Heteropora","0","0"
"28","Lichenoporidae","Lichenoporidae","family",110809,247904,9589,844418,"Lichenoporidae","Lichenoporidae","Lichenoporidae","Lichenoporidae","Bryozoa","accepted",NA,FALSE,"sibling_higher","Smitt, 1867","Animalia","Stenolaemata","Cyclostomatida","Lichenoporidae",NA,"0","0"
"29","Cyclostomatida","Cyclostomatida","order",110724,247877,1497,932882,"Cyclostomatida","Cyclostomatida","Cyclostomatida","Cyclostomatida","Bryozoa","accepted",NA,FALSE,"","Busk, 1852","Animalia","Stenolaemata","Cyclostomatida",NA,NA,"0","0"
"30","Bryozoa","Bryozoa","phylum",146142,7,53,442934,"Bryozoa","Bryozoa","Bryozoa","Bryozoa","Bryozoa","accepted",NA,FALSE,"",NA,"Animalia",NA,NA,NA,NA,"0","0"
"31","Parasagitta elegans","Parasagitta elegans","species",105440,216061,2306943,5682208,"Parasagitta elegans","Parasagitta elegans","Parasagitta elegans","Parasagitta elegans (Verrill, 1873)","Chaetognatha","accepted",NA,FALSE,"","(Verrill, 1873)","Animalia","Sagittoidea","Aphragmophora","Sagittidae","Parasagitta","0","0"
"32","Pseudosagitta lyra","Pseudosagitta lyra","species",105444,216071,2307013,638060,"Pseudosagitta lyra","Pseudosagitta lyra","Pseudosagitta lyra","Pseudosagitta lyra (Krohn, 1853)","Chaetognatha","accepted",NA,FALSE,"","(Krohn, 1853)","Animalia","Sagittoidea","Aphragmophora","Sagittidae","Pseudosagitta","0","0"
"33","Anthopleura artemisia","Anthopleura artemisia","species",283337,526158,2256847,446071,"Anthopleura artemisia","Anthopleura artemisia","Anthopleura artemisia","Anthopleura artemisia (Pickering, 1846)","Cnidaria","accepted",NA,FALSE,"sibling_higher","(Pickering in Dana, 1846)","Animalia","Anthozoa","Actiniaria","Actiniidae","Anthopleura","0","0"
"34","Anthopleura elegantissima","Anthopleura elegantissima","species",283347,159646,2256826,558020,"Anthopleura elegantissima","Anthopleura elegantissima","Anthopleura elegantissima","Anthopleura elegantissima (Brandt, 1835)","Cnidaria","accepted",NA,FALSE,"sibling_higher","(Brandt, 1835)","Animalia","Anthozoa","Actiniaria","Actiniidae","Anthopleura","0","0"
"35","Epiactis lisbethae","Epiactis lisbethae","species",283432,526163,2256931,710715,"Epiactis lisbethae","Epiactis lisbethae","Epiactis lisbethae","Epiactis lisbethae Fautin & Chia, 1986","Cnidaria","accepted",NA,FALSE,"sibling_higher","Fautin & Chia, 1986","Animalia","Anthozoa","Actiniaria","Actiniidae","Epiactis","0","0"
"36","Epiactis","Epiactis","genus",100703,177403,2255932,7506594,"Epiactis","Epiactis (subgenus in genus Bunodactis (genus worms:100699))","Epiactis","Epiactis Verrill, 1869","Cnidaria","accepted",NA,FALSE,"barren","Verrill, 1869","Animalia","Anthozoa","Actiniaria","Actiniidae","Epiactis","0","0"
"37","Urticina coriacea","Urticina coriacea","species",283441,33438,2256798,278340,"Urticina coriacea","Urticina coriacea","Urticina coriacea","Urticina coriacea (Cuvier, 1798)","Cnidaria","accepted",NA,FALSE,"sibling_higher","(Cuvier, 1798)","Animalia","Anthozoa","Actiniaria","Actiniidae","Urticina","0","0"
"38","Urticina lofotensis","Urticina lofotensis",NA,NA,NA,NA,278329,NA,"Urticina lofotensis",NA,NA,"Cnidaria",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"39","Stomphia didemon","Stomphia didemon","species",283473,526149,2256251,303349,"Stomphia didemon","Stomphia didemon","Stomphia didemon","Stomphia didemon Siebert, 1973","Cnidaria","accepted",NA,FALSE,"","Siebert, 1973","Animalia","Anthozoa","Actiniaria","Actinostolidae","Stomphia","0","0"
"40","Halcampa decemtentaculata","Halcampa decemtentaculata","species",283565,592477,2257716,3674778,"Halcampa decemtentaculata","Halcampa decemtentaculata","Halcampa decemtentaculata","Halcampa decemtentaculata Hand, 1955","Cnidaria","accepted",NA,FALSE,"","Hand, 1955","Animalia","Anthozoa","Actiniaria","Halcampidae","Halcampa","0","0"
"41","Peachia","Peachia","genus",100749,592478,2255917,928745,"Peachia","Peachia","Peachia","Peachia Gosse, 1855","Cnidaria","accepted",NA,FALSE,"","Gosse, 1855","Animalia","Anthozoa","Actiniaria","Haloclavidae","Peachia","0","0"
"42","Metridium","Metridium","genus",100770,28214,2255724,558016,"Metridium","Metridium (genus in superfamily Metridioidea)","Metridium","Metridium de Blainville, 1824","Cnidaria","accepted",NA,FALSE,"","de Blainville, 1824","Animalia","Anthozoa","Actiniaria","Metridiidae","Metridium","0","0"
