"","found_taxa","rank","worms_sciname","tol_sp","ncbi_sp","approximate_match","is_synonym","flags","status","unacceptreason","valid_authority","worms_aphiaid","ncbi_uid","ott_id","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Lampetra fluviatilis","species","Lampetra fluviatilis","Lampetra fluviatilis","Lampetra fluviatilis",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",101172,"7748",801627,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","0","0"
"2","Lampetra aepyptera","species","Lampetra aepyptera","Lampetra aepyptera","Lampetra aepyptera",FALSE,FALSE,"","accepted",NA,"(Abbott, 1860)",1026288,"7752",227507,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","1","0"
"3","Lethenteron reissneri","species","Lethenteron reissneri","Lethenteron reissneri","Lethenteron reissneri",FALSE,FALSE,"","accepted",NA,"(Dybowski, 1869)",298381,"7753",227501,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Lethenteron","1",NA
"4","Mordacia mordax","species","Mordacia mordax","Mordacia mordax","Mordacia mordax",FALSE,FALSE,"","accepted",NA,"(Richardson, 1846)",281595,"7755",227490,"Petromyzonti","Petromyzontiformes","Mordaciidae","Mordacia","0","0"
"5","Petromyzon marinus","species","Petromyzon marinus","Petromyzon marinus","Petromyzon marinus",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",101174,"7757",227494,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","0","0"
"6","Eptatretus burgeri","species","Eptatretus burgeri","Eptatretus burgeri","Eptatretus burgeri",FALSE,FALSE,"","accepted",NA,"(Girard, 1855)",279272,"7764",852668,"Myxini","Myxiniformes","Myxinidae","Eptatretus","0","0"
"7","Eptatretus okinoseanus","species","Eptatretus okinoseanus","Eptatretus okinoseanus","Eptatretus okinoseanus",FALSE,FALSE,"","accepted",NA,"(Dean, 1904)",279294,"7767",852674,"Myxini","Myxiniformes","Myxinidae","Eptatretus","0","0"
"8","Myxine glutinosa","species","Myxine glutinosa","Myxine glutinosa","Myxine glutinosa",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",101170,"7769",852683,"Myxini","Myxiniformes","Myxinidae","Myxine","0","0"
"9","Raja clavata","species","Raja clavata","Raja clavata","Raja clavata",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",105883,"7781",493424,"Elasmobranchii","Rajiformes","Rajidae","Raja","0","0"
"10","Leucoraja erinacea","species","Leucoraja erinacea","Leucoraja erinacea","Leucoraja erinacea",FALSE,FALSE,"","accepted",NA,"(Mitchill, 1825)",158551,"7782",493418,"Elasmobranchii","Rajiformes","Rajidae","Leucoraja","0","0"
"11","Torpedo marmorata","species","Torpedo marmorata","Torpedo marmorata","Torpedo marmorata",FALSE,FALSE,"sibling_higher","accepted",NA,"Risso, 1810",271684,"7788",493406,"Elasmobranchii","Torpediniformes","Torpedinidae","Torpedo","0","0"
"12","Heterodontus francisci","species","Heterodontus francisci","Heterodontus francisci","Heterodontus francisci",FALSE,FALSE,"","accepted",NA,"(Girard, 1855)",276694,"7792",1019121,"Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus","0","0"
"13","Squalus acanthias","species","Squalus acanthias","Squalus acanthias","Squalus acanthias",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",105923,"7797",1019126,"Elasmobranchii","Squaliformes","Squalidae","Squalus","0","0"
"14","Squalus suckleyi","species","Squalus suckleyi","Squalus suckleyi","Squalus suckleyi",FALSE,FALSE,"","accepted",NA,"(Girard, 1855)",299224,"7798",1019106,"Elasmobranchii","Squaliformes","Squalidae","Squalus","0","0"
"15","Ginglymostoma cirratum","species","Ginglymostoma cirratum","Ginglymostoma cirratum","Ginglymostoma cirratum",FALSE,FALSE,"","accepted",NA,"(Bonnaterre, 1788)",105846,"7801",400227,"Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Ginglymostoma","0","0"
"16","Carcharhinus obscurus","species","Carcharhinus obscurus","Carcharhinus obscurus","Carcharhinus obscurus",FALSE,FALSE,"","accepted",NA,"(Lesueur, 1818)",105796,"7807",400238,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","0","0"
"17","Carcharhinus plumbeus","species","Carcharhinus plumbeus","Carcharhinus plumbeus","Carcharhinus plumbeus",FALSE,FALSE,"","accepted",NA,"(Nardo, 1827)",105797,"7808",400246,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","0","0"
"18","Carcharhinus porosus","species","Carcharhinus porosus","Carcharhinus porosus","Carcharhinus porosus",FALSE,FALSE,"","accepted",NA,"(Ranzani, 1839)",217342,"7810",976349,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","0","0"
"19","Mustelus canis","species","Mustelus canis","Mustelus canis","Mustelus canis",FALSE,FALSE,"","accepted",NA,"(Mitchill, 1815)",158518,"7812",976343,"Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","0","0"
"20","Prionace glauca","species","Prionace glauca","Prionace glauca","Prionace glauca",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",105801,"7815",361523,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","0","0"
"21","Galeocerdo cuvier","species","Galeocerdo cuvier","Galeocerdo cuvier","Galeocerdo cuvier",FALSE,FALSE,"","accepted",NA,"(Péron & Lesueur, 1822)",105799,"7819",976355,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Galeocerdo","0","0"
"22","Negaprion brevirostris","species","Negaprion brevirostris","Negaprion brevirostris","Negaprion brevirostris",FALSE,FALSE,"","accepted",NA,"(Poey, 1868)",105800,"7821",450137,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Negaprion","0","0"
"23","Sphyrna lewini","species","Sphyrna lewini","Sphyrna lewini","Sphyrna lewini",FALSE,FALSE,"","accepted",NA,"(Griffith & Smith, 1834)",105816,"7823",450134,"Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","0","0"
"24","Sphyrna tiburo","species","Sphyrna tiburo","Sphyrna tiburo","Sphyrna tiburo",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",158517,"7824",218666,"Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","0","0"
"25","Scyliorhinus canicula","species","Scyliorhinus canicula","Scyliorhinus canicula","Scyliorhinus canicula",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",105814,"7830",1026500,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","0","0"
"26","Echinorhinus cookei","species","Echinorhinus cookei","Echinorhinus cookei","Echinorhinus cookei",FALSE,FALSE,"","accepted",NA,"Pietschmann, 1928",271656,"7834",1026510,"Elasmobranchii","Echinorhiniformes","Echinorhinidae","Echinorhinus","0","0"
"27","Isurus paucus","species","Isurus paucus","Isurus paucus","Isurus paucus",FALSE,FALSE,"","accepted",NA,"Guitart, 1966",105840,"7847",500598,"Elasmobranchii","Lamniformes","Lamnidae","Isurus","0","0"
"28","Lamna nasus","species","Lamna nasus","Lamna nasus","Lamna nasus",FALSE,FALSE,"","accepted",NA,"(Bonnaterre, 1788)",105841,"7849",500593,"Elasmobranchii","Lamniformes","Lamnidae","Lamna","0","0"
"29","Alopias vulpinus","species","Alopias vulpinus","Alopias vulpinus","Alopias vulpinus",FALSE,FALSE,"","accepted",NA,"(Bonnaterre, 1788)",105836,"7852",1077204,"Elasmobranchii","Lamniformes","Alopiidae","Alopias","0","0"
"30","Notorynchus cepedianus","species","Notorynchus cepedianus","Notorynchus cepedianus","Notorynchus cepedianus",FALSE,FALSE,"","accepted",NA,"(Péron, 1807)",217628,"7857",290409,"Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","0","0"
"31","Pseudobatos lentiginosus","species","Pseudobatos lentiginosus","Pseudobatos lentiginosus","Pseudobatos lentiginosus",FALSE,FALSE,"","accepted",NA,"(Garman, 1880)",1043479,"7862",550653,"Elasmobranchii","Rhinopristiformes","Rhinobatidae","Pseudobatos","0","0"
"32","Callorhinchus callorynchus","species","Callorhinchus callorynchus","Callorhinchus callorynchus","Callorhinchus callorynchus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",278468,"7867",550636,"Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","0","0"
"33","Callorhinchus milii","species","Callorhinchus milii","Callorhinchus milii","Callorhinchus milii",FALSE,FALSE,"","accepted",NA,"Bory de Saint-Vincent, 1823",278469,"7868",550662,"Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","0","0"
"34","Chimaera monstrosa","species","Chimaera monstrosa","Chimaera monstrosa","Chimaera monstrosa",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",105824,"7871",29489,"Holocephali","Chimaeriformes","Chimaeridae","Chimaera","0","0"
"35","Hydrolagus colliei","species","Hydrolagus colliei","Hydrolagus colliei","Hydrolagus colliei",FALSE,FALSE,"extinct_inherited, incertae_sedis","accepted",NA,"(Lay & Bennett, 1839)",271406,"7873",29493,"Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","0","0"
"36","Lepidosiren paradoxa","species","Lepidosiren paradoxa","Lepidosiren paradoxa","Lepidosiren paradoxa",FALSE,FALSE,"","accepted",NA,"Fitzinger, 1837",1019375,"7883",199346,"Dipneusti","Ceratodontiformes","Lepidosirenidae","Lepidosiren","1","0"
"37","Protopterus aethiopicus","species","Protopterus aethiopicus","Protopterus aethiopicus","Protopterus aethiopicus",FALSE,FALSE,"","accepted",NA,"Heckel, 1851",1021560,"7886",199355,"Dipneusti","Ceratodontiformes","Protopteridae","Protopterus","1","0"
"38","Protopterus","genus","Protopterus","Protopterus","Protopterus",FALSE,FALSE,"","accepted",NA,"Owen, 1839",270544,"7887",199350,"Dipneusti","Ceratodontiformes","Protopteridae","Protopterus","1","0"
"39","Protopterus annectens","species","Protopterus annectens","Protopterus annectens","Protopterus annectens",FALSE,FALSE,"","accepted",NA,"(Owen, 1839)",1021564,"7888",199334,"Dipneusti","Ceratodontiformes","Protopteridae","Protopterus","1","0"
"40","Neoceratodus forsteri","species","Neoceratodus forsteri","Neoceratodus forsteri","Neoceratodus forsteri",FALSE,FALSE,"","accepted",NA,"(Krefft, 1870)",1421405,"7892",773500,"Dipneusti","Ceratodontiformes","Neoceratodontidae","Neoceratodus","1","1"
"41","Latimeria chalumnae","species","Latimeria chalumnae","Latimeria chalumnae","Latimeria chalumnae",FALSE,FALSE,"extinct_inherited, incertae_sedis","accepted",NA,"Smith, 1939",217438,"7897",773491,"Coelacanthi","Coelacanthiformes","Latimeriidae","Latimeria","0","0"
"42","Acipenser gueldenstaedtii","species","Acipenser gueldenstaedtii","Acipenser gueldenstaedtii","Acipenser gueldenstaedtii",FALSE,FALSE,"","accepted",NA,"Brandt & Ratzeburg, 1833",126275,"7902",378912,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"43","Acipenser stellatus","species","Acipenser stellatus","Acipenser stellatus","Acipenser stellatus",FALSE,FALSE,"","accepted",NA,"Pallas, 1771",126278,"7903",378920,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"44","Acipenser transmontanus","species","Acipenser transmontanus","Acipenser transmontanus","Acipenser transmontanus",FALSE,FALSE,"","accepted",NA,"Richardson, 1836",238345,"7904",378925,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"45","Acipenser ruthenus","species","Acipenser ruthenus","Acipenser ruthenus","Acipenser ruthenus",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",233941,"7906",378930,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"46","Acipenser brevirostrum","species","Acipenser brevirostrum","Acipenser brevirostrum","Acipenser brevirostrum",FALSE,FALSE,"","accepted",NA,"Lesueur, 1818",157869,"7907",82746,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"47","Acipenser medirostris","species","Acipenser medirostris","Acipenser medirostris","Acipenser medirostris",FALSE,FALSE,"","accepted",NA,"Ayres, 1854",271695,"7908",378900,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"48","Scaphirhynchus platorynchus","species","Scaphirhynchus platorynchus","Scaphirhynchus platorynchus","Scaphirhynchus platorynchus",FALSE,FALSE,"","accepted",NA,"(Rafinesque, 1820)",1022840,"7910",904110,"Actinopteri","Acipenseriformes","Acipenseridae","Scaphirhynchus","1","0"
"49","Polyodon spathula","species","Polyodon spathula","Polyodon spathula","Polyodon spathula",FALSE,FALSE,"","accepted",NA,"(Walbaum, 1792)",994653,"7913",904101,"Actinopteri","Acipenseriformes","Polyodontidae","Polyodon","1","0"
