"","ncbi_sp","original_aphiaid","worms_match","status","ncbi_uid","worms_sciname","worms_aphiaid","unacceptreason","rank","valid_authority","class","order","family","genus","freshwater_only","terrestrial_only","found_taxa"
"1","Luciogobius",269746,"Luciogobius","accepted","3056946","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"2","Luciogobius",269746,"Luciogobius","accepted","2996055","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"3","Luciogobius",269746,"Luciogobius","accepted","2768217","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"4","Luciogobius",269746,"Luciogobius","accepted","2768213","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"5","Luciogobius",269746,"Luciogobius","accepted","2768214","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"6","Luciogobius",269746,"Luciogobius","accepted","2768219","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"7","Luciogobius",269746,"Luciogobius","accepted","2768220","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"8","Luciogobius",269746,"Luciogobius","accepted","2768218","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"9","Luciogobius",269746,"Luciogobius","accepted","2768215","Luciogobius",269746,NA,"genus","Gill, 1859","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0","Luciogobius"
"10","Rineloricaria",270761,"Rineloricaria","accepted","1748087","Rineloricaria",270761,NA,"genus","Bleeker, 1862","Teleostei","Siluriformes","Loricariidae","Rineloricaria","1","0","Rineloricaria"
"11","Rineloricaria",270761,"Rineloricaria","accepted","1748085","Rineloricaria",270761,NA,"genus","Bleeker, 1862","Teleostei","Siluriformes","Loricariidae","Rineloricaria","1","0","Rineloricaria"
