"","ncbi_uid","ncbi_sp","genus"
"1","3062245","Platycaranx chrysophrys","Platycaranx"
"2","3040459","Scyris indica","Scyris"
"3","3040461","Turrum gymnostethus","Turrum"
"4","3040460","Turrum fulvoguttatum","Turrum"
"5","3040453","Craterognathus plagiotaenia","Craterognathus"
"6","1431480","Brephamia parvula","Brephamia"
"7","228250","Coreopercaheadi","Coreopercaheadi"
"8","2057078","Trichosomus trachinoides","Trichosomus"
"9","662065","Cubicepsleggii","Cubicepsleggii"
"10","1828438","Plectranthiasensis","Plectranthiasensis"
"11","185887","Neochirus brachypterus","Neochirus"
"12","1562383","Polyperai","Polyperai"
"13","109692","Chaetodontus","Chaetodontus"
"14","3046617","Plectrogenium kamoharai","Plectrogenium"
"15","1522387","Myripristisfieldi","Myripristisfieldi"
"16","2842239","Insidiator macracanthus","Insidiator"
"17","2507728","Eleutherochir mccaddeni","Eleutherochir"
"18","1735002","Cambeva davisi","Cambeva"
"19","1343681","Gymnothoraxeni","Gymnothoraxeni"
"20","314234","Himantolophusus","Himantolophusus"
"21","941695","Ophthalmolebias bokermanni","Ophthalmolebias"
"22","451745","Nematolebiasi","Nematolebiasi"
"23","2793285","Ophichthys cuchia","Ophichthys"
"24","2608461","Pseudoscopelusanus","Pseudoscopelusanus"
"25","2497544","Acantopsisspot","Acantopsisspot"
"26","2497543","Acantopsisspot","Acantopsisspot"
"27","457506","Aperioptus gracilentus","Aperioptus"
"28","2507738","Microdous chalmersi","Microdous"
"29","109292","Hippocampusi","Hippocampusi"
"30","2050941","Cambeva brachykechenos","Cambeva"
"31","60299","Aphyosemionekampi","Aphyosemionekampi"
"32","60296","Iconisemion striatum","Iconisemion"
"33","1817958","Aperioptus gracilis","Aperioptus"
"34","1527624","Arrhamphus sclerolepis kreftii","Arrhamphus"
"35","986108","Perciformes GBa","Perciformes"
"36","3036764","Salariopsis fluviatilis","Salariopsis"
"37","521024","Etrumeusheadi","Etrumeusheadi"
"38","2830787","Rhyacoglanis pulcher","Rhyacoglanis"
"39","417470","Scolichthyswayi","Scolichthyswayi"
"40","657187","gynogenetic Carassius auratus red","gynogenetic"
"41","327706","Oreinus rotundimaxillaris","Oreinus"
"42","327705","Oreinus meridionalis","Oreinus"
"43","369652","Oreinus myzostomus","Oreinus"
"44","1046068","Notropisei","Notropisei"
"45","3040456","Flavocaranx bajad","Flavocaranx"
"46","3039454","Nemacheilidaen","Nemacheilidaen"
"47","2936623","Psedoliparis","Psedoliparis"
"48","2926449","Eonemachilus longidorsalis","Eonemachilus"
"49","327707","Oreinus dulongensis","Oreinus"
"50","1897788","Prolixicheilus longisulcus","Prolixicheilus"
"51","643446","Incisilabeo behri","Incisilabeo"
"52","400010","Tariqlabeo bicornis","Tariqlabeo"
"53","887870","Ageneiogarra imberba","Ageneiogarra"
"54","1527459","Paraneetroplus synspilus x Amphilophus citrinellus","Paraneetroplus"
"55","756765","diploid Xenocypris davidi x Megalobrama amblycephala","diploid"
"56","743960","Oreochromistilapia","Oreochromistilapia"
"57","747041","triploid Megalobrama amblycephala x Xenocypris davidi","triploid"
"58","747040","diploid Megalobrama amblycephala x Xenocypris davidi","diploid"
"59","2019944","Neoplecostominin","Neoplecostominin"
"60","164001","Aphanotorulus emarginatus","Aphanotorulus"
"61","702379","Tropheopscheek","Tropheopscheek"
