accession,taxa_verbatim,found_taxa,rank,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only
MT951653,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951664,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951660,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951650,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951669,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951658,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951661,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951651,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951652,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951663,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951642,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951659,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951649,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951713,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951657,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951646,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951667,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951655,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951662,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951648,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951656,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951666,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951647,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951707,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951708,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951644,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951665,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951670,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951654,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951672,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951668,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951684,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951671,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951673,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951643,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951677,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951674,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951676,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951678,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951679,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951680,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951675,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951683,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951681,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951682,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951685,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
JX846960,Acartia californiensis,Acartia (Acanthacartia) californiensis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951688,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
