"","species","scientificname","rank","kingdom","phylum","order","family","genus","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","class"
"1","Eptatretus deani","Eptatretus deani (Evermann & Goldsborough, 1907)","species","Animalia","Chordata","Myxiniformes","Myxinidae","Eptatretus",1,44,119,766,5870,2498592,2498600,"Myxini"
"2","Eptatretus fritzi","Eptatretus fritzi Wisner & McMillan, 1990","species","Animalia","Chordata","Myxiniformes","Myxinidae","Eptatretus",1,44,119,766,5870,2498592,2498631,"Myxini"
"3","Eptatretus mcconnaugheyi","Eptatretus mcconnaugheyi Wisner & McMillan, 1990","species","Animalia","Chordata","Myxiniformes","Myxinidae","Eptatretus",1,44,119,766,5870,2498592,2498596,"Myxini"
"4","Eptatretus stoutii","Eptatretus stoutii (Lockington, 1878)","species","Animalia","Chordata","Myxiniformes","Myxinidae","Eptatretus",1,44,119,766,5870,2498592,2498646,"Myxini"
"5","Myxine circifrons","Myxine circifrons Garman, 1899","species","Animalia","Chordata","Myxiniformes","Myxinidae","Myxine",1,44,119,766,5870,2498655,2498686,"Myxini"
"6","Myxine hubbsi","Myxine hubbsi Wisner & McMillan, 1995","species","Animalia","Chordata","Myxiniformes","Myxinidae","Myxine",1,44,119,766,5870,2498655,2498663,"Myxini"
"7","Entosphenus tridentatus","Entosphenus tridentatus (Richardson, 1836)","species","Animalia","Chordata","Petromyzontiformes","Petromyzontidae","Entosphenus",1,44,239,771,2212,2421236,2421422,"Cephalaspidomorphi"
"8","Lampetra ayresii","Lampetra ayresii (Günther, 1870)","species","Animalia","Chordata","Petromyzontiformes","Petromyzontidae","Lampetra",1,44,239,771,2212,2421329,5216497,"Cephalaspidomorphi"
"9","Lethenteron camtschaticum","Lethenteron camtschaticum (Tilesius, 1811)","species","Animalia","Chordata","Petromyzontiformes","Petromyzontidae","Lethenteron",1,44,239,771,2212,2421216,2421341,"Cephalaspidomorphi"
"10","Lethenteron kessleri","Lethenteron kessleri (Anikin, 1905)","species","Animalia","Chordata","Petromyzontiformes","Petromyzontidae","Lethenteron",1,44,239,771,2212,2421216,2421222,"Cephalaspidomorphi"
"11","Harriotta raleighana","Harriotta raleighana Goode & Bean, 1895","species","Animalia","Chordata","Chimaeriformes","Rhinochimaeridae","Harriotta",1,44,120,880,2180,2417429,2417430,"Holocephali"
"12","Harriotta haeckeli","Harriotta haeckeli Karrer, 1972","species","Animalia","Chordata","Chimaeriformes","Rhinochimaeridae","Harriotta",1,44,120,880,2180,2417429,2417435,"Holocephali"
"13","Hydrolagus colliei","Hydrolagus colliei (Lay & Bennett, 1839)","species","Animalia","Chordata","Chimaeriformes","Chimaeridae","Hydrolagus",1,44,120,880,2181,2417351,5215461,"Holocephali"
"14","Hydrolagus melanophasma","Hydrolagus melanophasma James, Ebert, Long & Didier, 2009","species","Animalia","Chordata","Chimaeriformes","Chimaeridae","Hydrolagus",1,44,120,880,2181,2417351,5215450,"Holocephali"
"15","Hydrolagus trolli","Hydrolagus trolli Didier & Séret, 2002","species","Animalia","Chordata","Chimaeriformes","Chimaeridae","Hydrolagus",1,44,120,880,2181,2417351,5215467,"Holocephali"
"16","Heterodontus francisci","Heterodontus francisci (Girard, 1855)","species","Animalia","Chordata","Heterodontiformes","Heterodontidae","Heterodontus",1,44,121,886,5890,2418859,5215678,"Elasmobranchii"
"17","Heterodontus mexicanus","Heterodontus mexicanus Taylor & Castro-Aguirre, 1972","species","Animalia","Chordata","Heterodontiformes","Heterodontidae","Heterodontus",1,44,121,886,5890,2418859,5215668,"Elasmobranchii"
"18","Ginglymostoma unami","Ginglymostoma unami Del Moral-Flores, Ramíz-Antonio, Angulo & Pérez-Ponce de León, 2015","species","Animalia","Chordata","Orectolobiformes","Ginglymostomatidae","Ginglymostoma",1,44,121,769,2201,2417509,9346494,"Elasmobranchii"
"19","Ginglymostoma cirratum","Ginglymostoma cirratum (Bonnaterre, 1788)","species","Animalia","Chordata","Orectolobiformes","Ginglymostomatidae","Ginglymostoma",1,44,121,769,2201,2417509,2417495,"Elasmobranchii"
"20","Rhincodon typus","Rhincodon typus Smith, 1828","species","Animalia","Chordata","Orectolobiformes","Rhincodontidae","Rhincodon",1,44,121,769,2198,2417521,2417522,"Elasmobranchii"
"21","Odontaspis ferox","Odontaspis ferox (Risso, 1810)","species","Animalia","Chordata","Lamniformes","Odontaspididae","Odontaspis",1,44,121,885,2202,2418250,2420764,"Elasmobranchii"
"22","Mitsukurina owstoni","Mitsukurina owstoni Jordan, 1898","species","Animalia","Chordata","Lamniformes","Mitsukurinidae","Mitsukurina",1,44,121,885,5886,2420636,2420637,"Elasmobranchii"
"23","Pseudocarcharias kamoharai","Pseudocarcharias kamoharai (Matsubara, 1936)","species","Animalia","Chordata","Lamniformes","Pseudocarchariidae","Pseudocarcharias",1,44,121,885,5885,2420710,2420711,"Elasmobranchii"
"24","Megachasma pelagios","Megachasma pelagios Taylor, Compagno & Struhsaker, 1983","species","Animalia","Chordata","Lamniformes","Megachasmidae","Megachasma",1,44,121,885,5887,2420717,2420718,"Elasmobranchii"
"25","Alopias pelagicus","Alopias pelagicus Nakamura, 1935","species","Animalia","Chordata","Lamniformes","Alopiidae","Alopias",1,44,121,885,2203,2420796,2420809,"Elasmobranchii"
"26","Alopias superciliosus","Alopias superciliosus Lowe, 1841","species","Animalia","Chordata","Lamniformes","Alopiidae","Alopias",1,44,121,885,2203,2420796,2420813,"Elasmobranchii"
"27","Alopias vulpinus","Alopias vulpinus (Bonnaterre, 1788)","species","Animalia","Chordata","Lamniformes","Alopiidae","Alopias",1,44,121,885,2203,2420796,2420797,"Elasmobranchii"
"28","Cetorhinus maximus","Cetorhinus maximus (Gunnerus, 1765)","species","Animalia","Chordata","Lamniformes","Cetorhinidae","Cetorhinus",1,44,121,885,5889,2420725,2420726,"Elasmobranchii"
"29","Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","species","Animalia","Chordata","Lamniformes","Lamnidae","Carcharodon",1,44,121,885,5888,2420693,2420694,"Elasmobranchii"
"30","Isurus oxyrinchus","Isurus oxyrinchus Rafinesque, 1810","species","Animalia","Chordata","Lamniformes","Lamnidae","Isurus",1,44,121,885,5888,2420665,5216248,"Elasmobranchii"
"31","Isurus paucus","Isurus paucus Guitart, 1966","species","Animalia","Chordata","Lamniformes","Lamnidae","Isurus",1,44,121,885,5888,2420665,5216258,"Elasmobranchii"
"32","Lamna ditropis","Lamna ditropis Hubbs & Follett, 1947","species","Animalia","Chordata","Lamniformes","Lamnidae","Lamna",1,44,121,885,5888,2418232,5216246,"Elasmobranchii"
"33","Apristurus brunneus","Apristurus brunneus (Gilbert, 1892)","species","Animalia","Chordata","Carcharhiniformes","Scyliorhinidae","Apristurus",1,44,121,887,2208,2418416,2418465,"Elasmobranchii"
"34","Apristurus kampae","Apristurus kampae Taylor, 1972","species","Animalia","Chordata","Carcharhiniformes","Scyliorhinidae","Apristurus",1,44,121,887,2208,2418416,2418423,"Elasmobranchii"
"35","Cephaloscyllium ventriosum","Cephaloscyllium ventriosum (Garman, 1880)","species","Animalia","Chordata","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium",1,44,121,887,2208,2418612,2418636,"Elasmobranchii"
"36","Cephalurus cephalus","Cephalurus cephalus (Gilbert, 1892)","species","Animalia","Chordata","Carcharhiniformes","Scyliorhinidae","Cephalurus",1,44,121,887,2208,2418598,2418599,"Elasmobranchii"
"37","Parmaturus xaniurus","Parmaturus xaniurus (Gilbert, 1892)","species","Animalia","Chordata","Carcharhiniformes","Scyliorhinidae","Parmaturus",1,44,121,887,2208,2418486,2418502,"Elasmobranchii"
"38","Galeorhinus galeus","Galeorhinus galeus (Linnaeus, 1758)","species","Animalia","Chordata","Carcharhiniformes","Triakidae","Galeorhinus",1,44,121,887,2206,2418258,2418259,"Elasmobranchii"
"39","Mustelus albipinnis","Mustelus albipinnis Castro-Aguirre, Antuna-Mendiola, González-Acosta & de la Cruz-Agüero, 2005","species","Animalia","Chordata","Carcharhiniformes","Triakidae","Mustelus",1,44,121,887,2206,9530947,2418342,"Elasmobranchii"
"40","Mustelus californicus","Mustelus californicus Gill, 1864","species","Animalia","Chordata","Carcharhiniformes","Triakidae","Mustelus",1,44,121,887,2206,9530947,2418341,"Elasmobranchii"
"41","Mustelus henlei","Mustelus henlei (Gill, 1863)","species","Animalia","Chordata","Carcharhiniformes","Triakidae","Mustelus",1,44,121,887,2206,9530947,2418357,"Elasmobranchii"
"42","Mustelus lunulatus","Mustelus lunulatus Jordan & Gilbert, 1882","species","Animalia","Chordata","Carcharhiniformes","Triakidae","Mustelus",1,44,121,887,2206,9530947,2418365,"Elasmobranchii"
"43","Triakis semifasciata","Triakis semifasciata Girard, 1855","species","Animalia","Chordata","Carcharhiniformes","Triakidae","Triakis",1,44,121,887,2206,2418368,2418369,"Elasmobranchii"
"44","Carcharhinus albimarginatus","Carcharhinus albimarginatus (Rüppell, 1837)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2418003,"Elasmobranchii"
"45","Carcharhinus altimus","Carcharhinus altimus (Springer, 1950)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2418002,"Elasmobranchii"
"46","Carcharhinus brachyurus","Carcharhinus brachyurus (Günther, 1870)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2418173,"Elasmobranchii"
"47","Carcharhinus cerdale","Carcharhinus cerdale Gilbert, 1898","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2418163,"Elasmobranchii"
