"","kingdom","phylum","class","order","family","genus","species","kingdom_id","phylum_id","class_id","order_id","family_id","genus_id","species_id","subspecies","subspecies_id","query"
"1","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis vulsa","1","44","204","590","8617","2337232","5201655",NA,NA,"5201655"
"2","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Podothecus","Podothecus accipenserinus","1","44","204","590","8617","2337127","2337129",NA,NA,"2337129"
"3","Animalia","Chordata","Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","1","44","204","497","7178","2401689","2401692",NA,NA,"2401692"
"4","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Lumpenopsis","Lumpenopsis hypochroma","1","44","204","587","8598","2394990","2394997",NA,NA,"2394997"
"5","Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus","1","44","204","1068","8480","2410864","2410865",NA,NA,"2410865"
"6","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus","1","44","121","885","2203","2420796","2420797",NA,NA,"2420797"
"7","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima","1","44","204","538","7332","2412615","2412661",NA,NA,"2412661"
"8","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","1","44","204","587","8487","2389989","2389995",NA,NA,"2389995"
"9","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","Amphistichus koelzi","1","44","204","587","4269","2389247","2389258",NA,NA,"2389258"
"10","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","Amphistichus rhodoterus","1","44","204","587","4269","2389247","2389252",NA,NA,"2389252"
"11","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Anoplagonus","Anoplagonus inermis","1","44","204","590","8617","2337169","2337170",NA,NA,"2337170"
"12","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Anoplarchus","Anoplarchus insignis","1","44","204","587","8598","2394913","2394916",NA,NA,"2394916"
"13","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Anoplarchus","Anoplarchus purpurescens","1","44","204","587","8598","2394913","2394914",NA,NA,"2394914"
"14","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","1","44","204","590","5090","2335061","2335062",NA,NA,"2335062"
"15","Animalia","Chordata","Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus","Anotopterus pharao","1","44","204","497","2960","2401107","2401111",NA,NA,"2401111"
"16","Animalia","Chordata","Actinopterygii","Gadiformes","Moridae","Antimora","Antimora microlepis","1","44","204","549","3704","2417114","2417122",NA,NA,"2417122"
"17","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Apodichthys","Apodichthys flavidus","1","44","204","587","8576","2390387","2390392",NA,NA,"2390392"
"18","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cyclopteridae","Aptocyclus","Aptocyclus ventricosus","1","44","204","590","8623","2336802","2336803",NA,NA,"2336803"
"19","Animalia","Chordata","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus lychnus","1","44","204","774","2226","2347565","2347575",NA,NA,"2347575"
"20","Animalia","Chordata","Actinopterygii","Stomiiformes","Stomiidae","Aristostomias","Aristostomias scintillans","1","44","204","774","2225","5203188","5203192",NA,NA,"5203192"
"21","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","Artedius fenestralis","1","44","204","590","8621","2333960","2333969",NA,NA,"2333969"
"22","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","Artedius harringtoni","1","44","204","590","8621","2333960","2333963",NA,NA,"2333963"
"23","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","Artedius lateralis","1","44","204","590","8621","2333960","2333966",NA,NA,"2333966"
"24","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Ruscarius","Ruscarius meanyi","1","44","204","590","8621","2333928","2333929",NA,NA,"2333929"
"25","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Ascelichthys","Ascelichthys rhodorus","1","44","204","590","8621","2334020","2334021",NA,NA,"2334021"
"26","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Asemichthys","Asemichthys taylori","1","44","204","590","8621","2333989","2333756",NA,NA,"2333756"
"27","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus","Bathyagonus alascanus","1","44","204","590","8617","2337084","2337090",NA,NA,"2337090"
"28","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus","Bathyagonus infraspinatus","1","44","204","590","8617","2337084","2337085",NA,NA,"2337085"
"29","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus","Bathyagonus pentacanthus","1","44","204","590","8617","2337084","2337095",NA,NA,"2337095"
"30","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops","Atherinops affinis","1","44","204","496","2957","2412418","2412419",NA,NA,"2412419"
"31","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","Aulorhynchus flavidus","1","44","204","550","3705","2356480","2356481",NA,NA,"2356481"
"32","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus","Bathyagonus nigripinnis","1","44","204","590","8617","2337084","2337089",NA,NA,"2337089"
"33","Animalia","Chordata","Actinopterygii","Osmeriformes","Bathylagidae","Pseudobathylagus","Pseudobathylagus milleri","1","44","204","1068","4223","2410962","2410963",NA,NA,"2410963"
"34","Animalia","Chordata","Actinopterygii","Osmeriformes","Bathylagidae","Lipolagus","Lipolagus ochotensis","1","44","204","1068","4223","2410939","2410940",NA,NA,"2410940"
"35","Animalia","Chordata","Actinopterygii","Osmeriformes","Bathylagidae","Bathylagus","Bathylagus pacificus","1","44","204","1068","4223","2410966","2410970",NA,NA,"2410970"
"36","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymaster","Bathymaster signatus","1","44","204","587","8507","2394452","2394455",NA,NA,"2394455"
"37","Animalia","Chordata","Actinopterygii","Aulopiformes","Scopelarchidae","Benthalbella","Benthalbella dentata","1","44","204","497","2966","2401431","2401437",NA,NA,"2401437"
"38","Animalia","Chordata","Actinopterygii","Perciformes","Trichiuridae","Benthodesmus","Benthodesmus simonyi","1","44","204","587","8600","2389329","2389330",NA,NA,"2389330"
"39","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hemitripteridae","Blepsias","Blepsias bilobus","1","44","204","590","5097","2335094","2335099",NA,NA,"2335099"
"40","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hemitripteridae","Blepsias","Blepsias cirrhosus","1","44","204","590","5097","2335094","2335095",NA,NA,"2335095"
"41","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Bothragonus","Bothragonus swanii","1","44","204","590","8617","2337157","2337158",NA,NA,"2337158"
"42","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","Brachyistius frenatus","1","44","204","587","4269","2389274","2389277",NA,NA,"2389277"
"43","Animalia","Chordata","Actinopterygii","Perciformes","Bramidae","Brama","Brama japonica","1","44","204","587","8508","5208069","5208088",NA,NA,"5208088"
"44","Animalia","Chordata","Actinopterygii","Ophidiiformes","Bythitidae","Brosmophycis","Brosmophycis marginata","1","44","204","1308","4220","2346158","2346159",NA,NA,"2346159"
"45","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Bryozoichthys","Bryozoichthys marjorius","1","44","204","587","8598","2394863","2394866",NA,NA,"2394866"
"46","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon","Carcharodon carcharias","1","44","121","885","5888","2420693","2420694",NA,NA,"2420694"
"47","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","Careproctus ovigerus","1","44","204","590","8627","2336138","2336152",NA,NA,"2336152"
"48","Animalia","Chordata","Actinopterygii","Perciformes","Caristiidae","Caristius","Caristius macropus","1","44","204","587","4254","2392036","2392038",NA,NA,"2392038"
"49","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","Caulolatilus princeps","1","44","204","587","8543","2389834","2389841",NA,NA,"2389841"
"50","Animalia","Chordata","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus townsendi","1","44","204","1306","4217","2406032","2406036",NA,NA,"2406036"
"51","Animalia","Chordata","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus","1","44","121","885","5889","2420725","2420726",NA,NA,"2420726"
"52","Animalia","Chordata","Actinopterygii","Lophiiformes","Oneirodidae","Chaenophryne","Chaenophryne draco","1","44","204","1305","4216","2414720","2414731",NA,NA,"2414731"
"53","Animalia","Chordata","Actinopterygii","Stomiiformes","Stomiidae","Chauliodus","Chauliodus macouni","1","44","204","774","2225","2347175","5203199",NA,NA,"5203199"
"54","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","Chirolophis decoratus","1","44","204","587","8598","2394935","2394964",NA,NA,"2394964"
"55","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","Chirolophis nugator","1","44","204","587","8598","2394935","2394956",NA,NA,"2394956"
"56","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Chitonotus","Chitonotus pugetensis","1","44","204","590","8621","2333760","2333761",NA,NA,"2333761"
"57","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Clevelandia","Clevelandia ios","1","44","204","587","4274","2379262","5209085",NA,NA,"5209085"
"58","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Clinocottus acuticeps","1","44","204","590","8621","2333865","2333873",NA,NA,"2333873"
"59","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Clinocottus embryum","1","44","204","590","8621","2333865","2333877",NA,NA,"2333877"
"60","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Clinocottus globiceps","1","44","204","590","8621","2333865","2333870",NA,NA,"2333870"
"61","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","1","44","204","538","7332","2346676","4284072","Clupea pallasii pallasii","7059179","7059179"
"62","Animalia","Chordata","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira","1","44","204","498","7192","2369260","2369261",NA,NA,"2369261"
"63","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","Rhinogobiops nicholsii","1","44","204","587","4274","2376635","2376636",NA,NA,"2376636"
"64","Animalia","Chordata","Actinopterygii","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone microdon","1","44","204","774","5905","2347445","2347448",NA,NA,"2347448"
