species
Agonopsis emmelane
Agonus acipenserinus
Alepisaurus ferox
Allolumpenus hypochromus
Allosmerus elongatus
Alopias vulpinus
Alosa sapidissima
Ammodytes hexapterus
Amphistichus koelzi
Amphistichus rhodoterus
Anoplagonus inermis
Anoplarchus insignis
Anoplarchus purpurescens
Anoplopoma fimbria
Anotopterus pharao
Antimora microlepis
Apodichthys flavidus
Aptocyclus ventricosus
Argyropelecus lychnus lychnus
Aristostomias scintillans
Artedius fenestralis
Artedius harringtoni
Artedius lateralis
Artedius meanyi
Ascelichthys rhodorus
Asemichthys taylori
Asterotheca alascana
Asterotheca infraspinata
Asterotheca pentacanthus
Atherinops affinis affinis
Aulorhynchus flavidus
Bathyagonus nigripinnis
Bathylagus milleri
Bathylagus ochotensis
Bathylagus pacificus
Bathymaster signatus
Benthalbella dentata
Benthodesmus simonyi
Blepsias bilobus
Blepsias cirrhosus
Bothragonus swani
Brachyistius frenatus
Brama japonica
Brosmophycis marginata
Bryozoichthys marjorius
Carcharodon carcharias
Careproctus ovigerum
Caristius macropus
Caulolatilus princeps
Ceratoscopelus townsendi
Cetorhinus maximus
Chaenophryne parviconus
Chauliodus macouni
Chirolophis decoratus
Chirolophis nugator
Chitonotus pugetensis
Clevelandia ios
Clinocottus acuticeps
Clinocottus embryum
Clinocottus globiceps
Clupea harengus pallasi
Cololabis saira
Coryphopterus nicholsi
Cyclothone microdon
Cymatogaster aggregata
Cynoscion nobilis
Cyprinus carpio
Dasycottus setiger
Delolepis gigantea
Diaphus theta
Embiotoca lateralis
Engraulis mordax mordax
Enophrys bison
Erilepis zonifer
Eumicrotremus orbis
Euthynnus pelamis
Gadus macrocephalus
Galeorhinus zyopterus
Gasterosteus aculeatus
Genyonemus lineatus
Gibbonsia metzi
Gibbonsia montereyensis
Gilbertidia sigalutes
Gobiesox maeandricus
Hemilepidotus hemilepidotus
Hemilepidotus spinosus
Hemitripterus bolini
Hexagrammos decagrammus
Hexagrammos lagocephalus
Hexagrammos octogrammus
Hexagrammos stelleri
Hexanchus griseus
Hyperprosopon argenteum
Hyperprosopon ellipticum
Hypomesus pretiosus pretiosus
Hypsagonus quadricornis
Icelinus borealis
Icelinus burchami
Icelinus filamentosus
Icelinus oculatus
Icelinus tenuis
Icelus spiniger
Icichthys lockingtoni
Icosteus aenigmaticus
Jordania zonope
Lamna ditropis
Lampanyctus regalis
Lampanyctus ritteri
Lampris regius
Lepidogobius lepidus
Leptocottus armatus
Lestidium ringens
Leuroglossus stilbius schmidti
Liparis callyodon
Liparis cyclopus
Liparis dennyi
Liparis florae
Liparis fucensis
Liparis mucosus
Liparis pulchellus
Liparis rutteri
Lumpenella longirostris
Lumpenus maculatus
Lumpenus sagitta
Lyconectes aleutensis
Macropinna microstoma
Malacocottus kincaidi
Mallotus villosus
Melamphaes lugubris
Merluccius productus
Microgadus proximus
Myoxocephalus polyacanthocephalus
Nansenia candida
Nautichthys oculofasciatus
Nautichthys robustus
Nectoliparis pelagicus
Notolepis rissoi rissoi
Notorynchus maculatus
Notoscopelus resplendens
Occella impi
Occella verrucosa
Odontopyxis trispinosa
Oligocottus maculosus
Oligocottus rimensis
Oligocottus snyderi
Oncorhynchus nerka
Oncorhynchus gorbuscha
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus nerka
Oncorhynchus tshawytscha
Oneirodes acanthias
Oneirodes eschrichti
Ophiodon elongatus
Osmerus mordax dentex
Oxylebius pictus
Pallasina barbata aix
Paricelinus hopliticus
Pentaceros richardsoni
Peprilus simillimus
Phanerodon furcatus
Pholis clemensi
Pholis laeta
Pholis ornata
Pholis schultzi
Phytichthys chirus
Plectobranchus evides
Polypera greeni
Porichthys notatus
Poroclinus rothrocki
Poromitra crassiceps
Prionace glauca
Protomyctophum thompsoni
Psychrolutes paradoxus
Radulinus asprellus
Radulinus boleoides
Remora australis
Rhacochilus vacca
Rhamphocottus richardsoni
Rimicola muscarum
Roccus saxatilis
Ronquilus jordani
Sebastes caurinus
Sebastes zacentrus
Sagamichthys abei
Salmo clarki clarki
Salmo gairdneri
Salmo trutta
Salvelinus malma
Sarda chiliensis
Sardinops sagax
Scomber japonicus
Scopelosaurus harryi
Scorpaenichthys marmoratus
Sebastes aleutianus
Sebastes alutus
Sebastes auriculatus
Sebastes aurora
Sebastes babcocki
Sebastes borealis
Sebastes brevispinis
Sebastes ciliatus
Sebastes crameri
Sebastes diploproa
Sebastes elongatus
Sebastes emphaeus
Sebastes entomelas
Sebastes flavidus
Sebastes goodei
Sebastes helvomaculatus
Sebastes jordani
Sebastes maliger
Sebastes melanops
Sebastes miniatus
Sebastes mystinus
Sebastes nebulosus
Sebastes nigrocinctus
Sebastes paucispinis
Sebastes pinniger
Sebastes proriger
Sebastes reedi
Sebastes ruberrimus
Sebastes saxicola
Sebastes variegatus
Sebastes wilsoni
Sebastolobus alascanus
Sebastolobus altivelis
Somniosus pacificus
Sphyraena argentea
Spirinchus starksi
Spirinchus thaleichthys
Squalus acanthias
Stenobrachius leucopsarus
Symbolophorus californiense
Synchirus gilli
Syngnathus griseolineatus
Tarletonbeania crenularis
Tetragonurus cuvieri
Thaleichthys pacificus
Theragra chalcogramma
Thunnus alalunga
Thunnus thynnus
Trachipterus altivelis
Trachurus symmetricus
Trichodon trichodon
Triglops macellus
Triglops pingeli
Xeneretmus latifrons
Xeneretmus triacanthus
Xererpes fucorum
Xiphister atropurpureus
Zaniolepis latipinnis
Zaprora silenus
