Representative Sample ID,Phylum,Class,Order,Family,Genus,Species,string,Sample Size
BHAK-1043,Annelida,Clitellata,Haplotaxida,Naididae,,,Annelida_Clitellata_Haplotaxida_Naididae__,4
BHAK-0472,Annelida,Clitellata,,,,,Annelida_Clitellata____,4
BHAK-07621,Annelida,Polychaeta,Aciculata,Nerillidae,,,Annelida_Polychaeta_Aciculata_Nerillidae__,3
BHAK-08943,Annelida,Polychaeta,Amphinomida,Euphrosinidae,Euphrosine,Euphrosine bicirrata,Annelida_Polychaeta_Amphinomida_Euphrosinidae_Euphrosine_Euphrosine bicirrata,1
BHAK-3098,Annelida,Polychaeta,Canalipalpata,Polygordiidae,Polygordius,,Annelida_Polychaeta_Canalipalpata_Polygordiidae_Polygordius_,3
BHAK-3094,Annelida,Polychaeta,Canalipalpata,Saccocirridae,Saccocirrus,,Annelida_Polychaeta_Canalipalpata_Saccocirridae_Saccocirrus_,3
BHAK687,Annelida,Polychaeta,Capitellida,Arenicolidae,Abarenicola,,Annelida_Polychaeta_Capitellida_Arenicolidae_Abarenicola_,10
BHAK279,Annelida,Polychaeta,Capitellida,Arenicolidae,Branchiomaldane,Branchiomaldane simplex,Annelida_Polychaeta_Capitellida_Arenicolidae_Branchiomaldane_Branchiomaldane simplex,7
BHAK36,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,,Annelida_Polychaeta_Eunicida_Dorvilleidae_Dorvillea_,27
BHAK-2121,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea,,Annelida_Polychaeta_Eunicida_Dorvilleidae_Protodorvillea_,1
BHAK-2901,Annelida,Polychaeta,Eunicida,Dorvilleidae,,,Annelida_Polychaeta_Eunicida_Dorvilleidae__,1
BHAK2142,Annelida,Polychaeta,Eunicida,Eunicidae,Leodice,Leodice valens,Annelida_Polychaeta_Eunicida_Eunicidae_Leodice_Leodice valens,1
BHAK1543,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris californiensis,Annelida_Polychaeta_Eunicida_Lumbrineridae_Lumbrineris_Lumbrineris californiensis,5
BHAK-2922,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris inflata,Annelida_Polychaeta_Eunicida_Lumbrineridae_Lumbrineris_Lumbrineris inflata,2
BHAK2731,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris japonica,Annelida_Polychaeta_Eunicida_Lumbrineridae_Lumbrineris_Lumbrineris japonica,9
BHAK1031,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,,Annelida_Polychaeta_Eunicida_Lumbrineridae_Lumbrineris_,2
BHAK7,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,Scoletoma zonata,Annelida_Polychaeta_Eunicida_Lumbrineridae_Scoletoma_Scoletoma zonata,10
BHAK241,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,,Annelida_Polychaeta_Eunicida_Lumbrineridae_Scoletoma_,1
BHAK-0278,Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Annelida_Polychaeta_Eunicida_Lumbrineridae__,7
BHAK-06825,Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,Arabella iricolor,Annelida_Polychaeta_Eunicida_Oenonidae_Arabella_Arabella iricolor,2
BHAK948,Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,,Annelida_Polychaeta_Eunicida_Oenonidae_Arabella_,13
BHAK-06965,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,Diopatra ornata,Annelida_Polychaeta_Eunicida_Onuphidae_Diopatra_Diopatra ornata,2
BHAK454,Annelida,Polychaeta,Eunicida,Onuphidae,Mooreonuphis,Mooreonuphis stigmatis,Annelida_Polychaeta_Eunicida_Onuphidae_Mooreonuphis_Mooreonuphis stigmatis,8
BHAK-05962,Annelida,Polychaeta,Eunicida,Onuphidae,Nothria,Nothria conchylega,Annelida_Polychaeta_Eunicida_Onuphidae_Nothria_Nothria conchylega,4
BHAK-06781,Annelida,Polychaeta,Eunicida,Onuphidae,Nothria,,Annelida_Polychaeta_Eunicida_Onuphidae_Nothria_,1
BHAK3076,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,Onuphis elegans,Annelida_Polychaeta_Eunicida_Onuphidae_Onuphis_Onuphis elegans,3
BHAK1046,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,Onuphis iridescens,Annelida_Polychaeta_Eunicida_Onuphidae_Onuphis_Onuphis iridescens,4
BHAK457,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,,Annelida_Polychaeta_Eunicida_Onuphidae_Onuphis_,1
BHAK456,Annelida,Polychaeta,Eunicida,Onuphidae,,,Annelida_Polychaeta_Eunicida_Onuphidae__,6
BHAK-0246,Annelida,Polychaeta,Opheliida,Opheliidae,Armandia,Armandia brevis,Annelida_Polychaeta_Opheliida_Opheliidae_Armandia_Armandia brevis,16
BHAK273,Annelida,Polychaeta,Opheliida,Opheliidae,Euzonus,Euzonus mucronata,Annelida_Polychaeta_Opheliida_Opheliidae_Euzonus_Euzonus mucronata,1
BHAK271,Annelida,Polychaeta,Opheliida,Opheliidae,Thoracophelia,Thoracophelia mucronata,Annelida_Polychaeta_Opheliida_Opheliidae_Thoracophelia_Thoracophelia mucronata,1
BHAK-05950,Annelida,Polychaeta,Opheliida,Opheliidae,Travisia,Travisia brevis,Annelida_Polychaeta_Opheliida_Opheliidae_Travisia_Travisia brevis,2
BHAK-06830,Annelida,Polychaeta,Opheliida,Opheliidae,,,Annelida_Polychaeta_Opheliida_Opheliidae__,2
BHAK249,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,Paleanotus bellis,Annelida_Polychaeta_Phyllodocida_Chrysopetalidae_Paleanotus_Paleanotus bellis,5
BHAK-05835,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,,Annelida_Polychaeta_Phyllodocida_Chrysopetalidae_Paleanotus_,1
BHAK-11788,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,,Annelida_Polychaeta_Phyllodocida_Chrysopetalidae__,2
BHAK433,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera americana,Annelida_Polychaeta_Phyllodocida_Glyceridae_Glycera_Glycera americana,4
BHAK453,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera nana,Annelida_Polychaeta_Phyllodocida_Glyceridae_Glycera_Glycera nana,8
BHAK-0277,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,,Annelida_Polychaeta_Phyllodocida_Glyceridae_Glycera_,2
BHAK435,Annelida,Polychaeta,Phyllodocida,Glyceridae,Hemipodia,,Annelida_Polychaeta_Phyllodocida_Glyceridae_Hemipodia_,3
BHAK260,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,Glycinde picta,Annelida_Polychaeta_Phyllodocida_Goniadidae_Glycinde_Glycinde picta,9
BHAK-07715,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,,Annelida_Polychaeta_Phyllodocida_Goniadidae_Glycinde_,1
BHAK-3370,Annelida,Polychaeta,Phyllodocida,Hesionidae,Gyptis,,Annelida_Polychaeta_Phyllodocida_Hesionidae_Gyptis_,1
BHAK-3503,Annelida,Polychaeta,Phyllodocida,Hesionidae,Microphthalmus,,Annelida_Polychaeta_Phyllodocida_Hesionidae_Microphthalmus_,3
BHAK1373,Annelida,Polychaeta,Phyllodocida,Hesionidae,Micropodarke,Micropodarke dubia,Annelida_Polychaeta_Phyllodocida_Hesionidae_Micropodarke_Micropodarke dubia,9
BHAK19,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pugettensis,Annelida_Polychaeta_Phyllodocida_Hesionidae_Oxydromus_Oxydromus pugettensis,17
BHAK-07723,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis,,Annelida_Polychaeta_Phyllodocida_Hesionidae_Podarkeopsis_,3
BHAK-0428,Annelida,Polychaeta,Phyllodocida,Hesionidae,,,Annelida_Polychaeta_Phyllodocida_Hesionidae__,1
BHAK906,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys caeca,Annelida_Polychaeta_Phyllodocida_Nephtyidae_Nephtys_Nephtys caeca,3
BHAK-0262,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys caecoides,Annelida_Polychaeta_Phyllodocida_Nephtyidae_Nephtys_Nephtys caecoides,16
BHAK461,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys californiensis,Annelida_Polychaeta_Phyllodocida_Nephtyidae_Nephtys_Nephtys californiensis,2
BHAK-05969,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys ferruginea,Annelida_Polychaeta_Phyllodocida_Nephtyidae_Nephtys_Nephtys ferruginea,3
BHAK-3367,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,Annelida_Polychaeta_Phyllodocida_Nephtyidae_Nephtys_,1
BHAK-0233,Annelida,Polychaeta,Phyllodocida,Nephtyidae,,,Annelida_Polychaeta_Phyllodocida_Nephtyidae__,1
BHAK-0231,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta brandti,Annelida_Polychaeta_Phyllodocida_Nereididae_Alitta_Alitta brandti,3
BHAK2116,Annelida,Polychaeta,Phyllodocida,Nereididae,Cheilonereis,Cheilonereis cyclurus,Annelida_Polychaeta_Phyllodocida_Nereididae_Cheilonereis_Cheilonereis cyclurus,1
BHAK-06980,Annelida,Polychaeta,Phyllodocida,Nereididae,Micronereis,,Annelida_Polychaeta_Phyllodocida_Nereididae_Micronereis_,6
BHAK2521,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis eakini,Annelida_Polychaeta_Phyllodocida_Nereididae_Nereis_Nereis eakini,2
BHAK-2530,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis procera,Annelida_Polychaeta_Phyllodocida_Nereididae_Nereis_Nereis procera,1
BHAK-0001,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis vexillosa,Annelida_Polychaeta_Phyllodocida_Nereididae_Nereis_Nereis vexillosa,12
BHAK288,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,,Annelida_Polychaeta_Phyllodocida_Nereididae_Nereis_,16
BHAK5,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,Annelida_Polychaeta_Phyllodocida_Nereididae_Platynereis_Platynereis bicanaliculata,27
BHAK-06678,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,,Annelida_Polychaeta_Phyllodocida_Nereididae_Platynereis_,1
BHAK57,Annelida,Polychaeta,Phyllodocida,Pholoidae,Pholoe,,Annelida_Polychaeta_Phyllodocida_Pholoidae_Pholoe_,11
BHAK-2888,Annelida,Polychaeta,Phyllodocida,Pholoidae,Pholoides,Pholoides asperus,Annelida_Polychaeta_Phyllodocida_Pholoidae_Pholoides_Pholoides asperus,7
BHAK-2933,Annelida,Polychaeta,Phyllodocida,Pholoidae,,,Annelida_Polychaeta_Phyllodocida_Pholoidae__,1
BHAK422,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone fauchaldi,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Eteone_Eteone fauchaldi,4
BHAK-0441,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone pacifica,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Eteone_Eteone pacifica,8
BHAK-3378,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone spilotus,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Eteone_Eteone spilotus,1
BHAK-0903,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Eteone_,7
BHAK-06784,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia californiensis,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Eulalia_Eulalia californiensis,3
BHAK106,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia quadrioculata,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Eulalia_Eulalia quadrioculata,24
BHAK-3087,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Eulalia_,5
BHAK715,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,Eumida longicornuta,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Eumida_Eumida longicornuta,4
BHAK-0272,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Nereiphylla,,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Nereiphylla_,9
BHAK-3089,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Notophyllum,Notophyllum imbricatum,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Notophyllum_Notophyllum imbricatum,4
BHAK427,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce groenlandica,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Phyllodoce_Phyllodoce groenlandica,6
BHAK-2709,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce hartmanae,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Phyllodoce_Phyllodoce hartmanae,1
BHAK47,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Phyllodoce_Phyllodoce medipapillata,10
BHAK-07603,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce williamsi,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Phyllodoce_Phyllodoce williamsi,2
BHAK-05960,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Phyllodoce_,2
BHAK48,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Pterocirrus,Pterocirrus parvoseta,Annelida_Polychaeta_Phyllodocida_Phyllodocidae_Pterocirrus_Pterocirrus parvoseta,11
BHAK3545,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Annelida_Polychaeta_Phyllodocida_Phyllodocidae__,2
BHAK4,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe fragilis,Annelida_Polychaeta_Phyllodocida_Polynoidae_Arctonoe_Arctonoe fragilis,2
BHAK-2007,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe pulchra,Annelida_Polychaeta_Phyllodocida_Polynoidae_Arctonoe_Arctonoe pulchra,4
BHAK2902,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe vittata,Annelida_Polychaeta_Phyllodocida_Polynoidae_Arctonoe_Arctonoe vittata,12
BHAK520,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,,Annelida_Polychaeta_Phyllodocida_Polynoidae_Arctonoe_,5
BHAK2921,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eunoe,Eunoe oerstedi,Annelida_Polychaeta_Phyllodocida_Polynoidae_Eunoe_Eunoe oerstedi,1
BHAK1870,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gaudichaudius,Gaudichaudius iphionelloides,Annelida_Polychaeta_Phyllodocida_Polynoidae_Gaudichaudius_Gaudichaudius iphionelloides,4
BHAK-0684,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,Halosydna brevisetosa,Annelida_Polychaeta_Phyllodocida_Polynoidae_Halosydna_Halosydna brevisetosa,28
BHAK2126,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,,Annelida_Polychaeta_Phyllodocida_Polynoidae_Halosydna_,2
BHAK-2918,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe extenuata,Annelida_Polychaeta_Phyllodocida_Polynoidae_Harmothoe_Harmothoe extenuata,8
BHAK1333,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe imbricata,Annelida_Polychaeta_Phyllodocida_Polynoidae_Harmothoe_Harmothoe imbricata,12
BHAK-3379,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,Annelida_Polychaeta_Phyllodocida_Polynoidae_Harmothoe_,2
BHAK-3075,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidasthenia,Lepidasthenia longicirrata,Annelida_Polychaeta_Phyllodocida_Polynoidae_Lepidasthenia_Lepidasthenia longicirrata,1
BHAK-06791,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,Lepidonotus spiculus,Annelida_Polychaeta_Phyllodocida_Polynoidae_Lepidonotus_Lepidonotus spiculus,1
BHAK-05959,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,Lepidonotus squamatus,Annelida_Polychaeta_Phyllodocida_Polynoidae_Lepidonotus_Lepidonotus squamatus,1
BHAK-2148,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella,Malmgreniella nigralba,Annelida_Polychaeta_Phyllodocida_Polynoidae_Malmgreniella_Malmgreniella nigralba,1
BHAK1328,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella,,Annelida_Polychaeta_Phyllodocida_Polynoidae_Malmgreniella_,10
BHAK31,Annelida,Polychaeta,Phyllodocida,Polynoidae,,,Annelida_Polychaeta_Phyllodocida_Polynoidae__,33
BHAK-2131,Annelida,Polychaeta,Phyllodocida,Syllidae,Amblyosyllis,Amblyosyllis speciosa sensu Dorsey,Annelida_Polychaeta_Phyllodocida_Syllidae_Amblyosyllis_Amblyosyllis speciosa sensu Dorsey,2
BHAK-3092,Annelida,Polychaeta,Phyllodocida,Syllidae,Epigamia,Epigamia noroi,Annelida_Polychaeta_Phyllodocida_Syllidae_Epigamia_Epigamia noroi,1
BHAK-2562,Annelida,Polychaeta,Phyllodocida,Syllidae,Epigamia,,Annelida_Polychaeta_Phyllodocida_Syllidae_Epigamia_,3
BHAK-06987,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone,Exogone lourei,Annelida_Polychaeta_Phyllodocida_Syllidae_Exogone_Exogone lourei,1
BHAK-05836,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone,,Annelida_Polychaeta_Phyllodocida_Syllidae_Exogone_,1
BHAK-2759,Annelida,Polychaeta,Phyllodocida,Syllidae,Haplosyllis,Haplosyllis spongiphila,Annelida_Polychaeta_Phyllodocida_Syllidae_Haplosyllis_Haplosyllis spongiphila,5
BHAK-2940,Annelida,Polychaeta,Phyllodocida,Syllidae,Myrianida,Myrianida dentalia,Annelida_Polychaeta_Phyllodocida_Syllidae_Myrianida_Myrianida dentalia,1
BHAK296,Annelida,Polychaeta,Phyllodocida,Syllidae,Odontosyllis,Odontosyllis phosphorea,Annelida_Polychaeta_Phyllodocida_Syllidae_Odontosyllis_Odontosyllis phosphorea,11
BHAK-3071,Annelida,Polychaeta,Phyllodocida,Syllidae,Opisthosyllis,,Annelida_Polychaeta_Phyllodocida_Syllidae_Opisthosyllis_,1
BHAK-2560,Annelida,Polychaeta,Phyllodocida,Syllidae,Proceraea,Proceraea hanssoni,Annelida_Polychaeta_Phyllodocida_Syllidae_Proceraea_Proceraea hanssoni,1
BHAK-3093,Annelida,Polychaeta,Phyllodocida,Syllidae,Proceraea,Proceraea nigropunctata,Annelida_Polychaeta_Phyllodocida_Syllidae_Proceraea_Proceraea nigropunctata,2
BHAK-3495,Annelida,Polychaeta,Phyllodocida,Syllidae,Proceraea,Proceraea okadai,Annelida_Polychaeta_Phyllodocida_Syllidae_Proceraea_Proceraea okadai,1
BHAK-2751,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis adamantea,Annelida_Polychaeta_Phyllodocida_Syllidae_Syllis_Syllis adamantea,9
BHAK1342,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis elongata,Annelida_Polychaeta_Phyllodocida_Syllidae_Syllis_Syllis elongata,13
BHAK-0674,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis gracilis,Annelida_Polychaeta_Phyllodocida_Syllidae_Syllis_Syllis gracilis,1
BHAK-2903,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis pigmentata,Annelida_Polychaeta_Phyllodocida_Syllidae_Syllis_Syllis pigmentata,8
BHAK914,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,,Annelida_Polychaeta_Phyllodocida_Syllidae_Syllis_,25
BHAK-06806,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,Typosyllis heterochaeta,Annelida_Polychaeta_Phyllodocida_Syllidae_Typosyllis_Typosyllis heterochaeta,1
BHAK266,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,Typosyllis stewarti,Annelida_Polychaeta_Phyllodocida_Syllidae_Typosyllis_Typosyllis stewarti,1
BHAK-2136,Annelida,Polychaeta,Phyllodocida,Syllidae,,,Annelida_Polychaeta_Phyllodocida_Syllidae__,36
