"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"7","Lumbrineris zonata",2323061,"Lumbrineris zonata Johnson, 1901","species","SYNONYM","EXACT","Lumbrineris zonata",98,"Animalia","Annelida","Eunicida","Lumbrineridae","Scoletoma","Scoletoma zonata",1,42,256,865,2051,2322851,9475191,TRUE,"Polychaeta",NA,9475191
"101","Pherusa inflata",5199026,"Pherusa inflata (Treadwell, 1914)","species","SYNONYM","EXACT","Pherusa inflata",98,"Animalia","Annelida","Terebellida","Flabelligeridae","Semiodera","Semiodera inflata",1,42,256,475,7095,2325568,9419433,TRUE,"Polychaeta",NA,9419433
"112","Aporrectodea cupulifera",4410766,"Aporrectodea cupulifera (Tétry, 1937)","species","SYNONYM","EXACT","Aporrectodea cupulifera",98,"Animalia","Annelida","Crassiclitellata","Lumbricidae","Allolobophora","Allolobophora cupulifera",1,42,255,5958860,6103,7995218,9008193,TRUE,"Clitellata",NA,9008193
"113","Murchieona minuscula",4410510,"Murchieona minuscula (Rosa, 1905)","species","SYNONYM","EXACT","Murchieona minuscula",98,"Animalia","Annelida","Crassiclitellata","Lumbricidae","Allolobophora","Allolobophora minuscula",1,42,255,5958860,6103,7995218,9071957,TRUE,"Clitellata",NA,9071957
"131","Metaphire sieboldi",10537748,"Metaphire sieboldi (Horst, 1883)","species","SYNONYM","EXACT","Metaphire sieboldi",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Megascolex","Megascolex sieboldi",1,42,255,7190133,2254,4813450,9788702,TRUE,"Clitellata",NA,9788702
"132","Metaphire tosaensis",9361783,"Metaphire tosaensis (Ohfuchi, 1938)","species","SYNONYM","EXACT","Metaphire tosaensis",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima tosaensis",1,42,255,7190133,2254,4813459,9665099,TRUE,"Clitellata",NA,9665099
"137","Metaphire hilgendorfi",8458912,"Metaphire hilgendorfi (Michaelsen, 1892)","species","SYNONYM","EXACT","Metaphire hilgendorfi",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta hilgendorfi",1,42,255,7190133,2254,3267595,9565801,TRUE,"Clitellata",NA,9565801
"138","Duplodicodrilus schmardae",9399302,"Duplodicodrilus schmardae (Horst, 1883)","species","SYNONYM","EXACT","Duplodicodrilus schmardae",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Megascolex","Megascolex schmardae",1,42,255,7190133,2254,4813450,4410227,TRUE,"Clitellata",NA,4410227
"139","Metaphire megascolidioides",10515636,"Metaphire megascolidioides (Goto & Hatai, 1899)","species","SYNONYM","EXACT","Metaphire megascolidioides",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta megascolidioides",1,42,255,7190133,2254,3267595,9019500,TRUE,"Clitellata",NA,9019500
"140","Amynthas carnosus",5854841,"Amynthas carnosus (Goto & Hatai, 1899)","species","SYNONYM","EXACT","Amynthas carnosus",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta carnosa",1,42,255,7190133,2254,3267595,8934650,TRUE,"Clitellata",NA,8934650
"148","Amynthas glabrus",8672154,"Amynthas glabrus (Gates, 1932)","species","SYNONYM","EXACT","Amynthas glabrus",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima glabra",1,42,255,7190133,2254,4813459,9807934,TRUE,"Clitellata",NA,9807934
"149","Amynthas glabrus",9837075,"Amynthas glaucus Azama & Ishizuka, 2018","species","ACCEPTED","FUZZY","Amynthas glaucus",90,"Animalia","Annelida","Opisthopora","Megascolecidae","Amynthas","Amynthas glaucus",1,42,255,7190133,2254,2307607,9837075,FALSE,"Clitellata","Similarity: name=90; authorship=0; classification=-2; rank=5; status=1",NA
"150","Amynthas gracilis",2307609,"Amynthas gracilis (Kinberg, 1867)","species","SYNONYM","EXACT","Amynthas gracilis",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Nitocris","Nitocris gracilis",1,42,255,7190133,2254,3267553,8946603,TRUE,"Clitellata",NA,8946603
"151","Amynthas hupeiensis",2307608,"Amynthas hupeiensis (Michaelsen, 1895)","species","SYNONYM","EXACT","Amynthas hupeiensis",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta hupeiensis",1,42,255,7190133,2254,3267595,9766279,TRUE,"Clitellata",NA,9766279
"153","Amynthas minimus",5854877,"Amynthas minimus (Horst, 1893)","species","SYNONYM","EXACT","Amynthas minimus",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta minima",1,42,255,7190133,2254,3267595,9658981,TRUE,"Clitellata",NA,9658981
"154","Amynthas minimus",9612785,"Amynthas miniatus (Gates, 1936)","species","SYNONYM","FUZZY","Amynthas miniatus",90,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima miniata",1,42,255,7190133,2254,4813459,9748138,TRUE,"Clitellata","Similarity: name=90; authorship=0; classification=-2; rank=5; status=0",9748138
"155","Amynthas minimus",11110637,"Amynthas minjae Hong, 2001","species","SYNONYM","FUZZY","Amynthas minjae",90,"Animalia","Annelida","Opisthopora","Megascolecidae","Amynthas","Amynthas agrestis",1,42,255,7190133,2254,2307607,9225458,TRUE,"Clitellata","Similarity: name=90; authorship=0; classification=-2; rank=5; status=0",9225458
"156","Amynthas minimus",9417766,"Amynthas minjae Hong, 2001","species","SYNONYM","FUZZY","Amynthas minjae",90,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima phasela",1,42,255,7190133,2254,4813459,9738018,TRUE,"Clitellata","Similarity: name=90; authorship=0; classification=-2; rank=5; status=0",9738018
"157","Amynthas minimus",8961327,"Amynthas minutus (Beddard, 1900)","species","SYNONYM","FUZZY","Amynthas minutus",90,"Animalia","Annelida","Opisthopora","Megascolecidae","Amynthas","Amyntas minutus",1,42,255,7190133,2254,2307607,9786033,TRUE,"Clitellata","Similarity: name=90; authorship=0; classification=-2; rank=5; status=0",9786033
"159","Amynthas morrisi",4410212,"Amynthas morrisi (Beddard, 1892)","species","SYNONYM","EXACT","Amynthas morrisi",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta morrisi",1,42,255,7190133,2254,3267595,9135535,TRUE,"Clitellata",NA,9135535
"160","Amynthas phaselus",9945308,"Amynthas phaselus (Hatai, 1930)","species","SYNONYM","EXACT","Amynthas phaselus",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima phasela",1,42,255,7190133,2254,4813459,9738018,TRUE,"Clitellata",NA,9738018
"163","Amynthas robustus",5854839,"Amynthas robustus (Perrier, 1872)","species","SYNONYM","EXACT","Amynthas robustus",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta robusta",1,42,255,7190133,2254,3267595,9648517,TRUE,"Clitellata",NA,9648517
"166","Amynthas tappensis",9261826,"Amynthas tappensis (Ohfuchi, 1935)","species","SYNONYM","EXACT","Amynthas tappensis",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima tappensis",1,42,255,7190133,2254,4813459,9806813,TRUE,"Clitellata",NA,9806813
"171","Amynthas tokioensis",9448251,"Amynthas tokioensis (Beddard, 1892)","species","SYNONYM","EXACT","Amynthas tokioensis",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta tokioensis",1,42,255,7190133,2254,3267595,9711540,TRUE,"Clitellata",NA,9711540
"175","Amynthas yunoshimensis",9286139,"Amynthas yunoshimensis (Hatai, 1930)","species","SYNONYM","EXACT","Amynthas yunoshimensis",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima yunoshimensis",1,42,255,7190133,2254,4813459,9682634,TRUE,"Clitellata",NA,9682634
"177","Metaphire agrestis",10199331,"Metaphire agrestis (Goto & Hatai, 1899)","species","SYNONYM","EXACT","Metaphire agrestis",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Amynthas","Amynthas agrestis",1,42,255,7190133,2254,2307607,9225458,TRUE,"Clitellata",NA,9225458
"178","Metaphire californica",4410222,"Metaphire californica (Kinberg, 1867)","species","SYNONYM","EXACT","Metaphire californica",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima californica",1,42,255,7190133,2254,4813459,4410223,TRUE,"Clitellata",NA,4410223
"179","Metaphire communissima",9969321,"Metaphire communissima (Goto & Hatai, 1899)","species","SYNONYM","EXACT","Metaphire communissima",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta communissima",1,42,255,7190133,2254,3267595,9114977,TRUE,"Clitellata",NA,9114977
"180","Metaphire servina",9597087,"Metaphire servina (Hatai & Ohfuchi, 1937)","species","SYNONYM","EXACT","Metaphire servina",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima servina",1,42,255,7190133,2254,4813459,9733140,TRUE,"Clitellata",NA,9733140
"181","Metaphire soulensis",9292777,"Metaphire soulensis (Kobayashi, 1938)","species","SYNONYM","EXACT","Metaphire soulensis",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima soulensis",1,42,255,7190133,2254,4813459,9762061,TRUE,"Clitellata",NA,9762061
"182","Metaphire vesiculata",9448027,"Metaphire vesiculata (Goto & Hatai, 1899)","species","SYNONYM","EXACT","Metaphire vesiculata",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Perichaeta","Perichaeta vesiculata",1,42,255,7190133,2254,3267595,8782738,TRUE,"Clitellata",NA,8782738
"183","Metaphire yamadai",10074838,"Metaphire yamadai (Hatai, 1930)","species","SYNONYM","EXACT","Metaphire yamadai",98,"Animalia","Annelida","Opisthopora","Megascolecidae","Pheretima","Pheretima yamadai",1,42,255,7190133,2254,4813459,9687410,TRUE,"Clitellata",NA,9687410
"185","Eisenia japonica",8906702,"Eisenia japonica (Michaelsen, 1891)","species","SYNONYM","EXACT","Eisenia japonica",98,"Animalia","Annelida","Crassiclitellata","Lumbricidae","Allolobophora","Allolobophora japonica",1,42,255,5958860,6103,7995218,9144529,TRUE,"Clitellata",NA,9144529
