"","x"
"1","stomopneustesolaris"
"2","ichthyocotylurusegatus"
"3","austrobilharziaglandis"
"4","lytechinusegatus"
"5","anoplocephaloidesabilis"
"6","avian schistosomatid"
"7","odinellatrix"
"8","tosiaossia"
"9","dugesiatogaea"
"10","contracaecum rudolphiiullini"
"11","sciadicleithrumabilum"
"12","enterobiinae"
"13","abatusmrodi"
"14","comatellagra"
"15","bipaliumbile"
"16","onchocercidaeansonella ozzardi"
"17","lamellodiscus diplodimendum"
"18","tetrapygusger"
"19","salenocidarisspina"
"20","paragyrodactylusegatus"
"21","cameroniasari"
"22","asterina gibbosa (pennant"
"23","neobakernemaabile"
