"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"139","Flabellina verrucosa",5190135,"Flabellina verrucosa (M.Sars, 1829)","species","SYNONYM","EXACT","Flabellina verrucosa",98,"Animalia","Mollusca","Nudibranchia","Coryphellidae","Coryphella","Coryphella verrucosa",1,52,225,980,4304703,2292285,2292268,TRUE,"Gastropoda",NA,2292268
"140","Flabellina trilineata",5190139,"Flabellina trilineata (O'Donoghue, 1921)","species","SYNONYM","EXACT","Flabellina trilineata",98,"Animalia","Mollusca","Nudibranchia","Coryphellidae","Orienthella","Orienthella trilineata",1,52,225,980,4304703,9632625,9436935,TRUE,"Gastropoda",NA,9436935
"267","Nassarius elatus",4368313,"Nassarius elatus (Gould, 1845)","species","SYNONYM","EXACT","Nassarius elatus",98,"Animalia","Mollusca","Neogastropoda","Nassariidae","Tritia","Tritia elata",1,52,225,982,2688,3243475,9699557,TRUE,"Gastropoda",NA,9699557
"268","Nassarius elatus",6502826,"Nassarius ellana (Iredale, 1936)","species","SYNONYM","FUZZY","Nassarius ellana",92,"Animalia","Mollusca","Neogastropoda","Nassariidae","Tritia","Tritia burchardi",1,52,225,982,2688,3243475,8536546,TRUE,"Gastropoda","Similarity: name=95; authorship=0; classification=-2; rank=5; status=0",8536546
"336","Eltopera sanguinea",10545042,"Eltopera sanguinea","species","DOUBTFUL","EXACT","Eltopera sanguinea",97,"Animalia","Mollusca","Pectinida","Spondylidae","Spondylus","Eltopera sanguinea",1,52,137,9250425,6868,2285804,10545042,FALSE,"Bivalvia",NA,NA
"397","Hyotissa imbricata",8461419,"Hyotissa imbricata","species","SYNONYM","EXACT","Hyotissa imbricata",98,"Animalia","Mollusca","Ostreida","Gryphaeidae","Hyotissa","Hyotissa inermis",1,52,137,9485611,3473,4373392,7783760,TRUE,"Bivalvia",NA,7783760
"417","Empleconia cumingi",8682930,"Empleconia cumingi (A.Adams, 1863)","species","SYNONYM","EXACT","Empleconia cumingi",98,"Animalia","Mollusca","Arcida","Limopsidae","Limopsis","Limopsis cumingi",1,52,137,9574493,6885,2286166,6530083,TRUE,"Bivalvia",NA,6530083
"429","Nipponarca bistrigata",10398852,"Nipponarca bistrigata","species","DOUBTFUL","EXACT","Nipponarca bistrigata",97,"Animalia","Mollusca","Arcida","Arcidae","Mesocibota","Nipponarca bistrigata",1,52,137,9574493,3483,4594102,10398852,FALSE,"Bivalvia",NA,NA
"430","Scapharca inaequivalvis",4373161,"Scapharca inaequivalvis (Bruguière, 1789)","species","SYNONYM","EXACT","Scapharca inaequivalvis",98,"Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara inaequivalvis",1,52,137,9574493,3483,2286218,4373260,TRUE,"Bivalvia",NA,4373260
"438","Leiosolenus curtus",4374680,"Leiosolenus Carpenter, 1857","genus","ACCEPTED","HIGHERRANK","Leiosolenus",94,"Animalia","Mollusca","Mytilida","Mytilidae","Leiosolenus",NA,1,52,137,9330464,3476,4374680,NA,FALSE,"Bivalvia",NA,NA
"482","Calyptogena solidissima",5855708,"Calyptogena solidissima Okutani, Hashimoto & Fujikura, 1992","species","SYNONYM","EXACT","Calyptogena solidissima",98,"Animalia","Mollusca","Venerida","Vesicomyidae","Akebiconcha","Akebiconcha kawamurai",1,52,137,9310756,6841,9418529,6526081,TRUE,"Bivalvia",NA,6526081
"484","Calyptogena kaikoi",5855714,"Calyptogena kaikoi Okutani & Métivier, 1986","species","SYNONYM","EXACT","Calyptogena kaikoi",98,"Animalia","Mollusca","Venerida","Vesicomyidae","Abyssogena","Abyssogena kaikoi",1,52,137,9310756,6841,6526032,6526033,TRUE,"Bivalvia",NA,6526033
"531","Sepiadarium kochi",4625795,"Sepiadarium kochii Steenstrup, 1881","species","ACCEPTED","FUZZY","Sepiadarium kochii",96,"Animalia","Mollusca","Sepiida","Sepiadariidae","Sepiadarium","Sepiadarium kochii",1,52,136,989,3439,2290672,4625795,FALSE,"Cephalopoda",NA,NA
"591","Cerithidea cingulata",4608965,"Cerithidea cingulata (Gmelin, 1791)","species","SYNONYM","EXACT","Cerithidea cingulata",98,"Animalia","Mollusca",NA,"Potamididae","Pirenella","Pirenella cingulata",1,52,225,NA,7067,3244593,7377219,TRUE,"Gastropoda",NA,7377219
"667","Scurria parasitica",5857942,"Scurria parasitica (d'Orbigny, 1841)","species","SYNONYM","EXACT","Scurria parasitica",98,"Animalia","Mollusca",NA,"Lottiidae","Scurria","Scurria variabilis",1,52,225,NA,6553,2297838,5857941,TRUE,"Gastropoda",NA,5857941
"762","Scapharca globosa",6529739,"Scapharca globosus Reeve, 1844","species","SYNONYM","FUZZY","Scapharca globosus",95,"Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara globosa",1,52,137,9574493,3483,2286218,6529737,TRUE,"Bivalvia",NA,6529737
"871","Herpetopoma pauperculus",6513810,"Herpetopoma pauperculum (Lischke, 1872)","species","ACCEPTED","FUZZY","Herpetopoma pauperculum",96,"Animalia","Mollusca","Seguenziida","Chilodontaidae","Herpetopoma","Herpetopoma pauperculum",1,52,225,9759304,9760249,2292852,6513810,FALSE,"Gastropoda",NA,NA
"978","Pomacea insularum",5857784,"Pomacea insularum (Orbigny, 1835)","species","SYNONYM","EXACT","Pomacea insularum",98,"Animalia","Mollusca","Architaenioglossa","Ampullariidae","Pomacea","Pomacea maculata",1,52,225,455,6801,2292578,7532642,TRUE,"Gastropoda",NA,7532642
"991","Neripteron asperulatum",8480309,"Neripteron asperulatum (Récluz, 1843)","species","SYNONYM","EXACT","Neripteron asperulatum",98,"Animalia","Mollusca","Cycloneritida","Neritidae","Neritina","Neritina asperulata",1,52,225,9680972,2658,2291420,8123013,TRUE,"Gastropoda",NA,8123013
"1008","Vesicomya stearnsii",2286341,"Vesicomya stearnsii (Dall, 1895)","species","SYNONYM","EXACT","Vesicomya stearnsii",98,"Animalia","Mollusca","Venerida","Vesicomyidae","Pliocardia","Pliocardia stearnsii",1,52,137,9310756,6841,4588917,6788610,TRUE,"Bivalvia",NA,6788610
"1034","Coniglobus mercatorius",10648008,"Coniglobus mercatorius (L.Pfeiffer, 1845)","species","SYNONYM","EXACT","Coniglobus mercatorius",98,"Animalia","Mollusca","Stylommatophora","Camaenidae","Satsuma","Satsuma mercatoria",1,52,225,1456,5495,3244314,10344785,TRUE,"Gastropoda",NA,10344785
"1040","Camaena sakishimana",10322712,"Camaena sakishimana (Kuroda, 1960)","species","SYNONYM","EXACT","Camaena sakishimana",98,"Animalia","Mollusca","Stylommatophora","Camaenidae","Miyakoia","Miyakoia sakishimana",1,52,225,1456,5495,4599283,10360276,TRUE,"Gastropoda",NA,10360276
"1075","Golikovia ennae",10466871,"Golikovia ennae","species","DOUBTFUL","EXACT","Golikovia ennae",97,"Animalia","Mollusca","Neogastropoda","Buccinidae","Neptunea","Golikovia ennae",1,52,225,982,2696,2304655,10466871,FALSE,"Gastropoda",NA,NA
"1076","Golikovia fukueae",10461581,"Golikovia fukueae","species","DOUBTFUL","EXACT","Golikovia fukueae",97,"Animalia","Mollusca","Neogastropoda","Buccinidae","Neptunea","Golikovia fukueae",1,52,225,982,2696,2304655,10461581,FALSE,"Gastropoda",NA,NA
