"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"26","Urticina lofotensis",4339146,"Urticina lofotensis (Danielssen, 1890)","species","SYNONYM","EXACT","Urticina lofotensis",98,"Animalia","Cnidaria","Actiniaria","Actiniidae","Urticina","Urticina eques",1,43,206,705,5688,2256124,4339145,TRUE,"Anthozoa",4339145,NA
"27","Urticina lofotensis",7391490,"Urticina lofotenesis","species","SYNONYM","FUZZY","Urticina lofotenesis",92,"Animalia","Cnidaria","Actiniaria","Actiniidae","Urticina","Urticina eques",1,43,206,705,5688,2256124,4339145,TRUE,"Anthozoa",4339145,"Similarity: name=95; authorship=0; classification=-2; rank=5; status=0"
"120","Acanthascus dawsoni",2236215,"Acanthascus dawsoni (Lambe, 1893)","species","SYNONYM","EXACT","Acanthascus dawsoni",97,"Animalia","Porifera","Lyssacinosida","Rossellidae","Rhabdocalyptus","Rhabdocalyptus dawsoni",1,105,146,1113,3223,2236016,4306016,TRUE,"Hexactinellida",4306016,NA
"121","Acanthascus dawsoni",11031567,"Acanthascus dawsoni (Lambe, 1893)","species","SYNONYM","EXACT","Acanthascus dawsoni",97,"Animalia","Porifera","Lyssacinosida","Rossellidae","Rhabdocalyptus","Rhabdocalyptus dawsoni",1,105,146,1113,3223,2236016,4306016,TRUE,"Hexactinellida",4306016,"Similarity: name=110; authorship=0; classification=-2; rank=5; status=0"
"130","Laqueus californianus",5711532,"Laqueus californianus (Koch, 1848)","species","SYNONYM","EXACT","Laqueus californianus",98,"Animalia","Brachiopoda","Terebratulida","Laqueidae","Laqueus","Laqueus japonicus",1,110,210,509,3058,2252665,7762857,TRUE,"Rhynchonellata",7762857,NA
"131","Laqueus californianus",7945967,"Laqueus californicus (Koch, 1848)","species","ACCEPTED","FUZZY","Laqueus californicus",90,"Animalia","Brachiopoda","Terebratulida","Laqueidae","Laqueus","Laqueus californicus",1,110,210,509,3058,2252665,7945967,FALSE,"Rhynchonellata",NA,"Similarity: name=90; authorship=0; classification=-2; rank=5; status=1"
"145","Terebratulina crossei",2252474,"Terebratulina crossei Davidson, 1882","species","SYNONYM","EXACT","Terebratulina crossei",98,"Animalia","Brachiopoda","Terebratulida","Cancellothyrididae","Terebratulina","Terebratulina kiiensis",1,110,210,509,3061,2252458,2252460,TRUE,"Rhynchonellata",2252460,NA
"148","Gryphus davidsoni",8406250,"Gryphus davidsoni (Adams, 1867)","species","SYNONYM","EXACT","Gryphus davidsoni",98,"Animalia","Brachiopoda","Terebratulida","Terebratulidae","Zygonaria","Zygonaria davidsoni",1,110,210,509,7526,2252706,7987509,TRUE,"Rhynchonellata",7987509,NA
"155","Craniscus japonicus",2252430,"Craniscus japonicus (Adams, 1863)","species","SYNONYM","EXACT","Craniscus japonicus",98,"Animalia","Brachiopoda","Craniida","Craniidae","Novocrania","Novocrania japonica",1,110,355,719,9297,2252410,6487553,TRUE,"Craniata",6487553,NA
"162","Lingula shantungensis",2252392,"Lingula Bruguière, 1791","genus","ACCEPTED","HIGHERRANK","Lingula",92,"Animalia","Brachiopoda","Lingulida","Lingulidae","Lingula",NA,1,110,209,1440,5230,2252392,NA,FALSE,"Lingulata",NA,NA
