Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis' x Carassius auratus red var ,KU146531.1
Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis' x Carassius auratus red var ,NC_031807.1
Megalobrama amblycephala x Megalobrama terminalis xMegalobrama amblycephala x Megalobrama terminalis ,KT851553.1
Megalobrama amblycephala x Megalobrama terminalis xMegalobrama amblycephala x Parabramis pekinensis ,KT851545.1
Megalobrama amblycephala x Megalobrama terminalis x Megalobrama amblycephala ,KT851547.1
Megalobrama amblycephala x Parabramis pekinensis xMegalobrama amblycephala x Megalobrama terminalis ,KT851550.1
Megalobrama amblycephala x Parabramis pekinensis xMegalobrama amblycephala x Parabramis pekinensis ,KT851552.1
Megalobrama amblycephala x Parabramis pekinensis x Megalobrama amblycephala ,KT851549.1
 Abalistes filamentosus    S ,LC278276.1
 Abalistes stellaris  ,AP009202.1
 Abalistes stellaris ,NC_011943.1
 Abalistes stellaris  FMNHMW T ,KT600929.1
 Abalistes stellaris ,MG515171.1
 Abalistes stellaris  dkisp ,MH049152.1
 Abalistes stellatus  BA ,AY700248.1
 Abalistes stellatus    S ,LC278277.1
 Abalistes stellatus KAUMI    S ,LC499578.1
 Abantennarius coccineus  ,AB282830.1
 Abantennarius coccineus    S ,LC021219.1
 Abantennarius coccineus    S ,LC021220.1
 Abantennarius coccineus    S ,LC278012.1
 Abantennarius coccineus  MBIO   ,MZ598049.1
 Abantennarius coccineus  MOH   ,MZ598147.1
 Abantennarius coccineus     ,MZ598294.1
 Abantennarius dorehensis    S ,LC146193.1
 Abantennarius rosaceus    S ,LC021221.1
 Abantennarius rosaceus    S ,LC278080.1
 Abbottina binhi  ABPExPiG ,MK852688.1
 Abbottina binhi  ABYZlZongY ,MK852689.1
 Abbottina binhi  ABPExPiG ,NC_048988.1
  Abbottina liaoningensis ,KU314691.1
 Abbottina obtusirostris ,KF955012.1
 Abbottina obtusirostris ,KP727758.1
 Abbottina obtusirostris ,NC_026900.1
 Abbottina rivularis S  ,AB016683.1
 Abbottina rivularis ,KF577979.1
 Abbottina rivularis ,NC_023781.1
 Abbottina rivularis ,KJ183133.1
 Abbottina rivularis ,KM081703.1
 Abbottina rivularis  ,AP013312.1
 Abbottina rivularis    S ,LC020957.1
 Abbottina rivularis    S ,LC069430.1
 Abbottina rivularis    S ,LC146046.1
 Abbottina rivularis    S ,LC146047.1
 Abbottina rivularis    S ,LC146048.1
 Abbottina rivularis    S ,LC146049.1
 Abbottina rivularis ,KU821705.1
 Abbottina rivularis  ,AP011257.1
 Abbottina rivularis CBMZF    S ,LC385076.1
 Abbottina rivularis CBMZF    S ,LC385077.1
 Abbottina rivularis CBMZF    S ,LC385078.1
 Abbottina rivularis CBMZF    S ,LC385079.1
 Abbottina rivularis CBMZF    S ,LC458041.1
 Abbottina rivularis CBMZF    S ,LC519350.1
 Abbottina rivularis CBMZF    S ,LC552371.1
 Abbottina rivularis CBMZF    S ,LC552372.1
 Abbottina rivularis CBMZF    S ,LC552373.1
 Abbottina rivularis CBMZF    S ,LC552374.1
 Abbottina rivularis  ARAMEr ,MK852690.1
 Abbottina rivularis CBM No     S ,LC579082.1
 Abbottina rivularis CBM No     S ,LC579083.1
 Abbottina rivularis IDEAFish    S ,LC742159.1
 Abbottina rivularis IDEAFish    S ,LC742193.1
 Abbottina rivularis CBMZF  s  S ,LC763823.1
 Abbottina rivularis CBMZF  s  S ,LC763824.1
 Ablabys gymnothorax    S ,LC340100.1
 Ablabys macracanthus    S ,LC021105.1
 Ablabys taenianotus    S ,LC278192.1
 Ablabys taenianotus WMNHPIS  s  S ,LC654231.1
 Ablennes hians ,AF231540.1
 Ablennes hians  ,AB373007.1
 Ablennes hians ,NC_011180.1
 Ablennes hians    S ,LC104448.1
 Ablennes hians    S ,LC021298.1
 Ablennes hians KAUMI    S ,LC474167.1
 Ablennes hians KAUMI    S ,LC474168.1
 Ablennes hians  ,AP006774.1
 Aboma etheostoma  GO ,AF491052.1
 Aborichthys elongatus  ,AP011304.1
 Aborichthys elongatus  ,NC_031582.1
 Abramis brama  ,AP009305.1
 Abramis brama ,NC_020356.1
 Abramis brama  ,AP018425.1
 Abramis brama    S ,LC458378.1
 Abramis brama  DM ,MT410936.1
 Abramis brama orientalis ,KC894466.1
 Abramis brama orientalis ,ON123737.1
 Abramites hypselonotus  UFOB  ,MW541938.1
 Abramites hypselonotus CBMZF  s  S ,LC036704.2
 Abramites hypselonotus ,NC_060323.1
 Abudefduf bengalensis  FMNH Liz T ,FJ616289.1
 Abudefduf bengalensis    S ,LC104614.1
 Abudefduf bengalensis ,MH678614.1
 Abudefduf bengalensis ,NC_041192.1
 Abudefduf bengalensis CBMZF    S ,LC519419.1
 Abudefduf bengalensis CBMZF    S ,LC579947.1
