"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"1","Lates japonicus","Lates japonicus","Lates japonicus",278958,278958,"accepted",NA,"species","Katayama & Taki, 1984","Animalia","Chordata","Teleostei","Carangaria incertae sedis","Latidae","Lates","0","0",NA
"2","Lates calcarifer","Lates calcarifer","Lates calcarifer",278957,278957,"accepted",NA,"species","(Bloch, 1790)","Animalia","Chordata","Teleostei","Carangaria incertae sedis","Latidae","Lates","0","0",NA
"3","Lates niloticus","Lates niloticus","Lates niloticus",218165,218165,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Carangaria incertae sedis","Latidae","Lates","1","0",NA
"4","Psammoperca waigiensis","Psammoperca waigiensis","Psammoperca waigiensis",282395,282395,"accepted",NA,"species","(Cuvier, 1828)","Animalia","Chordata","Teleostei","Carangaria incertae sedis","Latidae","Psammoperca","0","0",NA
"5","Squatina squatina","Squatina squatina","Squatina squatina",105928,105928,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","0","0",NA
"6","Microphysogobio amurensis","Microphysogobio amurensis","Microphysogobio amurensis",1026961,1026961,"accepted",NA,"species","(Taranetz, 1937)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Microphysogobio","1","0",NA
"7","Scomberomorus niphonius","Scomberomorus niphonius","Scomberomorus niphonius",273817,273817,"accepted",NA,"species","(Cuvier, 1832)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomberomorus","0","0",NA
"8","Glyptothorax cavia","Glyptothorax cavia","Glyptothorax cavia",1022777,1022777,"accepted",NA,"species","(Hamilton, 1822)","Animalia","Chordata","Teleostei","Siluriformes","Sisoridae","Glyptothorax","1","0",NA
"9","Bolbometopon muricatum","Bolbometopon muricatum","Bolbometopon muricatum",219074,219074,"accepted",NA,"species","(Valenciennes, 1840)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Scaridae","Bolbometopon","0","0",NA
"10","Liparidae","Liparidae","Liparidae",234519,234519,"accepted",NA,"family","Gill, 1861","Animalia","Chordata","Teleostei","Perciformes","Liparidae",NA,"0","0",NA
"11","Isurus oxyrinchus","Isurus oxyrinchus","Isurus oxyrinchus",105839,105839,"accepted",NA,"species","Rafinesque, 1810","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Isurus","0","0",NA
"12","Paramisgurnus dabryanus","Paramisgurnus dabryanus","Paramisgurnus dabryanus",1020151,1020151,"accepted",NA,"species","Dabry de Thiersant, 1872","Animalia","Chordata","Teleostei","Cypriniformes","Cobitidae","Paramisgurnus","0","0",NA
"13","Paramisgurnus dabryanus","Paramisgurnus dabryanus","Paramisgurnus dabryanus",1020151,1423339,"unaccepted","ambiguous synonym","species","Dabry de Thiersant, 1872","Animalia","Chordata","Teleostei","Cypriniformes","Cobitidae","Paramisgurnus","0","0",NA
"14","Gadus macrocephalus","Gadus macrocephalus","Gadus macrocephalus",254538,254538,"accepted",NA,"species","Tilesius, 1810","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","0","0",NA
"15","Prochilodus vimboides","Prochilodus vimboides","Prochilodus vimboides",1018422,1018422,"accepted",NA,"species","Kner, 1859","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","1","0",NA
"16","Barbodes binotatus","Barbodes binotatus","Barbodes binotatus",1014769,1014769,"accepted",NA,"species","(Valenciennes, 1842)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Barbodes","1","0",NA
"17","Gyrinocheilus aymonieri","Gyrinocheilus aymonieri","Gyrinocheilus aymonieri",1026903,1026903,"accepted",NA,"species","(Tirant, 1883)","Animalia","Chordata","Teleostei","Cypriniformes","Gyrinocheilidae","Gyrinocheilus","1","0",NA
"18","Leptobotia elongata","Leptobotia elongata","Leptobotia elongata",1016331,1016331,"accepted",NA,"species","(Bleeker, 1870)","Animalia","Chordata","Teleostei","Cypriniformes","Cobitidae","Leptobotia","1","0",NA
"19","Leptobotia microphthalma","Leptobotia microphthalma","Leptobotia microphthalma",1012116,1012116,"accepted",NA,"species","Fu & Ye, 1983","Animalia","Chordata","Teleostei","Cypriniformes","Cobitidae","Leptobotia","1","0",NA
"20","Leptobotia rubrilabris","Leptobotia rubrilabris","Leptobotia rubrilabris",1026855,1026855,"accepted",NA,"species","(Dabry de Thiersant, 1872)","Animalia","Chordata","Teleostei","Cypriniformes","Cobitidae","Leptobotia","1","0",NA
"21","Sinibotia superciliaris","Sinibotia superciliaris","Sinibotia superciliaris",1019560,1019560,"accepted",NA,"species","(Günther, 1892)","Animalia","Chordata","Teleostei","Cypriniformes","Cobitidae","Sinibotia","1","0",NA
"22","Amphilophus amarillo","Amphilophus amarillo","Amphilophus amarillo",1009775,1009775,"accepted",NA,"species","Stauffer & McKaye, 2002","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Amphilophus","1","0",NA
"23","Oncorhynchus keta","Oncorhynchus keta","Oncorhynchus keta",127183,127183,"accepted",NA,"species","(Walbaum, 1792)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","0","0",NA
"24","Oncorhynchus masou","Oncorhynchus masou","Oncorhynchus masou",293637,293637,"accepted",NA,"species","(Brevoort, 1856)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","0","0",NA
"25","Leiognathus ruconius","Leiognathus ruconius","Leiognathus ruconius",303772,303772,"accepted",NA,"species","(Hamilton, 1822)","Animalia","Chordata","Teleostei","Acanthuriformes","Leiognathidae","Leiognathus","0","0",NA
"26","Erromyzon kalotaenia","Erromyzon kalotaenia","Erromyzon kalotaenia",1007499,1007499,"accepted",NA,"species","Yang, Kottelat, Yang & Chen, 2012","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Erromyzon","1","0",NA
"27","Pseudogastromyzon fangi","Pseudogastromyzon fangi","Pseudogastromyzon fangi",1015801,1015801,"accepted",NA,"species","(Nichols, 1931)","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Pseudogastromyzon","1","0",NA
"28","Sinogastromyzon hsiashiensis","Sinogastromyzon hsiashiensis","Sinogastromyzon hsiashiensis",1015756,1015756,"accepted",NA,"species","Fang, 1931","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Sinogastromyzon","1","0",NA
"29","Sinogastromyzon szechuanensis","Sinogastromyzon szechuanensis","Sinogastromyzon szechuanensis",1014842,1014842,"accepted",NA,"species","Fang, 1930","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Sinogastromyzon","1","0",NA
"30","Sinogastromyzon tonkinensis","Sinogastromyzon tonkinensis","Sinogastromyzon tonkinensis",1015248,1015248,"accepted",NA,"species","Pellegrin & Chevey, 1935","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Sinogastromyzon","1","0",NA
"31","Vanmanenia lineata","Vanmanenia lineata","Vanmanenia lineata",1015335,1015335,"accepted",NA,"species","(Fang, 1935)","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Vanmanenia","1","0",NA
"32","Yaoshania pachychilus","Yaoshania pachychilus","Yaoshania pachychilus",1524240,1524240,"accepted",NA,"species","(Chen, 1980)","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Yaoshania","1","0",NA
"33","Prochilodus argenteus","Prochilodus argenteus","Prochilodus argenteus",1022670,1022670,"accepted",NA,"species","Spix & Agassiz, 1829","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","1","0",NA
"34","Prochilodus costatus","Prochilodus costatus","Prochilodus costatus",1020354,1020354,"accepted",NA,"species","Valenciennes, 1850","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","1","0",NA
"35","Prochilodus lineatus","Prochilodus lineatus","Prochilodus lineatus",1016626,1016626,"accepted",NA,"species","(Valenciennes, 1837)","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","1","0",NA
"36","Prochilodus harttii","Prochilodus harttii","Prochilodus harttii",1020334,1020334,"accepted",NA,"species","Steindachner, 1875","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","1","0",NA
"37","Oryzias curvinotus","Oryzias curvinotus","Oryzias curvinotus",281937,281937,"accepted",NA,"species","(Nichols & Pope, 1927)","Animalia","Chordata","Teleostei","Beloniformes","Adrianichthyidae","Oryzias","0","0",NA
"38","Schistura reticulofasciata","Schistura reticulofasciata","Schistura reticulofasciata",1012278,1012278,"accepted",NA,"species","(Singh & Bănărescu, 1982)","Animalia","Chordata","Teleostei","Cypriniformes","Nemacheilidae","Schistura","1","0",NA
"39","Schistura sikmaiensis","Schistura sikmaiensis","Schistura sikmaiensis",1016840,1016840,"accepted",NA,"species","(Hora, 1921)","Animalia","Chordata","Teleostei","Cypriniformes","Nemacheilidae","Schistura","1","0",NA
"40","Chelidonichthys kumu","Chelidonichthys kumu","Chelidonichthys kumu",218122,218122,"accepted",NA,"species","(Cuvier, 1829)","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","0","0",NA
"41","Scomberoides tol","Scomberoides tol","Scomberoides tol",218433,218433,"accepted",NA,"species","(Cuvier, 1832)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Scomberoides","0","0",NA
"42","Scomberoides commersonnianus","Scomberoides commersonnianus","Scomberoides commersonnianus",218432,218432,"accepted",NA,"species","Lacepède, 1801","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Scomberoides","0","0",NA
"43","Scatophagus argus","Scatophagus argus","Scatophagus argus",276970,276970,"accepted",NA,"species","(Linnaeus, 1766)","Animalia","Chordata","Teleostei","Acanthuriformes","Scatophagidae","Scatophagus","0","0",NA
"44","Platycephalus indicus","Platycephalus indicus","Platycephalus indicus",127234,127234,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Perciformes","Platycephalidae","Platycephalus","0","0",NA
"45","Plotosus canius","Plotosus canius","Plotosus canius",278694,278694,"accepted",NA,"species","Hamilton, 1822","Animalia","Chordata","Teleostei","Siluriformes","Plotosidae","Plotosus","0","0",NA
"46","Otolithes ruber","Otolithes ruber","Otolithes ruber",218641,218641,"accepted",NA,"species","(Bloch & Schneider, 1801)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Otolithes","0","0",NA
"47","Cynoglossus quadrilineatus","Cynoglossus quadrilineatus","Cynoglossus bilineatus",219846,305630,"unaccepted",NA,"species","(Lacepède, 1802)","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus","0","0",NA
"48","Carangoides praeustus","Carangoides praeustus","Carangoides praeustus",276244,276244,"accepted",NA,"species","(Anonymous [Bennett], 1830)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Carangoides","0","0",NA
"49","Batrachomoeus trispinosus","Batrachomoeus trispinosus","Batrachomoeus trispinosus",279883,279883,"accepted",NA,"species","(Günther, 1861)","Animalia","Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Batrachomoeus","0","0",NA
"50","Thunnus obesus","Thunnus obesus","Thunnus obesus",127028,127028,"accepted",NA,"species","(Lowe, 1839)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus","0","0",NA
"51","Culter oxycephaloides","Culter oxycephaloides","Culter oxycephaloides",1018009,1018009,"accepted",NA,"species","Kreyenberg & Pappenheim, 1908","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Culter","1","0",NA
"52","Sinocrossocheilus bamaensis","Sinocrossocheilus bamaensis","Sinocrossocheilus bamaensis",1012342,1012342,"accepted",NA,"species","(Fang, 1981)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Sinocrossocheilus","1","0",NA
"53","Schistura fasciolata","Schistura fasciolata","Schistura fasciolata",282681,282681,"accepted",NA,"species","(Nichols & Pope, 1927)","Animalia","Chordata","Teleostei","Cypriniformes","Nemacheilidae","Schistura","0","0",NA
