"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"124","Lampetra tridentata",5216516,"Lampetra tridentata (Richardson, 1836)","species","SYNONYM","EXACT","Lampetra tridentata",98,"Animalia","Chordata","Petromyzontiformes","Petromyzontidae","Entosphenus","Entosphenus tridentatus",1,44,239,771,2212,2421236,2421422,TRUE,"Cephalaspidomorphi",2421422,NA
"125","Lampetra tridentata",5216517,"Lampetra tridentatus (Richardson, 1836)","species","SYNONYM","FUZZY","Lampetra tridentatus",94,"Animalia","Chordata","Petromyzontiformes","Petromyzontidae","Entosphenus","Entosphenus tridentatus",1,44,239,771,2212,2421236,2421422,TRUE,"Cephalaspidomorphi",2421422,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=0"
"203","Myzopsetta proboscidea",2409191,"Myzopsetta proboscidea (Gilbert, 1896)","species","SYNONYM","EXACT","Myzopsetta proboscidea",98,"Animalia","Chordata","Pleuronectiformes","Pleuronectidae","Limanda","Limanda proboscidea",1,44,204,588,8611,5213949,5213962,TRUE,"Actinopterygii",5213962,NA
"225","Sardinops melanostictus",2412593,"Sardinops melanostictus (Temminck & Schlegel, 1846)","species","SYNONYM","EXACT","Sardinops melanostictus",98,"Animalia","Chordata","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax",1,44,204,538,7332,2412582,2412583,TRUE,"Actinopterygii",2412583,NA
"226","Sardinops melanostictus",2412602,"Sardinops melanosticta (Temminck & Schlegel, 1846)","species","SYNONYM","FUZZY","Sardinops melanosticta",94,"Animalia","Chordata","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax",1,44,204,538,7332,2412582,2412583,TRUE,"Actinopterygii",2412583,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=0"
"325","Balaenoptera brydei",2440715,"Balaenoptera brydei Olsen, 1913","species","SYNONYM","EXACT","Balaenoptera brydei",98,"Animalia","Chordata","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera edeni",1,44,359,733,5313,2440708,2440714,TRUE,"Mammalia",9587423,NA
"331","Ariomma lurida",2399404,"Ariomma lurida Jordan & Snyder, 1904","species","SYNONYM","EXACT","Ariomma lurida",98,"Animalia","Chordata","Perciformes","Ariommatidae","Ariomma","Ariomma luridum",1,44,204,587,8491,2399401,4889072,TRUE,"Actinopterygii",4889072,NA
"332","Ariomma lurida",4889072,"Ariomma luridum Jordan & Snyder, 1904","species","ACCEPTED","FUZZY","Ariomma luridum",94,"Animalia","Chordata","Perciformes","Ariommatidae","Ariomma","Ariomma luridum",1,44,204,587,8491,2399401,4889072,FALSE,"Actinopterygii",NA,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=1"
"336","Ariomma brevimanus",2399408,"Ariomma brevimanus (Klunzinger, 1884)","species","SYNONYM","EXACT","Ariomma brevimanus",98,"Animalia","Chordata","Perciformes","Ariommatidae","Ariomma","Ariomma brevimanum",1,44,204,587,8491,2399401,2399409,TRUE,"Actinopterygii",2399409,NA
"337","Ariomma brevimanus",2399409,"Ariomma brevimanum (Klunzinger, 1884)","species","ACCEPTED","FUZZY","Ariomma brevimanum",94,"Animalia","Chordata","Perciformes","Ariommatidae","Ariomma","Ariomma brevimanum",1,44,204,587,8491,2399401,2399409,FALSE,"Actinopterygii",NA,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=1"
