"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"12","Hippasteria spinosa",2271361,"Hippasteria spinosa Verrill, 1909","species","SYNONYM","EXACT","Hippasteria spinosa",98,"Animalia","Echinodermata","Valvatida","Goniasteridae","Hippasteria","Hippasteria phrygiana",1,50,214,810,9480,2271394,2271367,TRUE,"Asteroidea",NA,2271367
"38","Cucumaria curata",5188250,"Cucumaria curata Cowles, 1907","species","SYNONYM","EXACT","Cucumaria curata",98,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Pseudocnus","Pseudocnus curatus",1,50,222,1482,6184,2279299,5966476,TRUE,"Holothuroidea",NA,5966476
"40","Pseudocnus lubrica",7349891,"Pseudocnus lubricus (Clark, 1901)","species","ACCEPTED","FUZZY","Pseudocnus lubricus",96,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Pseudocnus","Pseudocnus lubricus",1,50,222,1482,6184,2279299,7349891,FALSE,"Holothuroidea",NA,NA
"65","Oreaster occidentalis",2272866,"Oreaster occidentalis Verrill, 1867","species","SYNONYM","EXACT","Oreaster occidentalis",98,"Animalia","Echinodermata","Valvatida","Oreasteridae","Pentaceraster","Pentaceraster cumingi",1,50,214,810,2070,2271946,2272865,TRUE,"Asteroidea",NA,2272865
"74","Cucumaria lubrica",5188254,"Cucumaria lubrica Clark, 1901","species","SYNONYM","EXACT","Cucumaria lubrica",98,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Pseudocnus","Pseudocnus lubricus",1,50,222,1482,6184,2279299,7349891,TRUE,"Holothuroidea",NA,7349891
"76","Pseudocnus astigmatus",5842657,"Pseudocnus astigmatus (Wells, 1924)","species","SYNONYM","EXACT","Pseudocnus astigmatus",98,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Pseudocnus","Pseudocnus lubricus",1,50,222,1482,6184,2279299,7349891,TRUE,"Holothuroidea",NA,7349891
"85","Asthenosoma owstoni",5842781,"Asthenosoma owstoni (Mortensen, 1904)","species","SYNONYM","EXACT","Asthenosoma owstoni",98,"Animalia","Echinodermata","Echinothurioida","Echinothuriidae","Araeosoma","Araeosoma owstoni",1,50,221,815,5598,2279011,4876800,TRUE,"Echinoidea",NA,4876800
"96","Ophiomusium anisacanthum",2275675,"Ophiomusium anisacanthum H.L.Clark, 1928","species","SYNONYM","EXACT","Ophiomusium anisacanthum",98,"Animalia","Echinodermata","Ophiurida","Ophiomusaidae","Ophiomusa","Ophiomusa anisacantha",1,50,350,1429,9688641,2275727,9741000,TRUE,"Ophiuroidea",NA,9741000
"104","Ophiura irrorata",10669111,"Ophiura irrorata (Lyman, 1878)","species","SYNONYM","EXACT","Ophiura irrorata",98,"Animalia","Echinodermata","Ophiurida","Ophiopyrgidae","Ophiuroglypha","Ophiuroglypha irrorata",1,50,350,1429,9774488,2277368,4340516,TRUE,"Ophiuroidea",NA,10886660
"116","Ophiuroglypha carinifera",2277376,"Ophiuroglypha carinifera Koehler, 1901","species","SYNONYM","EXACT","Ophiuroglypha carinifera",98,"Animalia","Echinodermata","Ophiurida","Ophiuridae","Ophiura","Ophiura carinifera",1,50,350,1429,3218,2277142,2277378,TRUE,"Ophiuroidea",NA,2277378
