"","x"
"1","stomopneustesolaris"
"2","ichthyocotylurusegatus"
"3","austrobilharziaglandis"
"4","lytechinusegatus"
"5","anoplocephaloidesabilis"
"6","avian schistosomatid"
"7","odinellatrix"
"8","tosiaossia"
"9","dugesiatogaea"
"10","contracaecum rudolphiiullini"
"11","sciadicleithrumabilum"
"12","enterobiinae"
"13","abatusmrodi"
"14","comatellagra"
"15","bipaliumbile"
"16","onchocercidaeansonella ozzardi"
"17","lamellodiscus diplodimendum"
"18","tetrapygusger"
"19","salenocidarisspina"
"20","paragyrodactylusegatus"
"21","cameroniasari"
"22","asterina gibbosa (pennant"
"23","neobakernemaabile"
"24","Heliaster helianthoides"
"25","Gyrodactylus albolacustris x Gyrodactylus botnicus"
"26","Echinoida"
"27","Schistosoma haematobium x Schistosoma bovis"
"28","Tylenchina"
"29","unidentified nematode"
"30","Gnathophiurina"
"31","Ophiurinae"
"32","Dugesia parasagitta"
"33","Dugesia improvisa"
"34","Dugesia effusa"
"35","Palombritema heteroancistrium"
"36","Hippasteria spinosa"
"37","Cucumaria curata"
"38","Pseudocnus lubrica"
"39","Oreaster occidentalis"
"40","Cucumaria lubrica"
"41","Pseudocnus astigmatus"
"42","Asthenosoma owstoni"
"43","Ophiomusium anisacanthum"
"44","Ophiura irrorata"
"45","Ophiuroglypha carinifera"
"46","Mesocestoides corti"
"47","Gnathostoma binucleatum"
"48","Bursaphelenchus xylophilus"
"49","Cercopithifilaria bulboidea"
"50","Trypanoxyuris microon"
"51","Lemuricola bauchoti"
"52","Cooperia oncophora"
"53","Enterobius anthropopitheci"
"54","Diphyllobothrium nihonkaiense"
"55","Paragonimus vietnamensis"
"56","Paragonimus westermani"
"57","Paragonimus harinasutai"
"58","Paragonimus bangkokensis"
"59","Paragonimus siamensis"
"60","Diplogonoporus balaenopterae"
"61","Diplogonoporus grandis"
"62","Paragonimus proliferus"
"63","Diphyllobothrium dendriticum"
"64","Strongyloides planiceps"
"65","Diphyllobothrium ursi"
"66","Enterobius macaci"
"67","Paragonimus paishuihoensis"
"68","Paragonimus skrjabini"
"69","Didymocystis wedli"
"70","Hydatigera krepkogorski"
"71","Asteroschema ferox"
"72","Astrobolia"
"73","Isoparorchis eurytremum"
"74","Diphyllobothrium ditremum"
"75","Paragonimus sadoensis"
"76","Echinostoma paraensei"
"77","Echinostoma caproni"
"78","Neodiplostomum seoulense"
"79","Sparganum (genus in Opisthokonta)"
"80","Cylicostephanus goldi"
"81","Cylicocyclus insigne"
"82","Cylicostephanus longibursatus"
"83","Cylicostephanus minutus"
"84","Cylicocyclus nassatus"
"85","Cyathostomum pateratum"
"86","Parasitylenchus nearcticus"
"87","Howardula neocosmis"
"88","Howardula dominicki"
"89","Ophiarthrum pictum"
"90","Proteocephalus pirarara"
"91","Endorchis piraeeba"
"92","Anatrichosoma haycocki"
"93","Capillaria gastrica"
"94","Acanthocheilonema reconditum"
"95","Waltonella"
"96","Paraster doederleini"
"97","Archaeopneustes hystrix"
"98","Progamotaenia ewersi"
"99","Progamotaenia macropodis"
"100","Progamotaenia zschokkei"
"101","Pellioditis marina"
"102","Xiphinema peruvianum"
"103","Xiphinema citricolum"
"104","Xiphinema tarjanense"
"105","Xiphinema georgianum"
"106","Xiphinema floridae"
"107","Progamotaenia festiva"
"108","Progamotaenia diaphana"
"109","Progamotaenia effigia"
"110","Loxodontofilaria caprini"
"111","Mansonella atelensis"
"112","Piratuba scaffi"
"113","Polystoma australis"
"114","Polystoma dawiekoki"
"115","Polystoma marmorati"
"116","Polystoma testimagna"
"117","Polystoma umthakathi"
"118","Pagellicotyle mormyri"
"119","Sparicotyle chrysophryii"
"120","Rauschoides alternata"
"121","Rauschoides arctica"
"122","Diandrya composita"
"123","Lytechinus anamesus"
"124","Microticola blanchardi"
"125","Allocentrotus fragilis"
"126","Gyrodactylus mariannae"
"127","Raillietina australis"
"128","Raillietina beveridgei"
"129","Raillietina chiltoni"
"130","Raillietina dromaius"
"131","Raillietina mitchelli"
"132","Raillietina cesticillus"
"133","Eurotaenia gracilis"
"134","Bursaphelenchus cocophilus"
"135","Bursaphelenchus gerberae"
"136","Bursaphelenchus anatolius"
"137","Bursaphelenchus platzeri"
"138","Monoecocestus americanus"
"139","Paranoplocephala etholeni"
"140","Anoplocephaloides kontrimavichusi"
"141","Lemminia fellmani"
"142","Microcephaloides krebsi"
"143","Gulyaevia longivaginata"
"144","Douthittia nordenskioeldi"
"145","Parandrya oeconomi"
"146","Arctocestus serratus"
"147","Bohadschia bivittata"
"148","Fergusobia camaldulensae"
"149","Haematoloechus floedae"
"150","Haematoloechus complexus"
"151","Steinernema anatoliense"
"152","Artioposthia lucasi"
"153","Gulyaevia buryatiensis"
"154","Procerodes plebeja"
"155","Heterorhabditis marelatus"
"156","Heterorhabditis taysearae"
"157","Heterorhabditis mexicana"
"158","Soboliphyme baturini"
"159","Soboliphyme jamesoni"
"160","Soboliphyme abei"
"161","Paranoplocephala jarrelli"
"162","Parandrya feodorovi"
"163","Heterocentrotus mammillatus"
"164","Digramma interrupta"
"165","Aphelenchoides heidelbergi"
"166","Laimaphelenchus preissii"
"167","Anguillicola crassus"
"168","Diplogastrellus metamasius"
"169","Hemipholis elongata"
"170","Fuhrmannetta malakartis"
"171","Raillietina tunetensis"
"172","Mellita longifissa"
"173","Actinopyga agassizi"
"174","Stichopus hermanni"
"175","Astropecten phragmorus"
"176","Gracilechinus multidentatus"
"177","Milteliphaster regenerator"
"178","Stellaster equestris"
