"","x"
"1","macomasuta"
"2","lacunaegata"
"3","tricoliaabilis"
"4","rossiteriaclea"
"5","elysia flavomacula0sh_95"
"6","elysia japonica0ta_a2"
"7","argonautadosa"
"8","ligumiasuta"
"9","bulinussutus"
"10","homalopomacturnum"
"11","tricoliaabilis07"
"12","galbaotropica"
"13","nuculacleus"
"14","coriocellagra"
"15","lyncinavosa"
"16","lavigeriassa"
"17","cepaeamoralis"
"18","dilomagerrima"
"19","ruditapesegatus"
"20","tectusloticus"
"21","thiara granum"
"22","elimiaans"
"23","pinnabilis"
"24","thuridillaona"
"25","gundlachia radiataagunahocuaco"
"26","partuladosa"
"27","pseudobithynia graecaamisou river springs"
"28","jugawberryi"
"29","marmoranadrodensis"
"30","tectonatica rizzaeediterraneanea"
"31","euspiratida"
"32","thaisdosa"
"33","myurellopsis columellaris"
"34","myurellopsis kilburni"
"35","myurellopsis undulata"
"36","myurellopsis paucistriata"
"37","vittinaegata"
"38","radixtalensis"
"39","naticarius onca cryptic"
"40","bembiciumnum"
"41","octopusabilis"
"42","lanistessutus"
"43","littorariaegata"
"44","cyercegricans"
"45","turrisdaensis"
"46","dermomurexglecta"
"47","solariellidae clade"
"48","minoliassonus"
"49","melampus bidentatus cryptic"
"50","bonisakaza"
"51","thylacodesabilis"
"52","noricella scheerpeltzi"
"53","arcavicularis"
"54","streptostele elgonensisabugabo"
"55","gonaxis cressyisambara"
"56","gonaxis gibbonsiar esalaam"
"57","tayloria amaniensissambara"
"58","gulella baccatakaguru"
"59","gulella browniluguru"
"60","gulella planidensungwe"
"61","gulella gwendolinaesambara"
"62","gulella augurluguru"
"63","streptaxis tumulusrazil"
"64","oxysteleegata"
"65","baeolidiadosa"
"66","phyllocaulisegatus"
"67","ficusegataoding"
"68","ficus gracilis (sowerby"
"69","naranjia burmana"
"70","gibbulavosa"
"71","alopiafasta"
"72","alopiaxa"
"73","nassariusger"
"74","adamsiellaabilis"
"75","heleobia cumingii"
"76","bursinabilis"
"77","limax dacampioll..j.m.aassen"
"78","nototeredorvagica"
"79","arcaae"
"80","agathyllautra"
"81","norrisiarrisii"
"82","pisidiumtidum"
"83","musculusger"
"84","noumeavalis"
"85","ptychobeladulosa"
"86","cyercegra"
"87","phyllidiacosa"
"88","conuscleus"
"89","conusmocanus"
"90","conusmbosus"
"91","conusptunus"
"92","roboastrakolae"
"93","abratida"
"94","albinariavea"
"95","chilinacolasi"
"96","xerocrassaeli"
"97","brachidontesabilis"
"98","conusbilis"
"99","zelentianel"
"100","conusvarroi"
"101","borealeabilis"
"102","oreohelixabilis"
"103","alasmidontacosa"
"104","cyclonaiascki"
"105","donaxabilis"
"106","notonykiasisi"
"107","charoniaegata"
"108","iotyrristata"
"109","montfortulaegata"
"110","eubaicaliaesculpta"
