"","x"
"1","balanusbilus"
"2","pseudodiaptomus inopinusyushu"
"3","dermacentorabilis"
"4","alpheusttingi"
"5","alpheusrmanni"
"6","hyalelssoni"
"7","synalpheus pandionis giant"
"8","synalpheus longicarpus small"
"9","munidatata"
"10","aeglauquensis"
"11","mimetustius"
"12","uroctena wadjukia-yellandi"
"13","anonyxgax"
"14","lycaeasuta"
"15","daphnia pulicaria hybrid"
"16","evadnerdmanni"
"17","pleuroxusdentatus"
"18","limnadiidae lineage"
"19","calcinustidus"
"20","synisomadejda"
"21","eresus kollari4_04"
"22","parastacuscosus"
"23","saronglectus"
"24","pergalumnarvosa"
"25","eupodesegatus"
"26","triopswberryi"
"27","zeuxormani"
"28","paralomis anamerae x formosa"
"29","diapterobatesabilis"
"30","banareiabili"
"31","conopea galeataanama"
"32","conopea galeatarazil"
"33","conopea galeataalapagos"
"34","octonobaans"
"35","limnadopsis parvispinusuchanan"
"36","limnadopsis tateiitanic"
"37","limnadopsis tateiarters"
"38","pionaabilis"
"39","paradoneaegata"
"40","amphibalanusegatus"
"41","jaxeacturna"
"42","euseiuscholsi"
"43","delibusdus"
"44","proaselluslli"
"45","paruroctonusabilis"
"46","holoversiagra"
"47","mitopernoidesabilis"
"48","typhlotanaisabilis"
"49","mesomexovisegatus"
"50","rungana"
"51","ampithoeana"
"52","sphodrosger"
"53","microcyclopscans"
"54","libystestidus"
"55","rimicarisabilis"
"56","hyalommatidum"
"57","cambarusdosus"
"58","hahniava"
"59","zodariontidum"
"60","zodarionsiote"
"61","prithana"
"62","baalrog sbordonii"
"63","munidasiotes"
"64","idiosomagrum"
"65","euoplosabilis"
"66","coenobitaabilis"
"67","cantuariapua"
"68","limnoriagatai"
"69","elasmopusjaf"
"70","penaeustialis"
"71","manihoaitahu"
