"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","lng","lat","gnl","gnn","fml","fmn","odl","odn","cll","cln","phl","phn","cc2","sta","cny","gsc","eag.1","lag.1","cxi","ein","lin","idt","rst","ids","rss","oli","eid","rsf","late_age","early_age","taxon_name","range"
"1",74959,"occ",5544,"Aphrocallistes sp. ?",5,3844,"Aphrocallistes",5,3844,"Ypresian",56,47.8,"332;332",-123.525002,47.311111,"Aphrocallistes",3844,"Aphrocallistidae",81555,"Hexactinosa",3842,"Hexactinellida",3841,"Porifera",2894,"US","Washington","Grays Harbor","outcrop",56,47.8,109,109,109,"Aphrocallistes",NA,"sp.","?",NA,NA,NA,47.8,56,"Aphrocallistes sp. ?",8.2
"2",74994,"occ",5545,"Aphrocallistes sp. ?",5,3844,"Aphrocallistes",5,3844,"Ypresian",56,47.8,"332;332",-123.833336,47.083332,"Aphrocallistes",3844,"Aphrocallistidae",81555,"Hexactinosa",3842,"Hexactinellida",3841,"Porifera",2894,"US","Washington","Grays Harbor","outcrop",56,47.8,109,109,109,"Aphrocallistes",NA,"sp.","?",NA,NA,NA,47.8,56,"Aphrocallistes sp. ?",8.2
"3",389842,"occ",37342,"Balanus crenatus",3,302462,"Balanus crenatus",3,302462,"Pleistocene",2.588,0.0117,"10021;10021",-134.393005,58.276001,"Balanus",22127,"Balanidae",82260,"Sessilia",133233,"Hexanauplia",424435,"Arthropoda",18891,"US","Alaska",NA,"local area",2.588,0.0117,33,33,33,"Balanus",NA,"crenatus",NA,NA,NA,NA,0.0117,2.588,"Balanus crenatus",2.5763
"4",389844,"occ",37343,"Balanus crenatus",3,302462,"Balanus crenatus",3,302462,"Pleistocene",2.588,0.0117,"10021;10021",-134.393005,58.276001,"Balanus",22127,"Balanidae",82260,"Sessilia",133233,"Hexanauplia",424435,"Arthropoda",18891,"US","Alaska",NA,"outcrop",2.588,0.0117,33,33,33,"Balanus",NA,"crenatus",NA,NA,NA,NA,0.0117,2.588,"Balanus crenatus",2.5763
"5",389846,"occ",37344,"Balanus crenatus",3,302462,"Balanus crenatus",3,302462,"Pleistocene",2.588,0.0117,"10021;10021",-134.393005,58.276001,"Balanus",22127,"Balanidae",82260,"Sessilia",133233,"Hexanauplia",424435,"Arthropoda",18891,"US","Alaska",NA,"outcrop",2.588,0.0117,33,33,33,"Balanus",NA,"crenatus",NA,NA,NA,NA,0.0117,2.588,"Balanus crenatus",2.5763
"6",389848,"occ",37345,"Balanus crenatus",3,302462,"Balanus crenatus",3,302462,"Pleistocene",2.588,0.0117,"10021;10021",-134.393005,58.276001,"Balanus",22127,"Balanidae",82260,"Sessilia",133233,"Hexanauplia",424435,"Arthropoda",18891,"US","Alaska",NA,NA,2.588,0.0117,33,33,33,"Balanus",NA,"crenatus",NA,NA,NA,NA,0.0117,2.588,"Balanus crenatus",2.5763
"7",389850,"occ",37346,"Balanus crenatus",3,302462,"Balanus crenatus",3,302462,"Pleistocene",2.588,0.0117,"10021;10021",-134.393005,58.276001,"Balanus",22127,"Balanidae",82260,"Sessilia",133233,"Hexanauplia",424435,"Arthropoda",18891,"US","Alaska",NA,NA,2.588,0.0117,33,33,33,"Balanus",NA,"crenatus",NA,NA,NA,NA,0.0117,2.588,"Balanus crenatus",2.5763
"8",389851,"occ",37346,"Balanus rostratus",3,302466,"Balanus rostratus",3,302466,"Pleistocene",2.588,0.0117,"10021;10021",-134.393005,58.276001,"Balanus",22127,"Balanidae",82260,"Sessilia",133233,"Hexanauplia",424435,"Arthropoda",18891,"US","Alaska",NA,NA,2.588,0.0117,33,33,33,"Balanus",NA,"rostratus",NA,NA,NA,NA,0.0117,2.588,"Balanus rostratus",2.5763
"9",390420,"occ",37383,"Macoma albaria aff.",3,90160,"Macoma albaria",3,90160,"Burdigalian",20.44,11.62,"10026;10026",-137.580826,58.640278,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Alaska","Lituya","outcrop",20.44,11.62,35,102,100,"Macoma",NA,"albaria","aff.","Serravallian",NA,NA,11.62,20.44,"Macoma albaria aff.",8.82
"10",390421,"occ",37383,"Macoma (Macoma) golikovi",3,363048,"Macoma (Macoma) golikovi",3,363048,"Burdigalian",20.44,11.62,"18663;18663",-137.580826,58.640278,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Alaska","Lituya","outcrop",20.44,11.62,35,102,100,"Macoma",NA,"golikovi",NA,"Serravallian",29925,NA,11.62,20.44,"Macoma (Macoma) golikovi",8.82
"11",390422,"occ",37383,"Macoma (Macoma) golikovi",3,363048,"Macoma (Macoma) golikovi",3,363048,"Burdigalian",20.44,11.62,"18663;18663",-137.580826,58.640278,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Alaska","Lituya","outcrop",20.44,11.62,35,102,100,"Macoma",NA,"golikovi",NA,"Serravallian",29926,NA,11.62,20.44,"Macoma (Macoma) golikovi",8.82
"12",390423,"occ",37383,"Macoma twinensis aff.",3,90161,"Macoma (Macoma) twinensis",3,363030,"Burdigalian",20.44,11.62,"10026;10026",-137.580826,58.640278,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Alaska","Lituya","outcrop",20.44,11.62,35,102,100,"Macoma",NA,"twinensis","aff.","Serravallian",NA,NA,11.62,20.44,"Macoma twinensis aff.",8.82
"13",390438,"occ",37385,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Burdigalian",20.44,11.62,"10026;10026",-137.088882,58.392223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Alaska","Lituya","outcrop",20.44,11.62,35,102,100,"Macoma",NA,"albaria",NA,"Serravallian",NA,NA,11.62,20.44,"Macoma albaria",8.82
"14",390440,"occ",37386,"Mya sp.",5,18473,"Mya",5,18473,"Burdigalian",20.44,11.62,"10026;10026",-137.116394,58.49778,"Mya",18473,"Myidae",61232,"Pholadida",244443,"Bivalvia",16005,"Mollusca",7805,"US","Alaska","Lituya","outcrop",20.44,11.62,35,102,100,"Mya",NA,"sp.",NA,"Serravallian",NA,NA,11.62,20.44,"Mya sp.",8.82
"15",391626,"occ",37560,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Aquitanian",23.03,20.44,"10046;10046",-124.139999,48.226501,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,20.44,103,103,103,"Macoma",NA,"albaria",NA,NA,NA,NA,20.44,23.03,"Macoma albaria",2.59
"16",391628,"occ",37560,"Macoma astori cf.",3,90162,"Macoma astori",3,90162,"Aquitanian",23.03,20.44,"10046;10046",-124.139999,48.226501,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,20.44,103,103,103,"Macoma",NA,"astori","cf.",NA,NA,NA,20.44,23.03,"Macoma astori cf.",2.59
"17",391629,"occ",37560,"Macoma twinensis cf.",3,90161,"Macoma (Macoma) twinensis",3,363030,"Aquitanian",23.03,20.44,"10046;10046",-124.139999,48.226501,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,20.44,103,103,103,"Macoma",NA,"twinensis","cf.",NA,NA,NA,20.44,23.03,"Macoma twinensis cf.",2.59
